Variant Name,Species,Similarity,Score,Start,End
CDX1,Myotis lucifugus (Microbat),80.14981273408239,642.0,0,957
CDX1,Loxodonta africana (Elephant),89.09774436090225,711.0,0,885
CDX1,Dasypus novemcinctus (Armadillo),90.47619047619048,722.0,0,874
CDX1,Otolemur garnettii (Bushbaby),90.88639200998752,728.0,0,871
CDX1,Pteropus vampyrus (Megabat),88.76543209876543,719.0,0,889
CDX1,Chlorocebus sabaeus (Vervet-AGM),96.49122807017544,770.0,0,826
CDX1,Mustela putorius furo (Ferret),89.72431077694235,716.0,0,880
CDX1,Tursiops truncatus (Dolphin),88.59649122807018,707.0,0,877
CDX1,Ochotona princeps (Pika),84.21052631578947,672.0,0,915
CDX1,Procavia capensis (Hyrax),86.34686346863468,702.0,0,909
CDX1,Chinchilla lanigera (Long-tailed chinchilla),87.90123456790123,712.0,0,896
CDX1,Microtus ochrogaster (Prairie vole),84.38661710037175,681.0,0,924
CDX1,Ictidomys tridecemlineatus (Squirrel),88.34586466165413,705.0,0,891
CDX1,Cricetulus griseus (Chinese hamster CriGri),84.13284132841329,684.0,0,927
CDX1,Cercocebus atys (Sooty mangabey),96.36591478696742,769.0,0,827
CDX1,Macaca nemestrina (Pig-tailed macaque),96.36591478696742,769.0,0,827
CDX1,Mus caroli (Ryukyu mouse),84.5679012345679,685.0,0,923
CDX1,Mus spretus (Algerian mouse),84.93827160493828,688.0,0,920
CDX1,Mus pahari (Shrew mouse),84.55882352941177,690.0,0,924
CDX1,Capra hircus (Goat (black bengal)),88.47117794486216,706.0,0,890
CDX1,Neovison vison (American mink),89.47368421052632,714.0,0,882
CDX1,Mus spicilegus (Steppe mouse),84.87084870848709,690.0,0,921
CDX1,Phascolarctos cinereus (Koala),73.35722819593788,614.0,0,1021
CDX1,Bos taurus (Cow),88.7218045112782,708.0,0,888
CDX1,Crocodylus porosus (Australian saltwater crocodile),76.44110275689223,610.0,0,941
CDX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),88.84711779448622,709.0,0,887
CDX1,Prolemur simus (Greater bamboo lemur),92.22222222222223,747.0,0,861
CDX1,Jaculus jaculus (Lesser Egyptian jerboa),86.46616541353383,690.0,0,906
CDX1,Propithecus coquereli (Coquerel's sifaka),92.34567901234568,748.0,0,860
CDX1,Nannospalax galili (Upper Galilee mountains blind mole rat),86.56716417910447,696.0,0,906
CDX1,Aotus nancymaae (Ma's night monkey),96.11528822055138,767.0,0,829
CDX1,Pan troglodytes (Chimpanzee),99.37343358395991,793.0,0,803
CDX1,Rhinopithecus bieti (Black snub-nosed monkey),92.52450980392157,755.0,0,859
CDX1,Ursus americanus (American black bear),90.6015037593985,723.0,0,873
CDX1,Mesocricetus auratus (Golden Hamster),85.13011152416357,687.0,0,918
CDX1,Pan paniscus (Bonobo),99.37343358395991,793.0,0,803
CDX1,Microcebus murinus (Mouse Lemur),91.54411764705883,747.0,0,867
CDX1,Urocitellus parryii (Arctic ground squirrel),87.33087330873309,710.0,0,901
CDX1,Dipodomys ordii (Kangaroo rat),84.08521303258145,671.0,0,910
CDX1,Octodon degus (Degu),87.03703703703704,705.0,0,903
CDX1,Canis lupus familiaris (Dog - Boxer),90.22556390977444,720.0,0,876
CDX1,Cervus hanglu yarkandensis (Yarkand deer),89.22305764411027,712.0,0,884
CDX1,Monodon monoceros (Narwhal),88.59649122807018,707.0,0,877
CDX1,Balaenoptera musculus (Blue whale),89.84962406015038,717.0,0,873
CDX1,Ovis aries (Sheep),89.09774436090225,711.0,0,885
CDX1,Phocoena sinus (Vaquita),88.59649122807018,707.0,0,877
CDX1,Sciurus vulgaris (Eurasian red squirrel),89.3483709273183,713.0,0,880
CDX1,Moschus moschiferus (Siberian musk deer),88.59649122807018,707.0,0,889
CDX1,Bos grunniens (Domestic yak),88.47117794486216,706.0,0,890
CDX1,Rhinolophus ferrumequinum (Greater horseshoe bat),89.17589175891759,725.0,0,886
CDX1,Vombatus ursinus (Common wombat),74.15458937198068,614.0,0,1012
CDX1,Oryctolagus cuniculus (Rabbit),87.89013732833958,704.0,0,895
CDX1,Struthio camelus australis (African ostrich),73.43358395989975,586.0,0,998
CDX1,Camelus dromedarius (Arabian camel),89.05472636815921,716.0,0,886
CDX1,Panthera leo (Lion),90.6015037593985,723.0,0,867
CDX1,Monodelphis domestica (Opossum),75.64575645756457,615.0,0,996
CDX1,Macaca mulatta (Macaque),96.2406015037594,768.0,0,828
CDX1,Ornithorhynchus anatinus (Platypus),77.44360902255639,618.0,0,969
CDX1,Catagonus wagneri (Chacoan peccary),86.71679197994987,692.0,0,898
CDX1,Physeter catodon (Sperm whale),88.7218045112782,708.0,0,876
CDX1,Delphinapterus leucas (Beluga whale),88.7218045112782,708.0,0,876
CDX1,Ailuropoda melanoleuca (Giant panda),90.35087719298247,721.0,0,875
CDX1,Macaca fascicularis (Crab-eating macaque),88.34586466165413,705.0,0,822
CDX1,Felis catus (Cat),90.72681704260651,724.0,0,866
CDX1,Callithrix jacchus (White-tufted-ear marmoset),95.48872180451127,762.0,0,834
CDX1,Canis lupus familiaris (Dog - Boxer),90.1002506265664,719.0,0,877
CDX1,Pongo abelii (Sumatran orangutan),98.1203007518797,783.0,0,813
CDX1,Papio anubis (Olive baboon),96.61654135338345,771.0,0,825
CDX1,Sus scrofa (Pig - Hampshire),88.47117794486216,706.0,0,881
CDX1,Sarcophilus harrisii (Tasmanian devil),76.70384138785626,619.0,0,986
CDX1,Equus asinus (Donkey),90.79601990049751,730.0,0,872
CDX1,Equus caballus (Horse),90.79601990049751,730.0,0,872
CDX1,Cebus imitator (Panamanian white-faced capuchin),95.86466165413535,765.0,0,831
CDX1,Heterocephalus glaber (Naked mole-rat),87.85625774473358,709.0,0,896
CDX1,Rattus norvegicus (Rat),83.57664233576642,687.0,0,933
CDX1,Mus musculus (Mouse),85.37794299876084,689.0,0,916
CDX2,Loxodonta africana (Elephant),90.33970276008493,851.0,0,1024
CDX2,Chlorocebus sabaeus (Vervet-AGM),97.0276008492569,914.0,0,970
CDX2,Tupaia belangeri (Tree Shrew),92.1443736730361,868.0,0,1016
CDX2,Dasypus novemcinctus (Armadillo),91.6135881104034,863.0,0,1018
CDX2,Mustela putorius furo (Ferret),80.36093418259024,757.0,0,1106
CDX2,Otolemur garnettii (Bushbaby),77.17622080679406,727.0,0,1001
CDX2,Pteropus vampyrus (Megabat),80.46709129511677,758.0,0,1015
CDX2,Pelodiscus sinensis (Chinese softshell turtle),72.50530785562633,683.0,0,1141
CDX2,Procavia capensis (Hyrax),88.00424628450106,829.0,0,1031
CDX2,Echinops telfairi (Lesser hedgehog tenrec),86.09341825902335,811.0,0,1043
CDX2,Erinaceus europaeus (Hedgehog),76.2208067940552,718.0,0,1166
CDX2,Notamacropus eugenii (Wallaby),81.104033970276,764.0,0,1075
CDX2,Cavia porcellus (Guinea Pig),92.48677248677248,874.0,0,1013
CDX2,Chinchilla lanigera (Long-tailed chinchilla),80.63492063492063,762.0,0,1125
CDX2,Cricetulus griseus (Chinese hamster CriGri),89.38428874734608,842.0,0,1042
CDX2,Microtus ochrogaster (Prairie vole),88.42887473460722,833.0,0,1042
CDX2,Nomascus leucogenys (Gibbon),92.78131634819533,874.0,0,998
CDX2,Cercocebus atys (Sooty mangabey),82.16560509554141,774.0,0,963
CDX2,Macaca nemestrina (Pig-tailed macaque),97.13375796178345,915.0,0,969
CDX2,Capra hircus (Goat (black bengal)),88.74734607218684,836.0,0,1027
CDX2,Mus caroli (Ryukyu mouse),87.79193205944799,827.0,0,1051
CDX2,Mus spretus (Algerian mouse),87.68577494692144,826.0,0,1046
CDX2,Mus pahari (Shrew mouse),87.26114649681529,822.0,0,1050
CDX2,Vulpes vulpes (Red fox),87.57961783439491,825.0,0,1035
CDX2,Sphenodon punctatus (Tuatara),77.07006369426752,726.0,0,1095
CDX2,Notechis scutatus (Mainland tiger snake),71.97452229299363,678.0,0,1128
CDX2,Parus major (Great Tit),73.7791932059448,695.0,0,1063
CDX2,Salvator merianae (Argentine black and white tegu),74.3099787685775,700.0,0,1169
CDX2,Phascolarctos cinereus (Koala),80.99787685774947,763.0,0,1076
CDX2,Anser brachyrhynchus (Pink-footed goose),73.56687898089172,693.0,0,1059
CDX2,Neovison vison (American mink),91.53439153439153,865.0,0,1022
CDX2,Chelonoidis abingdonii (Abingdon island giant tortoise),74.52229299363057,702.0,0,1083
CDX2,Mus spicilegus (Steppe mouse),88.53503184713377,834.0,0,1044
CDX2,Coturnix japonica (Japanese quail),74.41613588110403,701.0,0,1084
CDX2,Bos taurus (Cow),88.95966029723992,838.0,0,1025
CDX2,Peromyscus maniculatus bairdii (Northern American deer mouse),89.70276008492569,845.0,0,1039
CDX2,Bos indicus x Bos taurus (Hybrid - Bos Taurus),88.95966029723992,838.0,0,1025
CDX2,Taeniopygia guttata (Zebra finch),74.20382165605095,699.0,0,1059
CDX2,Aquila chrysaetos chrysaetos (Golden eagle),73.99150743099787,697.0,0,1085
CDX2,Strigops habroptila (Kakapo),74.20382165605095,699.0,0,1056
CDX2,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),95.75371549893843,902.0,0,976
CDX2,Chrysemys picta bellii (Painted turtle),74.73460721868365,704.0,0,1093
CDX2,Aotus nancymaae (Ma's night monkey),95.85987261146497,903.0,0,975
CDX2,Serinus canaria (Common canary),72.50530785562633,683.0,0,1096
