Species,Similarity
Callithrix jacchus (White-tufted-ear marmoset),437.0264796260816
Oncorhynchus tshawytscha (Chinook salmon),375.4854235423542
Carassius auratus (Goldfish),372.5603783160851
Sus scrofa (Pig - Hampshire),367.11642959602597
Canis lupus familiaris (Dog - Boxer),363.2100800814178
Hucho hucho (Huchen),305.7000142207054
Salmo trutta (Brown trout),304.83318127034545
Salmo salar (Atlantic salmon),303.6245366802451
Sinocyclocheilus grahami (Golden-line barbel),301.795925393689
Oncorhynchus kisutch (Coho salmon),300.41320664324496
Oncorhynchus mykiss (Rainbow trout),299.4052419354839
Cyprinus carpio carpio (Common carp),296.2272423671344
Terrapene carolina triunguis (Three-toed box turtle),246.83518202502844
Scleropages formosus two (Asian bonytongue),232.20492036405005
Paramormyrops kingsleyae (Paramormyrops kingsleyae),222.7272602473558
Chlorocebus sabaeus (Vervet-AGM),192.5106569623203
Pan troglodytes (Chimpanzee),192.5050268539831
Gorilla gorilla gorilla (Gorilla),188.8707801255257
Pongo abelii (Sumatran orangutan),187.6998887908885
Macaca mulatta (Macaque),185.20313591062018
Macaca fascicularis (Crab-eating macaque),185.11501899307763
Rhinopithecus bieti (Black snub-nosed monkey),185.0545927759792
Rhinopithecus roxellana (Golden snub-nosed monkey),185.0545927759792
Macaca nemestrina (Pig-tailed macaque),184.97714721005522
Prolemur simus (Greater bamboo lemur),183.85041873980563
Rhinolophus ferrumequinum (Greater horseshoe bat),183.60913106992626
Sciurus vulgaris (Eurasian red squirrel),183.49399717514126
Capra hircus (Goat (black bengal)),182.63936291240043
Cercocebus atys (Sooty mangabey),182.4636151119825
Otolemur garnettii (Bushbaby),182.3507647195106
Equus asinus (Donkey),181.37171602740463
Cebus imitator (Panamanian white-faced capuchin),181.3560088944048
Urocitellus parryii (Arctic ground squirrel),181.2758668903803
Moschus moschiferus (Siberian musk deer),181.1777373559974
Delphinapterus leucas (Beluga whale),181.15075671389664
Panthera leo (Lion),180.9878547988768
Ursus americanus (American black bear),180.14087913416773
Cervus hanglu yarkandensis (Yarkand deer),179.49621976925732
Felis catus (Cat),177.5875079816567
Propithecus coquereli (Coquerel's sifaka),177.55993783281104
Ailuropoda melanoleuca (Giant panda),177.10141527875518
Microcebus murinus (Mouse Lemur),176.92766295707474
Chinchilla lanigera (Long-tailed chinchilla),176.92392392392392
Neovison vison (American mink),176.5804374806081
Catagonus wagneri (Chacoan peccary),175.9703881552621
Balaenoptera musculus (Blue whale),175.80488395585763
Physeter catodon (Sperm whale),175.7217708984281
Monodon monoceros (Narwhal),175.67986219574118
Heterocephalus glaber (Naked mole-rat),175.30803486053054
Phocoena sinus (Vaquita),175.17366738485202
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),173.55624288964734
Aotus nancymaae (Ma's night monkey),171.0035024478787
Bos taurus (Cow),169.47189556917377
Dasypus novemcinctus (Armadillo),169.2049348402172
Nannospalax galili (Upper Galilee mountains blind mole rat),168.5787518675384
Vombatus ursinus (Common wombat),166.2545216733768
Mustela putorius furo (Ferret),165.52083333333334
Pelodiscus sinensis (Chinese softshell turtle),165.30361205915813
Sphenodon punctatus (Tuatara),164.90284792368124
Pan paniscus (Bonobo),164.2370032340121
Chelonoidis abingdonii (Abingdon island giant tortoise),163.95762229806598
Gopherus evgoodei (Goodes thornscrub tortoise),163.5505546075085
Bos indicus x Bos taurus (Hybrid - Bos Taurus),161.98708223156615
Naja naja (Indian cobra),161.00113765642777
Crocodylus porosus (Australian saltwater crocodile),160.80915813424346
Pseudonaja textilis (Eastern brown snake),160.64752252252254
Laticauda laticaudata (Blue-ringed sea krait),160.63063063063063
Podarcis muralis (Common wall lizard),160.61177248677248
Taeniopygia guttata (Zebra finch),160.32281001137656
Notechis scutatus (Mainland tiger snake),159.01639344262293
Phascolarctos cinereus (Koala),158.62618610058882
Hippocampus comes (Tiger tail seahorse),158.0268771331058
Loxodonta africana (Elephant),157.63857607607608
Salvator merianae (Argentine black and white tegu),156.74562101910828
Denticeps clupeoides (Denticle herring),156.42711726384363
Coturnix japonica (Japanese quail),156.32039249146757
Ornithorhynchus anatinus (Platypus),156.05069260241675
Cyclopterus lumpus (Lumpfish),156.04771046643913
Myripristis murdjan (Pinecone soldierfish),155.99011660978385
Scophthalmus maximus (Turbot),155.57459677419354
Maylandia zebra (Zebra mbuna),155.2705489192264
Pundamilia nyererei (Makobe Island cichlid),155.26094994311717
Amphiprion percula (Orange clownfish),155.0991894197952
Amphilophus citrinellus (Midas cichlid),155.04301763367465
Amphiprion ocellaris (Clown anemonefish),154.99502275312855
Seriola dumerili (Greater amberjack),154.69212172923778
Pygocentrus nattereri (Red-bellied piranha),154.57325268817203
Mastacembelus armatus (Zig-zag eel),154.54955915813423
Cynoglossus semilaevis (Tongue sole),154.53996018202503
Fundulus heteroclitus (Mummichog),154.50298634812287
Poecilia formosa (Amazon molly),154.37962172923778
Poecilia latipinna (Sailfin molly),154.37962172923778
Acanthochromis polyacanthus (Spiny chromis),153.7458609271523
Labrus bergylta (Ballan wrasse),153.61111111111111
Sander lucioperca (Pike-perch),153.55588737201367
Cyprinodon variegatus (Sheepshead minnow),153.53526734926052
Ictalurus punctatus (Channel catfish),153.47909556313994
Anabas testudineus (Climbing perch),153.4333609271523
Larimichthys crocea (Large yellow croaker),153.41473509933775
Lates calcarifer (Barramundi perch),153.4085264900662
Xiphophorus maculatus (Platyfish),153.0042770419426
Seriola lalandi dorsalis (Yellowtail amberjack),152.80215231788077
Astatotilapia calliptera (Eastern happy),152.78859289617486
Oryzias latipes (Japanese medaka HdrR),152.68556843267106
Oryzias javanicus (Javanese ricefish),152.5751931567329
Danio rerio (Zebrafish),152.53057451649602
Betta splendens (Siamese fighting fish),152.52865426105717
Nothobranchius furzeri (Turquoise killifish),152.51931567328919
Cottoperca gobio (Channel bull blenny),152.4360068259386
Electrophorus electricus (Electric eel),152.277090443686
Gadus morhua (Atlantic cod),152.11357526881721
Sparus aurata (Gilthead seabream),152.08973840345197
Takifugu rubripes (Fugu),151.98557173678532
Dicentrarchus labrax (European seabass),151.66565533980582
Leptobrachium leishanense (Leishan spiny toad),151.56285551763366
Esox lucius (Northern pike),151.313600110011
Oreochromis niloticus (Nile tilapia),151.2633547008547
Scleropages formosus (Asian bonytongue),151.26310706401767
Oryzias melastigma (Indian medaka),151.1448220064725
Oryzias sinensis (Chinese medaka),150.8323220064725
Lepisosteus oculatus (Spotted gar),150.18131399317406
Eptatretus burgeri (Hagfish),149.5356638418079
Latimeria chalumnae (Coelacanth),148.16232935153585
Erpetoichthys calabaricus (Reedfish),147.73890784982936
Mus spicilegus (Steppe mouse),93.85416666666669
Cavia porcellus (Guinea Pig),93.45794392523364
Cricetulus griseus (Chinese hamster CriGri),93.33333333333331
Ictidomys tridecemlineatus (Squirrel),93.02083333333331
Rattus norvegicus (Rat),90.86345381526104
Equus caballus (Horse),90.71856287425148
Vulpes vulpes (Red fox),90.55745164960182
Mus pahari (Shrew mouse),90.5337361530715
