Variant Name,Species,Similarity,Score,Start,End
NKX3,Myotis lucifugus (Microbat),83.26241134751773,587.0,0,808
NKX3,Loxodonta africana (Elephant),81.92771084337349,612.0,0,840
NKX3,Mustela putorius furo (Ferret),84.9645390070922,599.0,0,802
NKX3,Chlorocebus sabaeus (Vervet-AGM),95.177304964539,671.0,0,733
NKX3,Otolemur garnettii (Bushbaby),84.73389355742297,605.0,0,814
NKX3,Pteropus vampyrus (Megabat),83.26241134751773,587.0,0,808
NKX3,Echinops telfairi (Lesser hedgehog tenrec),82.41134751773049,581.0,0,817
NKX3,Erinaceus europaeus (Hedgehog),80.28368794326242,566.0,0,802
NKX3,Vicugna pacos (Alpaca),82.31292517006803,605.0,0,835
NKX3,Cavia porcellus (Guinea Pig),81.56028368794325,575.0,0,805
NKX3,Microtus ochrogaster (Prairie vole),80.69444444444444,581.0,0,844
NKX3,Cricetulus griseus (Chinese hamster CriGri),79.30555555555556,571.0,0,854
NKX3,Macaca nemestrina (Pig-tailed macaque),95.0354609929078,670.0,0,734
NKX3,Cercocebus atys (Sooty mangabey),95.46099290780143,673.0,0,731
NKX3,Nomascus leucogenys (Gibbon),95.88652482269504,676.0,0,722
NKX3,Mus caroli (Ryukyu mouse),80.73136427566807,574.0,0,842
NKX3,Mus spretus (Algerian mouse),80.8720112517581,575.0,0,841
NKX3,Mus pahari (Shrew mouse),81.0126582278481,576.0,0,840
NKX3,Capra hircus (Goat (black bengal)),82.08333333333333,591.0,0,834
NKX3,Anser brachyrhynchus (Pink-footed goose),71.20567375886525,502.0,0,875
NKX3,Chelonoidis abingdonii (Abingdon island giant tortoise),71.33592736705577,550.0,0,926
NKX3,Notechis scutatus (Mainland tiger snake),71.06382978723404,501.0,0,852
NKX3,Bos mutus (Wild yak),80.0,564.0,0,828
NKX3,Neovison vison (American mink),84.822695035461,598.0,0,803
NKX3,Phascolarctos cinereus (Koala),73.72549019607844,564.0,0,906
NKX3,Mus spicilegus (Steppe mouse),76.00518806744488,586.0,0,890
NKX3,Salvator merianae (Argentine black and white tegu),73.58757062146893,521.0,0,892
NKX3,Bos taurus (Cow),81.38888888888889,586.0,0,839
NKX3,Peromyscus maniculatus bairdii (Northern American deer mouse),80.83333333333333,582.0,0,843
NKX3,Bos indicus x Bos taurus (Hybrid - Bos Taurus),81.11111111111111,584.0,0,841
NKX3,Nannospalax galili (Upper Galilee mountains blind mole rat),83.12056737588652,586.0,0,821
NKX3,Gorilla gorilla gorilla (Gorilla),99.14893617021276,699.0,0,711
NKX3,Chrysemys picta bellii (Painted turtle),71.0594315245478,550.0,0,929
NKX3,Pan troglodytes (Chimpanzee),99.57446808510639,702.0,0,708
NKX3,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),88.36879432624114,623.0,0,754
NKX3,Propithecus coquereli (Coquerel's sifaka),87.51773049645391,617.0,0,769
NKX3,Aotus nancymaae (Ma's night monkey),89.50354609929077,631.0,0,743
