Species,Similarity
Canis lupus familiaris (Dog - Boxer),371.68803903564964
Terrapene carolina triunguis (Three-toed box turtle),243.5315564495851
Pan troglodytes (Chimpanzee),199.2812840499539
Pongo abelii (Sumatran orangutan),197.5389741010812
Rhinopithecus bieti (Black snub-nosed monkey),196.6382427320417
Nomascus leucogenys (Gibbon),196.60637030534826
Rhinopithecus roxellana (Golden snub-nosed monkey),196.55255292912824
Chlorocebus sabaeus (Vervet-AGM),196.26361109369446
Mandrillus leucophaeus (Drill),195.78094878886935
Papio anubis (Olive baboon),195.77141722574038
Macaca nemestrina (Pig-tailed macaque),195.71075349928756
Cercocebus atys (Sooty mangabey),195.33568016092534
Aotus nancymaae (Ma's night monkey),194.62557736117208
Cebus imitator (Panamanian white-faced capuchin),193.8326037106525
Callithrix jacchus (White-tufted-ear marmoset),193.33115006341882
Microcebus murinus (Mouse Lemur),191.06214902355208
Prolemur simus (Greater bamboo lemur),190.93747380772777
Propithecus coquereli (Coquerel's sifaka),190.7815537024265
Ursus americanus (American black bear),189.03801022546307
Felis catus (Cat),188.7959936300394
Panthera leo (Lion),188.78027826670018
Panthera pardus (Leopard),188.78027826670018
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),188.7750398122538
Ictidomys tridecemlineatus (Squirrel),188.5436913495099
Macaca mulatta (Macaque),188.33815271142402
Ailuropoda melanoleuca (Giant panda),188.23338362249604
Urocitellus parryii (Arctic ground squirrel),188.20300058670688
Sciurus vulgaris (Eurasian red squirrel),188.0185532624557
Delphinapterus leucas (Beluga whale),187.94526862794402
Monodon monoceros (Narwhal),187.9295532646048
Phocoena sinus (Vaquita),187.81221188500544
Equus caballus (Horse),187.78811499455205
Equus asinus (Donkey),187.74935043164865
Oryctolagus cuniculus (Rabbit),187.70220434163105
Otolemur garnettii (Bushbaby),187.68605378361474
Sus scrofa (Pig - Hampshire),187.57752912580673
Moschus moschiferus (Siberian musk deer),187.31979716704382
Cervus hanglu yarkandensis (Yarkand deer),187.18674042410527
Balaenoptera musculus (Blue whale),186.9290084653424
Ovis aries (Sheep),186.85881317576064
Catagonus wagneri (Chacoan peccary),186.85393023596046
Rhinolophus ferrumequinum (Greater horseshoe bat),186.74880563238622
Physeter catodon (Sperm whale),186.6869918699187
Bos indicus x Bos taurus (Hybrid - Bos Taurus),186.48373983739836
Pan paniscus (Bonobo),186.31035394277484
Bos taurus (Cow),186.05418657279353
Capra hircus (Goat (black bengal)),186.05254402927665
Heterocephalus glaber (Naked mole-rat),186.01437431900092
Dasypus novemcinctus (Armadillo),185.80378845025564
Procavia capensis (Hyrax),185.44338278434333
Loxodonta africana (Elephant),184.62408850892632
Octodon degus (Degu),184.420836476406
Mustela putorius furo (Ferret),183.9064202497695
Tursiops truncatus (Dolphin),183.7084066716956
Cavia porcellus (Guinea Pig),183.67068979968153
Jaculus jaculus (Lesser Egyptian jerboa),183.46848545805045
Mus musculus (Mouse),183.0693152292348
Chinchilla lanigera (Long-tailed chinchilla),183.01273992121367
Bos grunniens (Domestic yak),182.91425697762128
Rattus norvegicus (Rat),182.80320174335765
Mus spretus (Algerian mouse),182.50670522169142
Mus caroli (Ryukyu mouse),182.42079456877048
Microtus ochrogaster (Prairie vole),182.3191685525103
Peromyscus maniculatus bairdii (Northern American deer mouse),182.27202246249266
Mus pahari (Shrew mouse),182.23325789958932
Nannospalax galili (Upper Galilee mountains blind mole rat),181.8558758771117
Carlito syrichta (Tarsier),181.62726384297093
Neovison vison (American mink),180.94525190776204
Cricetulus griseus (Chinese hamster CriGri),180.82620903528624
Mesocricetus auratus (Golden Hamster),180.37154889543754
Bison bison bison (American bison),179.70098902019947
Bos mutus (Wild yak),179.0346576146174
Vulpes vulpes (Red fox),178.47402410194314
Camelus dromedarius (Arabian camel),174.72655267789793
Sarcophilus harrisii (Tasmanian devil),171.75310010675867
Panthera tigris altaica (Tiger),171.6641522085324
Vombatus ursinus (Common wombat),171.05356657679687
Ornithorhynchus anatinus (Platypus),170.9810577487218
Phascolarctos cinereus (Koala),170.6033240712154
Pteropus vampyrus (Megabat),170.35638558998946
Parus major (Great Tit),164.87721062777638
Strigops habroptila (Kakapo),164.80701533819462
Taeniopygia guttata (Zebra finch),164.20564076774787
Gallus gallus (Chicken),162.54924147179617
Chelonoidis abingdonii (Abingdon island giant tortoise),162.5094292180035
Gopherus evgoodei (Goodes thornscrub tortoise),162.18150196965888
Chrysemys picta bellii (Painted turtle),162.18150196965888
Pelodiscus sinensis (Chinese softshell turtle),161.86090855753918
Coturnix japonica (Japanese quail),161.32239544044927
Podarcis muralis (Common wall lizard),160.4549073841254
Gorilla gorilla gorilla (Gorilla),99.1869918699187
Macaca fascicularis (Crab-eating macaque),97.43589743589745
Ochotona princeps (Pika),91.06529209621992
Marmota marmota marmota (Alpine marmot),89.83739837398373
Mus spicilegus (Steppe mouse),89.7766323024055
Myotis lucifugus (Microbat),89.60481099656357
Monodelphis domestica (Opossum),87.5
Dipodomys ordii (Kangaroo rat),86.71742808798646
Crocodylus porosus (Australian saltwater crocodile),84.36426116838489
Notamacropus eugenii (Wallaby),83.92857142857143
Aquila chrysaetos chrysaetos (Golden eagle),83.16151202749141
Anas platyrhynchos (Mallard),83.07560137457045
Serinus canaria (Common canary),82.92682926829268
Anser brachyrhynchus (Pink-footed goose),82.73195876288659
Sphenodon punctatus (Tuatara),81.70103092783505
Scophthalmus maximus (Turbot),81.0515873015873
Salvator merianae (Argentine black and white tegu),81.01374570446735
Oryzias melastigma (Indian medaka),80.79268292682927
Pseudonaja textilis (Eastern brown snake),80.73852295409182
Oryzias javanicus (Javanese ricefish),80.48780487804879
Xenopus tropicalis (Tropical clawed frog),80.28455284552845
Laticauda laticaudata (Blue-ringed sea krait),80.16112789526687
Cyprinodon variegatus (Sheepshead minnow),80.08130081300813
