Variant Name,Species,Similarity,Score,Start,End
HOXB13,Petromyzon marinus (Lamprey),61.32167152575316,631.0,0,1253
HOXB13,Tursiops truncatus (Dolphin),90.9090909090909,780.0,0,933
HOXB13,Myotis lucifugus (Microbat),48.30409356725146,413.0,0,892
HOXB13,Latimeria chalumnae (Coelacanth),67.42671009771986,621.0,0,1155
HOXB13,Tetraodon nigroviridis (Tetraodon),67.39356178608516,649.0,0,1169
HOXB13,Lepisosteus oculatus (Spotted gar),70.995670995671,656.0,0,1123
HOXB13,Loxodonta africana (Elephant),89.94152046783626,769.0,0,938
HOXB13,Dasypus novemcinctus (Armadillo),89.23976608187134,763.0,0,947
HOXB13,Pteropus vampyrus (Megabat),87.99533799533799,755.0,0,958
HOXB13,Mustela putorius furo (Ferret),84.9942726231386,742.0,0,986
HOXB13,Otolemur garnettii (Bushbaby),90.4093567251462,773.0,0,937
HOXB13,Poecilia formosa (Amazon molly),66.56346749226006,645.0,0,1179
HOXB13,Chlorocebus sabaeus (Vervet-AGM),97.6608187134503,835.0,0,875
HOXB13,Gasterosteus aculeatus (Stickleback),67.601246105919,651.0,0,1167
HOXB13,Gasterosteus aculeatus (Stickleback),67.49740394600208,650.0,0,1168
HOXB13,Tupaia belangeri (Tree Shrew),69.94152046783626,598.0,0,1088
HOXB13,Pelodiscus sinensis (Chinese softshell turtle),31.57894736842105,270.0,0,867
HOXB13,Ochotona princeps (Pika),88.65497076023392,758.0,0,952
HOXB13,Erinaceus europaeus (Hedgehog),86.1788617886179,742.0,0,974
HOXB13,Sorex araneus (Shrew),51.81286549707602,443.0,0,1264
HOXB13,Vicugna pacos (Alpaca),47.719298245614034,408.0,0,891
HOXB13,Procavia capensis (Hyrax),89.35672514619884,764.0,0,946
HOXB13,Choloepus hoffmanni (Sloth),76.84210526315789,657.0,0,1050
HOXB13,Notamacropus eugenii (Wallaby),82.92397660818713,709.0,0,1001
HOXB13,Cavia porcellus (Guinea Pig),88.03716608594657,758.0,0,958
HOXB13,Microtus ochrogaster (Prairie vole),88.65497076023392,758.0,0,952
HOXB13,Chinchilla lanigera (Long-tailed chinchilla),89.70760233918129,767.0,0,943
HOXB13,Cricetulus griseus (Chinese hamster CriGri),88.18713450292398,754.0,0,956
HOXB13,Ictidomys tridecemlineatus (Squirrel),90.76023391812865,776.0,0,934
HOXB13,Nomascus leucogenys (Gibbon),98.83040935672514,845.0,0,865
HOXB13,Cercocebus atys (Sooty mangabey),95.96309111880046,832.0,0,890
HOXB13,Macaca nemestrina (Pig-tailed macaque),95.6170703575548,829.0,0,893
HOXB13,Capra hircus (Goat (black bengal)),89.74358974358975,770.0,0,943
HOXB13,Mus spretus (Algerian mouse),87.76223776223776,753.0,0,960
HOXB13,Mus caroli (Ryukyu mouse),87.87878787878788,754.0,0,959
HOXB13,Mus pahari (Shrew mouse),87.99533799533799,755.0,0,958
HOXB13,Eptatretus burgeri (Hagfish),63.2748538011696,541.0,0,1067
HOXB13,Panthera tigris altaica (Tiger),47.953216374269005,410.0,0,1171
HOXB13,Danio rerio (Zebrafish),67.43421052631578,615.0,0,1152
HOXB13,Maylandia zebra (Zebra mbuna),67.19077568134172,641.0,0,1168
HOXB13,Amphiprion ocellaris (Clown anemonefish),67.8974358974359,662.0,0,1168
HOXB13,Oryzias melastigma (Indian medaka),68.73706004140787,664.0,0,1157
HOXB13,Astatotilapia calliptera (Eastern happy),67.86102062975027,625.0,0,1151
HOXB13,Oryzias latipes (Japanese medaka HdrR),68.4156378600823,665.0,0,1162
HOXB13,Cyprinodon variegatus (Sheepshead minnow),66.66666666666666,636.0,0,1173
HOXB13,Stegastes partitus (Bicolor damselfish),68.0,663.0,0,1167
HOXB13,Amphilophus citrinellus (Midas cichlid),67.28205128205128,656.0,0,1174
HOXB13,Amphiprion percula (Orange clownfish),68.0,663.0,0,1167
HOXB13,Astatotilapia calliptera (Eastern happy),67.19077568134172,641.0,0,1168
HOXB13,Neolamprologus brichardi (Lyretail cichlid),67.08595387840671,640.0,0,1169
HOXB13,Xiphophorus maculatus (Platyfish),66.25641025641026,646.0,0,1184
HOXB13,Pundamilia nyererei (Makobe Island cichlid),67.08595387840671,640.0,0,1169
HOXB13,Vulpes vulpes (Red fox),86.7132867132867,744.0,0,969
HOXB13,Bos mutus (Wild yak),89.97668997668997,772.0,0,941
HOXB13,Notechis scutatus (Mainland tiger snake),69.73544973544973,659.0,0,1141
HOXB13,Neovison vison (American mink),85.58246828143022,742.0,0,980
HOXB13,Chelonoidis abingdonii (Abingdon island giant tortoise),74.36781609195403,647.0,0,1078
HOXB13,Anser brachyrhynchus (Pink-footed goose),71.2280701754386,609.0,0,1041
HOXB13,Phascolarctos cinereus (Koala),82.69005847953217,707.0,0,1003
HOXB13,Mus spicilegus (Steppe mouse),88.03716608594657,758.0,0,958
HOXB13,Salvator merianae (Argentine black and white tegu),66.97247706422019,657.0,0,1179
HOXB13,Coturnix japonica (Japanese quail),72.39766081871345,619.0,0,1079
HOXB13,Parus major (Great Tit),72.28070175438597,618.0,0,1092
HOXB13,Crocodylus porosus (Australian saltwater crocodile),73.62514029180696,656.0,0,1090
HOXB13,Peromyscus maniculatus bairdii (Northern American deer mouse),89.00584795321637,761.0,0,949
HOXB13,Bos taurus (Cow),89.74358974358975,770.0,0,943
HOXB13,Electrophorus electricus (Electric eel),67.54098360655738,618.0,0,1152
HOXB13,Callorhinchus milii (Elephant shark),70.17543859649122,600.0,0,1086
HOXB13,Bos indicus x Bos taurus (Hybrid - Bos Taurus),89.86013986013987,771.0,0,942
HOXB13,Aquila chrysaetos chrysaetos (Golden eagle),73.2650739476678,644.0,0,1090
HOXB13,Strigops habroptila (Kakapo),65.50048590864918,674.0,0,1210
HOXB13,Propithecus coquereli (Coquerel's sifaka),91.57894736842105,783.0,0,927
HOXB13,Pygocentrus nattereri (Red-bellied piranha),68.30601092896174,625.0,0,1145
HOXB13,Prolemur simus (Greater bamboo lemur),91.22807017543859,780.0,0,930
HOXB13,Poecilia reticulata (Guppy),68.84531590413944,632.0,0,1141
HOXB13,Aotus nancymaae (Ma's night monkey),96.37426900584796,824.0,0,886
HOXB13,Nannospalax galili (Upper Galilee mountains blind mole rat),89.70760233918129,767.0,0,943
HOXB13,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),95.8041958041958,822.0,0,891
HOXB13,Labrus bergylta (Ballan wrasse),69.4006309148265,660.0,0,1146
HOXB13,Hippocampus comes (Tiger tail seahorse),67.62820512820514,633.0,0,1158
HOXB13,Poecilia latipinna (Sailfin molly),66.46153846153847,648.0,0,1182
HOXB13,Haplochromis burtoni (Burton's mouthbrooder),67.19077568134172,641.0,0,1168
HOXB13,Jaculus jaculus (Lesser Egyptian jerboa),89.35672514619884,764.0,0,946
HOXB13,Pan troglodytes (Chimpanzee),99.53216374269006,851.0,0,859
HOXB13,Gorilla gorilla gorilla (Gorilla),99.18128654970761,848.0,0,862
HOXB13,Seriola lalandi dorsalis (Yellowtail amberjack),67.38461538461539,657.0,0,1173
HOXB13,Paramormyrops kingsleyae (Paramormyrops kingsleyae),66.66666666666666,612.0,0,1161
HOXB13,Bison bison bison (American bison),89.86013986013987,771.0,0,942
HOXB13,Ictalurus punctatus (Channel catfish),68.7431693989071,629.0,0,1141
HOXB13,Seriola dumerili (Greater amberjack),67.17948717948717,655.0,0,1175
HOXB13,Astyanax mexicanus (Mexican tetra),68.08743169398907,623.0,0,1147
HOXB13,Anas platyrhynchos (Mallard),72.63157894736842,621.0,0,1074
HOXB13,Rhinopithecus roxellana (Golden snub-nosed monkey),97.6608187134503,835.0,0,875
HOXB13,Chrysemys picta bellii (Painted turtle),73.76126126126125,655.0,0,1088
HOXB13,Mesocricetus auratus (Golden Hamster),88.65497076023392,758.0,0,946
HOXB13,Marmota marmota marmota (Alpine marmot),90.29239766081871,772.0,0,938
HOXB13,Rhinopithecus bieti (Black snub-nosed monkey),97.6608187134503,835.0,0,875
HOXB13,Ursus americanus (American black bear),87.06293706293707,747.0,0,966
HOXB13,Microcebus murinus (Mouse Lemur),90.32634032634033,775.0,0,938
HOXB13,Hucho hucho (Huchen),69.72677595628414,638.0,0,1132
HOXB13,Urocitellus parryii (Arctic ground squirrel),90.52631578947368,774.0,0,936
HOXB13,Panthera pardus (Leopard),88.53801169590643,757.0,0,950
HOXB13,Hucho hucho (Huchen),70.05464480874318,641.0,0,1129
HOXB13,Dipodomys ordii (Kangaroo rat),89.82456140350877,768.0,0,942
HOXB13,Cynoglossus semilaevis (Tongue sole),68.11594202898551,658.0,0,1163
