Variant Name,Species,Similarity,Score,Start,End
SEBOX,Myotis lucifugus (Microbat),84.46771378708551,484.0,0,659
SEBOX,Chlorocebus sabaeus (Vervet-AGM),83.56807511737088,534.0,0,678
SEBOX,Ictidomys tridecemlineatus (Squirrel),80.80279232111693,463.0,0,683
SEBOX,Chinchilla lanigera (Long-tailed chinchilla),83.7696335078534,480.0,0,666
SEBOX,Cavia porcellus (Guinea Pig),80.27923211169285,460.0,0,683
SEBOX,Nomascus leucogenys (Gibbon),94.24083769633508,540.0,0,600
SEBOX,Macaca nemestrina (Pig-tailed macaque),93.19371727748691,534.0,0,612
SEBOX,Cercocebus atys (Sooty mangabey),93.36823734729494,535.0,0,611
SEBOX,Capra hircus (Goat (black bengal)),83.59511343804537,479.0,0,667
SEBOX,Panthera tigris altaica (Tiger),85.68935427574172,491.0,0,655
SEBOX,Vulpes vulpes (Red fox),84.99127399650959,487.0,0,659
SEBOX,Neovison vison (American mink),86.2129144851658,494.0,0,652
SEBOX,Bos mutus (Wild yak),84.11867364746945,482.0,0,664
SEBOX,Peromyscus maniculatus bairdii (Northern American deer mouse),80.27923211169285,460.0,0,677
SEBOX,Bos taurus (Cow),83.94415357766142,481.0,0,665
SEBOX,Prolemur simus (Greater bamboo lemur),86.38743455497382,495.0,0,651
SEBOX,Jaculus jaculus (Lesser Egyptian jerboa),80.6282722513089,462.0,0,672
SEBOX,Propithecus coquereli (Coquerel's sifaka),85.86387434554975,492.0,0,654
SEBOX,Pan troglodytes (Chimpanzee),97.90575916230367,561.0,0,585
SEBOX,Gorilla gorilla gorilla (Gorilla),94.58987783595113,542.0,0,586
SEBOX,Ursus maritimus (Polar bear),86.03839441535777,493.0,0,653
SEBOX,Bison bison bison (American bison),83.7696335078534,480.0,0,666
SEBOX,Rhinopithecus bieti (Black snub-nosed monkey),91.97207678883072,527.0,0,616
SEBOX,Marmota marmota marmota (Alpine marmot),80.27923211169285,460.0,0,686
SEBOX,Ursus americanus (American black bear),86.03839441535777,493.0,0,653
SEBOX,Microcebus murinus (Mouse Lemur),85.16579406631763,488.0,0,658
SEBOX,Rhinopithecus roxellana (Golden snub-nosed monkey),91.97207678883072,527.0,0,616
SEBOX,Urocitellus parryii (Arctic ground squirrel),81.15183246073299,465.0,0,681
SEBOX,Panthera pardus (Leopard),85.51483420593368,490.0,0,656
SEBOX,Dipodomys ordii (Kangaroo rat),80.6282722513089,462.0,0,681
SEBOX,Octodon degus (Degu),80.80279232111693,463.0,0,680
SEBOX,Mandrillus leucophaeus (Drill),83.7245696400626,535.0,0,677
SEBOX,Canis lupus familiaris (Dog - Boxer),84.99127399650959,487.0,0,656
SEBOX,Carlito syrichta (Tarsier),86.2129144851658,494.0,0,652
SEBOX,Monodon monoceros (Narwhal),85.16579406631763,488.0,0,658
SEBOX,Balaenoptera musculus (Blue whale),85.68935427574172,491.0,0,655
SEBOX,Ovis aries (Sheep),84.29319371727748,483.0,0,663
SEBOX,Phocoena sinus (Vaquita),84.99127399650959,487.0,0,659
SEBOX,Sciurus vulgaris (Eurasian red squirrel),82.89703315881326,475.0,0,668
SEBOX,Oryctolagus cuniculus (Rabbit),82.37347294938918,472.0,0,674
SEBOX,Bos grunniens (Domestic yak),84.11867364746945,482.0,0,664
SEBOX,Camelus dromedarius (Arabian camel),84.29319371727748,483.0,0,663
SEBOX,Panthera leo (Lion),85.51483420593368,490.0,0,656
SEBOX,Moschus moschiferus (Siberian musk deer),84.81675392670157,486.0,0,660
SEBOX,Physeter catodon (Sperm whale),85.24305555555556,491.0,0,658
SEBOX,Physeter catodon (Sperm whale),85.24305555555556,491.0,0,658
SEBOX,Delphinapterus leucas (Beluga whale),84.81675392670157,486.0,0,660
SEBOX,Felis catus (Cat),85.16579406631763,488.0,0,658
SEBOX,Ailuropoda melanoleuca (Giant panda),86.2129144851658,494.0,0,652
SEBOX,Macaca fascicularis (Crab-eating macaque),93.36823734729494,535.0,0,611
SEBOX,Callithrix jacchus (White-tufted-ear marmoset),87.95811518324608,504.0,0,633
SEBOX,Papio anubis (Olive baboon),92.67015706806284,531.0,0,615
SEBOX,Sus scrofa (Pig - Hampshire),83.07426597582038,481.0,0,671
SEBOX,Equus asinus (Donkey),83.7696335078534,480.0,0,660
SEBOX,Equus caballus (Horse),82.02443280977313,470.0,0,658
SEBOX,Cebus imitator (Panamanian white-faced capuchin),83.7696335078534,480.0,0,624
