Variant Name,Species,Similarity,Score,Start,End
EN1,Petromyzon marinus (Lamprey),23.324851569126377,275.0,0,1180
EN1,Ciona savignyi,55.72519083969466,657.0,0,1533
EN1,Myotis lucifugus (Microbat),84.64800678541137,998.0,0,1276
EN1,Petromyzon marinus (Lamprey),33.50296861747243,395.0,0,1198
EN1,Lepisosteus oculatus (Spotted gar),60.13570822731128,709.0,0,1328
EN1,Tetraodon nigroviridis (Tetraodon),38.42239185750636,453.0,0,1209
EN1,Petromyzon marinus (Lamprey),30.70398642917727,362.0,0,1198
EN1,Latimeria chalumnae (Coelacanth),56.573367260390164,667.0,0,1328
EN1,Poecilia formosa (Amazon molly),61.66242578456319,727.0,0,1307
EN1,Loxodonta africana (Elephant),91.56118143459916,1085.0,0,1279
EN1,Ciona intestinalis,57.67599660729432,680.0,0,1537
EN1,Poecilia formosa (Amazon molly),56.912637828668366,671.0,0,1312
EN1,Dasypus novemcinctus (Armadillo),78.62595419847328,927.0,0,1245
EN1,Chlorocebus sabaeus (Vervet-AGM),96.88552188552188,1151.0,0,1216
EN1,Mustela putorius furo (Ferret),67.00593723494487,790.0,0,1232
EN1,Tursiops truncatus (Dolphin),91.1886949293433,1097.0,0,1285
EN1,Gasterosteus aculeatus (Stickleback),58.184902459711616,686.0,0,1288
EN1,Otolemur garnettii (Bushbaby),93.08016877637131,1103.0,0,1261
EN1,Gasterosteus aculeatus (Stickleback),63.27396098388465,746.0,0,1321
EN1,Ochotona princeps (Pika),75.74215436810857,893.0,0,1267
EN1,Pelodiscus sinensis (Chinese softshell turtle),72.0949957591179,850.0,0,1322
EN1,Cavia porcellus (Guinea Pig),68.27820186598814,805.0,0,1253
EN1,Ictidomys tridecemlineatus (Squirrel),57.59117896522476,679.0,0,1211
EN1,Chinchilla lanigera (Long-tailed chinchilla),40.37319762510602,476.0,0,1189
EN1,Microtus ochrogaster (Prairie vole),82.5275657336726,973.0,0,1319
EN1,Cricetulus griseus (Chinese hamster CriGri),86.14506927465364,1057.0,0,1349
EN1,Cercocebus atys (Sooty mangabey),97.05387205387206,1153.0,0,1214
EN1,Nomascus leucogenys (Gibbon),74.1306191687871,874.0,0,1202
EN1,Macaca nemestrina (Pig-tailed macaque),96.88552188552188,1151.0,0,1216
EN1,Capra hircus (Goat (black bengal)),89.49545078577337,1082.0,0,1306
EN1,Mus pahari (Shrew mouse),86.02941176470588,1053.0,0,1350
EN1,Mus spretus (Algerian mouse),87.80284043441938,1051.0,0,1325
EN1,Mus caroli (Ryukyu mouse),86.32268632268632,1054.0,0,1346
EN1,Danio rerio (Zebrafish),49.957591178965224,589.0,0,1286
EN1,Eptatretus burgeri (Hagfish),47.837150127226465,564.0,0,1281
EN1,Danio rerio (Zebrafish),55.89482612383377,659.0,0,1345
EN1,Oryzias latipes (Japanese medaka HdrR),61.40797285835454,724.0,0,1298
EN1,Amphiprion ocellaris (Clown anemonefish),60.81424936386769,717.0,0,1341
EN1,Stegastes partitus (Bicolor damselfish),62.00169635284139,731.0,0,1330
EN1,Amphilophus citrinellus (Midas cichlid),55.216284987277355,651.0,0,1281
EN1,Stegastes partitus (Bicolor damselfish),60.13570822731128,709.0,0,1322
EN1,Oryzias melastigma (Indian medaka),68.70229007633588,810.0,0,1398
EN1,Amphilophus citrinellus (Midas cichlid),61.06870229007634,720.0,0,1338
EN1,Cyprinodon variegatus (Sheepshead minnow),66.0729431721798,779.0,0,1378
EN1,Amphiprion percula (Orange clownfish),51.908396946564885,612.0,0,1263
EN1,Oryzias melastigma (Indian medaka),61.492790500424086,725.0,0,1294
EN1,Maylandia zebra (Zebra mbuna),60.55979643765903,714.0,0,1341
EN1,Cyprinodon variegatus (Sheepshead minnow),55.97964376590331,660.0,0,1323
EN1,Fundulus heteroclitus (Mummichog),62.00169635284139,731.0,0,1303
EN1,Astatotilapia calliptera (Eastern happy),60.64461407972858,715.0,0,1343
EN1,Maylandia zebra (Zebra mbuna),60.13570822731128,709.0,0,1325
EN1,Amphiprion percula (Orange clownfish),60.729431721798136,716.0,0,1315
EN1,Astatotilapia calliptera (Eastern happy),60.30534351145038,711.0,0,1335
EN1,Xiphophorus maculatus (Platyfish),58.94826123833757,695.0,0,1375
EN1,Neolamprologus brichardi (Lyretail cichlid),60.13570822731128,709.0,0,1325
EN1,Pundamilia nyererei (Makobe Island cichlid),60.220525869380836,710.0,0,1324
EN1,Neolamprologus brichardi (Lyretail cichlid),49.787955894826126,587.0,0,1264
EN1,Pundamilia nyererei (Makobe Island cichlid),50.89058524173028,600.0,0,1260
EN1,Xiphophorus maculatus (Platyfish),61.747243426632735,728.0,0,1306
EN1,Notechis scutatus (Mainland tiger snake),76.2384550797649,908.0,0,1462
EN1,Anser brachyrhynchus (Pink-footed goose),63.91752577319587,930.0,0,1704
