Variant Name,Species,Similarity,Score,Start,End
MKX,Myotis lucifugus (Microbat),73.18224740321058,775.0,0,1121
MKX,Lepisosteus oculatus (Spotted gar),73.93767705382436,783.0,0,1314
MKX,Loxodonta africana (Elephant),90.08498583569406,954.0,0,1164
MKX,Mustela putorius furo (Ferret),90.8662900188324,965.0,0,1156
MKX,Otolemur garnettii (Bushbaby),74.59867799811143,790.0,0,1115
MKX,Dasypus novemcinctus (Armadillo),89.54802259887006,951.0,0,1170
MKX,Chlorocebus sabaeus (Vervet-AGM),76.01510859301227,805.0,0,1073
MKX,Gasterosteus aculeatus (Stickleback),74.81481481481481,808.0,0,1331
MKX,Pteropus vampyrus (Megabat),91.59584513692162,970.0,0,1148
MKX,Tursiops truncatus (Dolphin),89.80169971671388,951.0,0,1164
MKX,Ochotona princeps (Pika),71.1484593837535,762.0,0,1368
MKX,Echinops telfairi (Lesser hedgehog tenrec),81.30311614730878,861.0,0,1257
MKX,Sorex araneus (Shrew),89.80169971671388,951.0,0,1164
MKX,Erinaceus europaeus (Hedgehog),72.99338999055713,773.0,0,1156
MKX,Procavia capensis (Hyrax),75.3541076487252,798.0,0,1215
MKX,Choloepus hoffmanni (Sloth),75.80037664783428,805.0,0,1316
MKX,Notamacropus eugenii (Wallaby),76.109537299339,806.0,0,1192
MKX,Cavia porcellus (Guinea Pig),89.04627006610009,943.0,0,1175
MKX,Chinchilla lanigera (Long-tailed chinchilla),90.84041548630783,962.0,0,1156
MKX,Cricetulus griseus (Chinese hamster CriGri),87.25212464589235,924.0,0,1194
MKX,Ictidomys tridecemlineatus (Squirrel),91.59584513692162,970.0,0,1148
MKX,Microtus ochrogaster (Prairie vole),86.87440982058547,920.0,0,1198
MKX,Cercocebus atys (Sooty mangabey),98.01699716713881,1038.0,0,1080
MKX,Macaca nemestrina (Pig-tailed macaque),98.20585457979226,1040.0,0,1078
MKX,Nomascus leucogenys (Gibbon),98.48914069877243,1043.0,0,1075
MKX,Mus caroli (Ryukyu mouse),86.34651600753295,917.0,0,1204
MKX,Mus spretus (Algerian mouse),86.4406779661017,918.0,0,1203
MKX,Mus pahari (Shrew mouse),86.34651600753295,917.0,0,1204
MKX,Capra hircus (Goat (black bengal)),90.27384324834749,956.0,0,1162
MKX,Panthera tigris altaica (Tiger),74.40982058545798,788.0,0,1303
MKX,Danio rerio (Zebrafish),73.74881964117091,781.0,0,1328
MKX,Amphilophus citrinellus (Midas cichlid),73.65439093484419,780.0,0,1290
MKX,Stegastes partitus (Bicolor damselfish),74.69310670443815,791.0,0,1276
MKX,Cyprinodon variegatus (Sheepshead minnow),70.91595845136922,751.0,0,1364
MKX,Oryzias melastigma (Indian medaka),74.5589600742804,803.0,0,1333
MKX,Fundulus heteroclitus (Mummichog),73.94106813996318,803.0,0,1342
MKX,Maylandia zebra (Zebra mbuna),73.44028520499108,824.0,0,1357
MKX,Astatotilapia calliptera (Eastern happy),73.04964539007092,824.0,0,1363
MKX,Amphiprion ocellaris (Clown anemonefish),73.73188405797102,814.0,0,1349
MKX,Amphiprion percula (Orange clownfish),75.16525023607177,796.0,0,1298
MKX,Pundamilia nyererei (Makobe Island cichlid),76.39282341831917,809.0,0,1297
MKX,Xiphophorus maculatus (Platyfish),74.22096317280453,786.0,0,1305
MKX,Xiphophorus maculatus (Platyfish),72.31481481481481,781.0,0,1358
MKX,Sphenodon punctatus (Tuatara),84.70254957507082,897.0,0,1218
MKX,Bos mutus (Wild yak),90.27384324834749,956.0,0,1162
MKX,Crocodylus porosus (Australian saltwater crocodile),82.43626062322946,873.0,0,1230
MKX,Notechis scutatus (Mainland tiger snake),79.60339943342775,843.0,0,1266
MKX,Chelonoidis abingdonii (Abingdon island giant tortoise),82.90840415486308,878.0,0,1234
MKX,Phascolarctos cinereus (Koala),85.40489642184558,907.0,0,1214
MKX,Mus spicilegus (Steppe mouse),75.85365853658537,933.0,0,1356
MKX,Neovison vison (American mink),91.05461393596987,967.0,0,1154
MKX,Parus major (Great Tit),84.89140698772427,899.0,0,1213
MKX,Salvator merianae (Argentine black and white tegu),82.34183191690275,872.0,0,1243
MKX,Coturnix japonica (Japanese quail),84.32483474976394,893.0,0,1219
