Variant Name,Species,Similarity,Score,Start,End
SHOX2,Tetraodon nigroviridis (Tetraodon),75.72916666666667,727.0,0,1133
SHOX2,Latimeria chalumnae (Coelacanth),73.64583333333333,707.0,0,1147
SHOX2,Myotis lucifugus (Microbat),81.25,780.0,0,1053
SHOX2,Echinops telfairi (Lesser hedgehog tenrec),55.52083333333333,533.0,0,997
SHOX2,Tupaia belangeri (Tree Shrew),59.47916666666667,571.0,0,1034
SHOX2,Tetraodon nigroviridis (Tetraodon),43.020833333333336,413.0,0,1021
SHOX2,Tetraodon nigroviridis (Tetraodon),40.729166666666664,391.0,0,998
SHOX2,Lepisosteus oculatus (Spotted gar),73.95833333333334,710.0,0,1111
SHOX2,Pteropus vampyrus (Megabat),90.4330312185297,898.0,0,1055
SHOX2,Poecilia formosa (Amazon molly),75.3125,723.0,0,1143
SHOX2,Loxodonta africana (Elephant),81.5625,783.0,0,1077
SHOX2,Dasypus novemcinctus (Armadillo),91.61676646706587,918.0,0,1044
SHOX2,Chlorocebus sabaeus (Vervet-AGM),95.58232931726907,952.0,0,1004
SHOX2,Gasterosteus aculeatus (Stickleback),57.395833333333336,551.0,0,1048
SHOX2,Mustela putorius furo (Ferret),82.1875,789.0,0,1038
SHOX2,Tursiops truncatus (Dolphin),61.66666666666667,592.0,0,1214
SHOX2,Otolemur garnettii (Bushbaby),91.7933130699088,906.0,0,1041
SHOX2,Pelodiscus sinensis (Chinese softshell turtle),81.45833333333333,782.0,0,1081
SHOX2,Ochotona princeps (Pika),53.541666666666664,514.0,0,1097
SHOX2,Erinaceus europaeus (Hedgehog),88.95705521472392,870.0,0,1068
SHOX2,Notamacropus eugenii (Wallaby),48.75,468.0,0,1194
SHOX2,Chinchilla lanigera (Long-tailed chinchilla),90.5905905905906,905.0,0,1054
SHOX2,Cavia porcellus (Guinea Pig),93.45794392523365,900.0,0,1023
SHOX2,Ictidomys tridecemlineatus (Squirrel),93.02083333333333,893.0,0,1027
SHOX2,Microtus ochrogaster (Prairie vole),89.85943775100401,895.0,0,1061
SHOX2,Cricetulus griseus (Chinese hamster CriGri),93.33333333333333,896.0,0,1024
SHOX2,Nomascus leucogenys (Gibbon),84.47916666666667,811.0,0,1076
SHOX2,Cercocebus atys (Sooty mangabey),88.95131086142321,950.0,0,1078
SHOX2,Macaca nemestrina (Pig-tailed macaque),89.04494382022472,951.0,0,1077
SHOX2,Mus pahari (Shrew mouse),90.5337361530715,899.0,0,1054
SHOX2,Mus caroli (Ryukyu mouse),90.33232628398792,897.0,0,1056
SHOX2,Mus spretus (Algerian mouse),90.33232628398792,897.0,0,1056
