Species,Similarity
Pan troglodytes (Chimpanzee),99.74439775910363
Gorilla gorilla gorilla (Gorilla),99.19117647058825
Pongo abelii (Sumatran orangutan),98.88772175536883
Macaca nemestrina (Pig-tailed macaque),98.13258636788048
Macaca mulatta (Macaque),98.00770308123249
Macaca fascicularis (Crab-eating macaque),97.49649859943978
Rhinopithecus roxellana (Golden snub-nosed monkey),97.43113912231559
Cercocebus atys (Sooty mangabey),97.30197331851028
Cebus imitator (Panamanian white-faced capuchin),96.2721755368814
Aotus nancymaae (Ma's night monkey),96.13562091503269
Rhinopithecus bieti (Black snub-nosed monkey),96.11811391223154
Callithrix jacchus (White-tufted-ear marmoset),95.96872082166199
Propithecus coquereli (Coquerel's sifaka),92.4516757057433
Panthera leo (Lion),91.88244047619048
Phocoena sinus (Vaquita),91.84056956115779
Prolemur simus (Greater bamboo lemur),91.74238239896899
Pan paniscus (Bonobo),91.64565826330532
Delphinapterus leucas (Beluga whale),91.6015625
Monodon monoceros (Narwhal),91.53645833333333
Balaenoptera musculus (Blue whale),91.46008403361344
Ovis aries (Sheep),91.2219887955182
Rhinolophus ferrumequinum (Greater horseshoe bat),91.21651785714285
Physeter catodon (Sperm whale),91.17413632119515
Capra hircus (Goat (black bengal)),91.1624649859944
Cervus hanglu yarkandensis (Yarkand deer),91.15662931839401
Moschus moschiferus (Siberian musk deer),91.15662931839401
Microcebus murinus (Mouse Lemur),91.11686458621007
Sciurus vulgaris (Eurasian red squirrel),91.07376283846872
Bos indicus x Bos taurus (Hybrid - Bos Taurus),91.02591036414566
Bos taurus (Cow),90.96638655462186
Urocitellus parryii (Arctic ground squirrel),90.84733893557424
Canis lupus familiaris (Dog - Boxer),90.8203125
Bos grunniens (Domestic yak),90.69327731092437
Sus scrofa (Pig - Hampshire),90.36531279178338
Otolemur garnettii (Bushbaby),90.35364145658264
Pteropus vampyrus (Megabat),90.15997023809524
Octodon degus (Degu),89.91479925303454
Catagonus wagneri (Chacoan peccary),89.79648576512456
Chinchilla lanigera (Long-tailed chinchilla),89.62301587301587
Ailuropoda melanoleuca (Giant panda),89.55882352941177
Neovison vison (American mink),89.4159226190476
Nannospalax galili (Upper Galilee mountains blind mole rat),89.28338001867414
Tursiops truncatus (Dolphin),88.98342670401496
Peromyscus maniculatus bairdii (Northern American deer mouse),88.40356000556251
Mus musculus (Mouse),88.37314738101813
Mus spretus (Algerian mouse),88.33800186741362
Cricetulus griseus (Chinese hamster CriGri),88.16526610644257
Mus caroli (Ryukyu mouse),88.02582045774729
Papio anubis (Olive baboon),88.01128431828758
Mesocricetus auratus (Golden Hamster),87.80812324929971
Ictidomys tridecemlineatus (Squirrel),87.63732443331942
Microtus ochrogaster (Prairie vole),87.36754276178556
Mus pahari (Shrew mouse),87.31685729847494
Equus asinus (Donkey),87.21288515406162
Rattus norvegicus (Rat),87.0561282932417
Echinops telfairi (Lesser hedgehog tenrec),87.05357142857142
Chlorocebus sabaeus (Vervet-AGM),86.92460317460316
Jaculus jaculus (Lesser Egyptian jerboa),86.6087516087516
Heterocephalus glaber (Naked mole-rat),86.44380156434158
Felis catus (Cat),85.91101694915255
Marmota marmota marmota (Alpine marmot),85.66059757236229
Nomascus leucogenys (Gibbon),85.02184810575815
Vombatus ursinus (Common wombat),83.13025210084032
Phascolarctos cinereus (Koala),82.7672735760971
Notamacropus eugenii (Wallaby),82.43464052287581
Monodelphis domestica (Opossum),81.93510737628384
Oryctolagus cuniculus (Rabbit),81.54456654456655
Mustela putorius furo (Ferret),80.62791783380018
Ornithorhynchus anatinus (Platypus),80.61899269511727
Sarcophilus harrisii (Tasmanian devil),80.52044691750575
Gallus gallus (Chicken),80.36181139122314
Strigops habroptila (Kakapo),80.25560224089637
Parus major (Great Tit),79.96616956641812
Taeniopygia guttata (Zebra finch),79.92863576526017
Dipodomys ordii (Kangaroo rat),79.37908496732027
Chelonoidis abingdonii (Abingdon island giant tortoise),79.22735760971057
Terrapene carolina triunguis (Three-toed box turtle),79.15032679738562
