Variant Name,Species,Similarity,Score,Start,End
LBX1,Myotis lucifugus (Microbat),93.99293286219081,798.0,0,897
LBX1,Pteropus vampyrus (Megabat),93.3806146572104,790.0,0,896
LBX1,Dasypus novemcinctus (Armadillo),95.0530035335689,807.0,0,888
LBX1,Otolemur garnettii (Bushbaby),95.50827423167848,808.0,0,884
LBX1,Tursiops truncatus (Dolphin),94.32624113475178,798.0,0,894
LBX1,Mustela putorius furo (Ferret),94.2080378250591,797.0,0,895
LBX1,Chlorocebus sabaeus (Vervet-AGM),98.81796690307328,836.0,0,856
LBX1,Sorex araneus (Shrew),93.61702127659575,792.0,0,897
LBX1,Ochotona princeps (Pika),91.84397163120568,777.0,0,915
LBX1,Notamacropus eugenii (Wallaby),85.22458628841608,721.0,0,947
LBX1,Cavia porcellus (Guinea Pig),87.47044917257683,740.0,0,931
LBX1,Microtus ochrogaster (Prairie vole),92.67139479905437,784.0,0,908
LBX1,Ictidomys tridecemlineatus (Squirrel),93.85342789598108,794.0,0,898
LBX1,Cricetulus griseus (Chinese hamster CriGri),94.08983451536643,796.0,0,896
LBX1,Chinchilla lanigera (Long-tailed chinchilla),92.8904428904429,797.0,0,907
LBX1,Macaca nemestrina (Pig-tailed macaque),98.81796690307328,836.0,0,856
LBX1,Nomascus leucogenys (Gibbon),98.93617021276596,837.0,0,855
LBX1,Cercocebus atys (Sooty mangabey),98.93617021276596,837.0,0,855
LBX1,Mus pahari (Shrew mouse),92.5531914893617,783.0,0,909
LBX1,Mus spretus (Algerian mouse),92.90780141843972,786.0,0,906
LBX1,Capra hircus (Goat (black bengal)),94.08983451536643,796.0,0,896
LBX1,Mus caroli (Ryukyu mouse),92.90780141843972,786.0,0,906
LBX1,Vulpes vulpes (Red fox),94.15204678362574,805.0,0,896
LBX1,Neovison vison (American mink),94.08983451536643,796.0,0,896
LBX1,Phascolarctos cinereus (Koala),85.34278959810875,722.0,0,946
LBX1,Mus spicilegus (Steppe mouse),92.93286219081273,789.0,0,906
LBX1,Peromyscus maniculatus bairdii (Northern American deer mouse),93.63957597173145,795.0,0,900
LBX1,Coturnix japonica (Japanese quail),81.08747044917257,686.0,0,985
LBX1,Crocodylus porosus (Australian saltwater crocodile),83.56973995271868,707.0,0,952
LBX1,Bos taurus (Cow),93.75736160188457,796.0,0,899
LBX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),93.75736160188457,796.0,0,899
LBX1,Aquila chrysaetos chrysaetos (Golden eagle),80.26004728132388,679.0,0,995
LBX1,Taeniopygia guttata (Zebra finch),80.49645390070921,681.0,0,993
LBX1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),87.82505910165484,743.0,0,859
LBX1,Prolemur simus (Greater bamboo lemur),95.62647754137116,809.0,0,883
LBX1,Aotus nancymaae (Ma's night monkey),98.10874704491725,830.0,0,862
LBX1,Jaculus jaculus (Lesser Egyptian jerboa),93.63957597173145,795.0,0,900
LBX1,Nannospalax galili (Upper Galilee mountains blind mole rat),93.02600472813238,787.0,0,905
LBX1,Pan troglodytes (Chimpanzee),99.88179669030734,845.0,0,847
LBX1,Propithecus coquereli (Coquerel's sifaka),95.8628841607565,811.0,0,881
LBX1,Bison bison bison (American bison),93.21637426900585,797.0,0,904
LBX1,Gorilla gorilla gorilla (Gorilla),99.17257683215131,839.0,0,853
LBX1,Ursus americanus (American black bear),95.0354609929078,804.0,0,888
LBX1,Rhinopithecus bieti (Black snub-nosed monkey),98.58156028368793,834.0,0,858
LBX1,Microcebus murinus (Mouse Lemur),94.91725768321513,803.0,0,889
LBX1,Panthera pardus (Leopard),95.39007092198581,807.0,0,885
LBX1,Urocitellus parryii (Arctic ground squirrel),93.85342789598108,794.0,0,898
LBX1,Mandrillus leucophaeus (Drill),91.725768321513,776.0,0,856
LBX1,Rhinopithecus roxellana (Golden snub-nosed monkey),98.58156028368793,834.0,0,858
