Variant Name,Species,Similarity,Score,Start,End
PDX1,Myotis lucifugus (Microbat),89.7887323943662,765.0,0,936
PDX1,Chlorocebus sabaeus (Vervet-AGM),97.88732394366197,834.0,0,870
PDX1,Mustela putorius furo (Ferret),89.31924882629107,761.0,0,943
PDX1,Tupaia belangeri (Tree Shrew),87.32394366197182,744.0,0,936
PDX1,Otolemur garnettii (Bushbaby),88.73239436619718,756.0,0,945
PDX1,Pteropus vampyrus (Megabat),92.13615023474179,785.0,0,919
PDX1,Erinaceus europaeus (Hedgehog),87.79342723004694,748.0,0,944
PDX1,Tursiops truncatus (Dolphin),92.13615023474179,785.0,0,919
PDX1,Echinops telfairi (Lesser hedgehog tenrec),85.7981220657277,731.0,0,934
PDX1,Ictidomys tridecemlineatus (Squirrel),89.7887323943662,765.0,0,939
PDX1,Cricetulus griseus (Chinese hamster CriGri),85.44600938967136,728.0,0,976
PDX1,Microtus ochrogaster (Prairie vole),85.56338028169014,729.0,0,975
PDX1,Nomascus leucogenys (Gibbon),98.47417840375586,839.0,0,865
PDX1,Cercocebus atys (Sooty mangabey),97.76995305164318,833.0,0,871
PDX1,Macaca nemestrina (Pig-tailed macaque),97.1830985915493,828.0,0,870
PDX1,Capra hircus (Goat (black bengal)),90.87719298245615,777.0,0,930
PDX1,Mus caroli (Ryukyu mouse),85.09389671361502,725.0,0,979
PDX1,Mus spretus (Algerian mouse),84.97652582159625,724.0,0,980
PDX1,Mus pahari (Shrew mouse),84.74178403755869,722.0,0,982
PDX1,Vulpes vulpes (Red fox),88.49765258215963,754.0,0,947
PDX1,Neovison vison (American mink),88.84976525821597,757.0,0,947
PDX1,Mus spicilegus (Steppe mouse),84.91228070175438,726.0,0,981
PDX1,Bos taurus (Cow),89.5104895104895,768.0,0,942
PDX1,Peromyscus maniculatus bairdii (Northern American deer mouse),86.7132867132867,744.0,0,966
PDX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),89.5104895104895,768.0,0,942
PDX1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),91.90140845070422,783.0,0,918
PDX1,Aotus nancymaae (Ma's night monkey),95.18779342723005,811.0,0,890
