Species,Similarity
Pan troglodytes (Chimpanzee),99.54634498401896
Gorilla gorilla gorilla (Gorilla),99.42055882049695
Pan paniscus (Bonobo),98.92970130243643
Pongo abelii (Sumatran orangutan),98.86011427631848
Macaca mulatta (Macaque),97.42241468192596
Macaca nemestrina (Pig-tailed macaque),97.3677698731828
Macaca fascicularis (Crab-eating macaque),97.3048767914218
Papio anubis (Olive baboon),97.3048767914218
Cercocebus atys (Sooty mangabey),97.29662851840396
Rhinopithecus bieti (Black snub-nosed monkey),97.21208371997113
Chlorocebus sabaeus (Vervet-AGM),97.18733890091761
Rhinopithecus roxellana (Golden snub-nosed monkey),97.07804928343128
Nomascus leucogenys (Gibbon),96.73162181668215
Aotus nancymaae (Ma's night monkey),96.03578618677844
Cebus imitator (Panamanian white-faced capuchin),95.27932234253569
Callithrix jacchus (White-tufted-ear marmoset),95.24908683010585
Prolemur simus (Greater bamboo lemur),92.57346118156512
Equus caballus (Horse),92.56005773791114
Equus asinus (Donkey),92.48891638313228
Propithecus coquereli (Coquerel's sifaka),92.4766720105233
Balaenoptera musculus (Blue whale),92.22394061243429
Physeter catodon (Sperm whale),91.95729025362765
Delphinapterus leucas (Beluga whale),91.76203732343541
Felis catus (Cat),91.6681053972952
Monodon monoceros (Narwhal),91.65274770594907
Ailuropoda melanoleuca (Giant panda),91.64449943293124
Otolemur garnettii (Bushbaby),91.63831322816785
Panthera leo (Lion),91.52546553212481
Canis lupus familiaris (Dog - Boxer),91.503288058509
Panthera pardus (Leopard),91.44757191463037
Neovison vison (American mink),91.41767192494072
Catagonus wagneri (Chacoan peccary),91.32256871687414
Rhinolophus ferrumequinum (Greater horseshoe bat),91.29917375755333
Dasypus novemcinctus (Armadillo),91.2537374987112
Ovis aries (Sheep),91.07121000709897
Ursus americanus (American black bear),90.82404002652359
Capra hircus (Goat (black bengal)),90.79092311081737
Bos grunniens (Domestic yak),90.79092311081737
Moschus moschiferus (Siberian musk deer),90.75151961687234
Urocitellus parryii (Arctic ground squirrel),90.67685553753667
Phocoena sinus (Vaquita),90.64439632951851
Sciurus vulgaris (Eurasian red squirrel),90.3635723295166
Dipodomys ordii (Kangaroo rat),89.94556062286864
Marmota marmota marmota (Alpine marmot),89.82987936900712
Mustela putorius furo (Ferret),89.57212083719972
Microcebus murinus (Mouse Lemur),89.35766573873596
Nannospalax galili (Upper Galilee mountains blind mole rat),89.15341326156104
Peromyscus maniculatus bairdii (Northern American deer mouse),88.41575204505281
Heterocephalus glaber (Naked mole-rat),88.27715355805243
Octodon degus (Degu),88.05650067017218
Rattus norvegicus (Rat),87.98392732354996
Jaculus jaculus (Lesser Egyptian jerboa),87.85441798123519
Mus pahari (Shrew mouse),87.81214558201876
Mesocricetus auratus (Golden Hamster),87.67092813466893
Cricetulus griseus (Chinese hamster CriGri),87.5479628003772
Mus musculus (Mouse),87.51449007275866
Mus spretus (Algerian mouse),87.47602845654191
Microtus ochrogaster (Prairie vole),87.44769186500596
Mus caroli (Ryukyu mouse),87.1481596040829
Mus spicilegus (Steppe mouse),87.01977226949481
Cervus hanglu yarkandensis (Yarkand deer),86.54848522218111
Tursiops truncatus (Dolphin),85.35828435921229
Tupaia belangeri (Tree Shrew),84.49118465821218
Vombatus ursinus (Common wombat),83.99938137952367
Monodelphis domestica (Opossum),83.72615733580781
Phascolarctos cinereus (Koala),83.4745850087638
Sarcophilus harrisii (Tasmanian devil),83.28281266109909
Bos indicus x Bos taurus (Hybrid - Bos Taurus),81.39873159946472
Sus scrofa (Pig - Hampshire),81.14707526080477
Ictidomys tridecemlineatus (Squirrel),79.25263979621184
Gallus gallus (Chicken),78.75760387668832
Anas platyrhynchos (Mallard),77.9595834622126
Coturnix japonica (Japanese quail),77.63171460975359
Strigops habroptila (Kakapo),77.31209403031241
Oryctolagus cuniculus (Rabbit),77.13591571681577
Taeniopygia guttata (Zebra finch),76.86359418496752
Gopherus evgoodei (Goodes thornscrub tortoise),76.28209093721003
Terrapene carolina triunguis (Three-toed box turtle),76.28209093721003
Parus major (Great Tit),76.26559439117435
Chrysemys picta bellii (Painted turtle),76.2573461181565
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),76.22435302608517
Ficedula albicollis (Collared flycatcher),76.21593291404612
