Variant Name,Species,Similarity,Score,Start,End
PROX1,Myotis lucifugus (Microbat),94.39927732610658,2090.0,0,2311
PROX1,Tetraodon nigroviridis (Tetraodon),72.26738934056007,1600.0,0,2801
PROX1,Ciona savignyi,47.60614272809395,1054.0,0,2441
PROX1,Pteropus vampyrus (Megabat),95.39767649687221,2135.0,0,2317
PROX1,Petromyzon marinus (Lamprey),17.344173441734416,384.0,0,2214
PROX1,Tursiops truncatus (Dolphin),95.20609318996416,2125.0,0,2321
PROX1,Lepisosteus oculatus (Spotted gar),83.31084120557804,1852.0,0,2585
PROX1,Poecilia formosa (Amazon molly),71.02157102157102,1745.0,0,2926
PROX1,Latimeria chalumnae (Coelacanth),79.62962962962963,1763.0,0,2518
PROX1,Mustela putorius furo (Ferret),95.16711833785004,2107.0,0,2321
PROX1,Loxodonta africana (Elephant),94.35411020776876,2089.0,0,2339
PROX1,Ciona intestinalis,62.19512195121951,1377.0,0,2835
PROX1,Ciona intestinalis,52.30352303523035,1158.0,0,2529
PROX1,Chlorocebus sabaeus (Vervet-AGM),99.41282746160795,2201.0,0,2227
PROX1,Dasypus novemcinctus (Armadillo),94.15204678362574,2093.0,0,2344
PROX1,Gasterosteus aculeatus (Stickleback),72.375,1737.0,0,2877
PROX1,Otolemur garnettii (Bushbaby),95.25745257452574,2109.0,0,2292
PROX1,Tupaia belangeri (Tree Shrew),75.46916890080428,1689.0,0,2763
PROX1,Pelodiscus sinensis (Chinese softshell turtle),90.96657633243,2014.0,0,2411
PROX1,Ochotona princeps (Pika),72.35772357723577,1602.0,0,2316
PROX1,Echinops telfairi (Lesser hedgehog tenrec),93.73601789709173,2095.0,0,2354
PROX1,Sorex araneus (Shrew),74.39024390243902,1647.0,0,2580
PROX1,Vicugna pacos (Alpaca),92.18608852755195,2041.0,0,2330
PROX1,Procavia capensis (Hyrax),80.53297199638662,1783.0,0,2531
PROX1,Choloepus hoffmanni (Sloth),73.71273712737127,1632.0,0,2784
PROX1,Notamacropus eugenii (Wallaby),59.80126467931346,1324.0,0,2555
PROX1,Chinchilla lanigera (Long-tailed chinchilla),95.39295392953929,2112.0,0,2316
PROX1,Cavia porcellus (Guinea Pig),94.89611562782294,2101.0,0,2327
PROX1,Ictidomys tridecemlineatus (Squirrel),97.01897018970189,2148.0,0,2280
PROX1,Microtus ochrogaster (Prairie vole),92.41192411924119,2046.0,0,2382
PROX1,Cricetulus griseus (Chinese hamster CriGri),92.5925925925926,2050.0,0,2378
PROX1,Nomascus leucogenys (Gibbon),99.59349593495935,2205.0,0,2223
PROX1,Macaca nemestrina (Pig-tailed macaque),99.59349593495935,2205.0,0,2223
PROX1,Cercocebus atys (Sooty mangabey),99.5483288166215,2204.0,0,2224
PROX1,Mus pahari (Shrew mouse),92.05058717253839,2038.0,0,2387
PROX1,Capra hircus (Goat (black bengal)),94.62511291779585,2095.0,0,2324
PROX1,Mus spretus (Algerian mouse),92.14092140921409,2040.0,0,2385
PROX1,Mus caroli (Ryukyu mouse),92.5022583559169,2048.0,0,2377
PROX1,Eptatretus burgeri (Hagfish),67.88617886178862,1503.0,0,2877
PROX1,Danio rerio (Zebrafish),79.41441441441441,1763.0,0,2671
PROX1,Panthera tigris altaica (Tiger),95.7542908762421,2120.0,0,2308
PROX1,Cyprinodon variegatus (Sheepshead minnow),70.5237515225335,1737.0,0,2940
PROX1,Amphilophus citrinellus (Midas cichlid),70.53607416364369,1750.0,0,2945
PROX1,Stegastes partitus (Bicolor damselfish),70.49576783555018,1749.0,0,2946
PROX1,Amphiprion percula (Orange clownfish),70.06802721088435,1751.0,0,2962
PROX1,Oryzias melastigma (Indian medaka),70.66666666666667,1749.0,0,2940
PROX1,Amphiprion ocellaris (Clown anemonefish),70.50040355125101,1747.0,0,2945
PROX1,Fundulus heteroclitus (Mummichog),70.34343434343434,1741.0,0,2948
PROX1,Maylandia zebra (Zebra mbuna),70.58111380145279,1749.0,0,2943
PROX1,Astatotilapia calliptera (Eastern happy),67.6674364896074,1758.0,0,3054
PROX1,Oryzias latipes (Japanese medaka HdrR),70.18181818181817,1737.0,0,2952
PROX1,Pundamilia nyererei (Makobe Island cichlid),70.62146892655367,1750.0,0,2942
PROX1,Neolamprologus brichardi (Lyretail cichlid),67.59045419553503,1756.0,0,3056
PROX1,Xiphophorus maculatus (Platyfish),69.64996022275258,1751.0,0,2977
PROX1,Sphenodon punctatus (Tuatara),90.74074074074075,2009.0,0,2413
PROX1,Vulpes vulpes (Red fox),96.6576332429991,2140.0,0,2288
PROX1,Notechis scutatus (Mainland tiger snake),87.94037940379404,1947.0,0,2472
PROX1,Neovison vison (American mink),95.1219512195122,2106.0,0,2322
PROX1,Anser brachyrhynchus (Pink-footed goose),90.2439024390244,1998.0,0,2427
PROX1,Bos mutus (Wild yak),95.1219512195122,2106.0,0,2322
PROX1,Phascolarctos cinereus (Koala),93.04426377597109,2060.0,0,2365
PROX1,Chelonoidis abingdonii (Abingdon island giant tortoise),91.19241192411924,2019.0,0,2397
PROX1,Mus spicilegus (Steppe mouse),92.36675700090335,2045.0,0,2383
PROX1,Parus major (Great Tit),89.88256549232159,1990.0,0,2438
PROX1,Salvator merianae (Argentine black and white tegu),83.50340136054422,1964.0,0,2602
PROX1,Coturnix japonica (Japanese quail),90.5149051490515,2004.0,0,2421
PROX1,Crocodylus porosus (Australian saltwater crocodile),90.8762420957543,2012.0,0,2413
PROX1,Bos taurus (Cow),95.0316169828365,2104.0,0,2324
PROX1,Peromyscus maniculatus bairdii (Northern American deer mouse),92.36675700090335,2045.0,0,2383
PROX1,Electrophorus electricus (Electric eel),78.09394760614273,1729.0,0,2645
PROX1,Callorhinchus milii (Elephant shark),79.81029810298102,1767.0,0,2655
PROX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),94.90302210193956,2104.0,0,2327
PROX1,Aquila chrysaetos chrysaetos (Golden eagle),90.1535682023487,1996.0,0,2426
PROX1,Taeniopygia guttata (Zebra finch),89.89625620207488,1993.0,0,2438
