Variant Name,Species,Similarity,Score,Start,End
HOXA10,Tursiops truncatus (Dolphin),88.56447688564477,1092.0,0,1323
HOXA10,Loxodonta africana (Elephant),90.98228663446055,1130.0,0,1345
HOXA10,Mustela putorius furo (Ferret),91.86795491143317,1141.0,0,1334
HOXA10,Otolemur garnettii (Bushbaby),92.02898550724638,1143.0,0,1332
HOXA10,Ochotona princeps (Pika),84.83373884833739,1046.0,0,1363
HOXA10,Microtus ochrogaster (Prairie vole),88.23064770932069,1117.0,0,1382
HOXA10,Chinchilla lanigera (Long-tailed chinchilla),91.62640901771336,1138.0,0,1337
HOXA10,Cricetulus griseus (Chinese hamster CriGri),88.59857482185272,1119.0,0,1377
HOXA10,Macaca nemestrina (Pig-tailed macaque),96.5125709651257,1190.0,0,1276
HOXA10,Cercocebus atys (Sooty mangabey),96.67477696674777,1192.0,0,1274
HOXA10,Mus pahari (Shrew mouse),87.92965627498002,1100.0,0,1384
HOXA10,Mus spretus (Algerian mouse),88.38141025641025,1103.0,0,1378
HOXA10,Mus caroli (Ryukyu mouse),88.70192307692307,1107.0,0,1374
HOXA10,Capra hircus (Goat (black bengal)),92.02898550724638,1143.0,0,1332
HOXA10,Vulpes vulpes (Red fox),86.78021086780211,1070.0,0,1312
HOXA10,Bos indicus x Bos taurus (Hybrid - Bos Taurus),91.96787148594377,1145.0,0,1333
HOXA10,Propithecus coquereli (Coquerel's sifaka),93.67396593673966,1155.0,0,1311
HOXA10,Aotus nancymaae (Ma's night monkey),95.53933495539336,1178.0,0,1288
HOXA10,Pan troglodytes (Chimpanzee),99.35117599351176,1225.0,0,1241
HOXA10,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),96.18815896188158,1186.0,0,1280
HOXA10,Gorilla gorilla gorilla (Gorilla),97.91164658634538,1219.0,0,1259
HOXA10,Rhinopithecus bieti (Black snub-nosed monkey),96.43146796431468,1189.0,0,1277
HOXA10,Pan troglodytes (Chimpanzee),99.51338199513383,1227.0,0,1239
HOXA10,Panthera pardus (Leopard),91.90705128205127,1147.0,0,1334
HOXA10,Microcebus murinus (Mouse Lemur),94.07948094079481,1160.0,0,1306
HOXA10,Mesocricetus auratus (Golden Hamster),88.36104513064133,1116.0,0,1380
HOXA10,Mandrillus leucophaeus (Drill),96.59367396593674,1191.0,0,1275
HOXA10,Rhinopithecus roxellana (Golden snub-nosed monkey),96.59367396593674,1191.0,0,1275
HOXA10,Pan paniscus (Bonobo),96.5125709651257,1190.0,0,1240
HOXA10,Canis lupus familiaris (Dog - Boxer),92.04819277108433,1146.0,0,1332
HOXA10,Balaenoptera musculus (Blue whale),92.79935275080906,1147.0,0,1322
HOXA10,Phocoena sinus (Vaquita),91.88755020080322,1144.0,0,1334
HOXA10,Sciurus vulgaris (Eurasian red squirrel),90.77167859984088,1141.0,0,1349
HOXA10,Catagonus wagneri (Chacoan peccary),92.71844660194175,1146.0,0,1323
HOXA10,Moschus moschiferus (Siberian musk deer),92.49394673123487,1146.0,0,1326
HOXA10,Oryctolagus cuniculus (Rabbit),91.23222748815166,1155.0,0,1344
HOXA10,Camelus dromedarius (Arabian camel),91.94847020933977,1142.0,0,1333
HOXA10,Macaca mulatta (Macaque),96.43146796431468,1189.0,0,1277
HOXA10,Ornithorhynchus anatinus (Platypus),82.07623682076238,1012.0,0,1445
HOXA10,Delphinapterus leucas (Beluga whale),92.71844660194175,1146.0,0,1323
HOXA10,Ailuropoda melanoleuca (Giant panda),91.4859437751004,1139.0,0,1339
HOXA10,Felis catus (Cat),92.09039548022598,1141.0,0,1331
HOXA10,Macaca fascicularis (Crab-eating macaque),96.18815896188158,1186.0,0,1277
HOXA10,Canis lupus familiaris (Dog - Boxer),92.19001610305958,1145.0,0,1330
HOXA10,Callithrix jacchus (White-tufted-ear marmoset),96.10705596107056,1185.0,0,1281
HOXA10,Sus scrofa (Pig - Hampshire),92.88025889967638,1148.0,0,1321
HOXA10,Equus asinus (Donkey),92.8341384863124,1153.0,0,1322
HOXA10,Equus caballus (Horse),81.4896755162242,1105.0,0,1484
HOXA10,Cebus imitator (Panamanian white-faced capuchin),96.18815896188158,1186.0,0,1280
HOXA10,Rattus norvegicus (Rat),89.5330112721417,1112.0,0,1363
HOXA10,Heterocephalus glaber (Naked mole-rat),91.82692307692307,1146.0,0,1335
HOXA10,Mus musculus (Mouse),88.48920863309353,1107.0,0,1377
HOXA11,Myotis lucifugus (Microbat),88.1619937694704,849.0,0,1056
HOXA11,Tursiops truncatus (Dolphin),95.96602972399151,904.0,0,974
HOXA11,Loxodonta africana (Elephant),95.23809523809523,900.0,0,987
