Variant Name,Species,Similarity,Score,Start,End
HNF1A,Myotis lucifugus (Microbat),91.66666666666666,1738.0,0,2045
HNF1A,Chlorocebus sabaeus (Vervet-AGM),97.57767245918905,1853.0,0,1942
HNF1A,Loxodonta africana (Elephant),92.24683544303798,1749.0,0,2043
HNF1A,Dasypus novemcinctus (Armadillo),89.45147679324894,1696.0,0,2033
HNF1A,Otolemur garnettii (Bushbaby),92.9324894514768,1762.0,0,2030
HNF1A,Mustela putorius furo (Ferret),91.58780231335436,1742.0,0,2056
HNF1A,Pteropus vampyrus (Megabat),91.82489451476793,1741.0,0,2048
HNF1A,Procavia capensis (Hyrax),85.75949367088607,1626.0,0,2163
HNF1A,Notamacropus eugenii (Wallaby),82.0675105485232,1556.0,0,2218
HNF1A,Cavia porcellus (Guinea Pig),91.40295358649789,1733.0,0,2050
HNF1A,Chinchilla lanigera (Long-tailed chinchilla),92.19409282700421,1748.0,0,2044
HNF1A,Cricetulus griseus (Chinese hamster CriGri),90.18987341772153,1710.0,0,2079
HNF1A,Microtus ochrogaster (Prairie vole),90.66455696202532,1719.0,0,2073
HNF1A,Nomascus leucogenys (Gibbon),84.49367088607595,1602.0,0,1983
HNF1A,Cercocebus atys (Sooty mangabey),92.81045751633987,1846.0,0,2039
HNF1A,Macaca nemestrina (Pig-tailed macaque),92.76018099547511,1845.0,0,2040
HNF1A,Mus caroli (Ryukyu mouse),88.71308016877637,1682.0,0,2098
HNF1A,Mus spretus (Algerian mouse),88.97679324894516,1687.0,0,2093
HNF1A,Mus pahari (Shrew mouse),88.97679324894516,1687.0,0,2093
HNF1A,Capra hircus (Goat (black bengal)),91.66666666666666,1738.0,0,2054
HNF1A,Vulpes vulpes (Red fox),88.01611278952669,1748.0,0,2134
HNF1A,Bos mutus (Wild yak),92.11356466876973,1752.0,0,2046
HNF1A,Neovison vison (American mink),90.92331768388107,1743.0,0,2070
HNF1A,Phascolarctos cinereus (Koala),83.0168776371308,1574.0,0,2197
HNF1A,Mus spicilegus (Steppe mouse),89.0295358649789,1688.0,0,2095
HNF1A,Bos taurus (Cow),92.11356466876973,1752.0,0,2046
HNF1A,Peromyscus maniculatus bairdii (Northern American deer mouse),89.76377952755905,1710.0,0,2091
HNF1A,Bos indicus x Bos taurus (Hybrid - Bos Taurus),92.00841219768665,1750.0,0,2048
HNF1A,Nannospalax galili (Upper Galilee mountains blind mole rat),90.55907172995781,1717.0,0,2072
HNF1A,Prolemur simus (Greater bamboo lemur),89.47633434038268,1777.0,0,2105
HNF1A,Jaculus jaculus (Lesser Egyptian jerboa),83.22784810126582,1578.0,0,2076
HNF1A,Propithecus coquereli (Coquerel's sifaka),89.14027149321268,1773.0,0,2112
HNF1A,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),95.93881856540084,1819.0,0,1973
HNF1A,Aotus nancymaae (Ma's night monkey),90.05756148613293,1721.0,0,2086
HNF1A,Gorilla gorilla gorilla (Gorilla),94.77124183006535,1885.0,0,2000
HNF1A,Rhinopithecus bieti (Black snub-nosed monkey),92.91101055806938,1848.0,0,2037
HNF1A,Bison bison bison (American bison),91.58780231335436,1742.0,0,2056
HNF1A,Mesocricetus auratus (Golden Hamster),90.03164556962025,1707.0,0,2082
HNF1A,Pan troglodytes (Chimpanzee),95.02262443438913,1890.0,0,1995
HNF1A,Rhinopithecus roxellana (Golden snub-nosed monkey),92.86073403720462,1847.0,0,2038
HNF1A,Ursus americanus (American black bear),93.14345991561181,1766.0,0,2026
HNF1A,Marmota marmota marmota (Alpine marmot),92.29957805907173,1750.0,0,2042
HNF1A,Ursus maritimus (Polar bear),89.15784165405951,1768.0,0,2111
HNF1A,Microcebus murinus (Mouse Lemur),92.457805907173,1753.0,0,2036
HNF1A,Panthera pardus (Leopard),89.9332306111967,1751.0,0,2092
HNF1A,Geospiza fortis (Medium ground-finch),80.0632911392405,1518.0,0,2274
HNF1A,Urocitellus parryii (Arctic ground squirrel),92.29957805907173,1750.0,0,2042
HNF1A,Pan paniscus (Bonobo),94.87179487179486,1887.0,0,1998
HNF1A,Dipodomys ordii (Kangaroo rat),90.50632911392405,1716.0,0,2076
HNF1A,Octodon degus (Degu),91.9431279620853,1746.0,0,2049
HNF1A,Mandrillus leucophaeus (Drill),92.91101055806938,1848.0,0,2037
HNF1A,Canis lupus familiaris (Dog - Boxer),89.98459167950693,1752.0,0,2091
HNF1A,Cervus hanglu yarkandensis (Yarkand deer),91.53522607781282,1741.0,0,2057
HNF1A,Monodon monoceros (Narwhal),92.62769878883623,1759.0,0,2036
HNF1A,Balaenoptera musculus (Blue whale),92.62769878883623,1759.0,0,2036
HNF1A,Ovis aries (Sheep),91.71940928270043,1739.0,0,2053
HNF1A,Phocoena sinus (Vaquita),92.62769878883623,1759.0,0,2036
HNF1A,Sciurus vulgaris (Eurasian red squirrel),92.22743870631194,1768.0,0,2045
HNF1A,Vombatus ursinus (Common wombat),83.4915611814346,1583.0,0,2197
HNF1A,Rhinolophus ferrumequinum (Greater horseshoe bat),91.64054336468129,1754.0,0,2056
HNF1A,Bos grunniens (Domestic yak),92.11356466876973,1752.0,0,2046
HNF1A,Ornithorhynchus anatinus (Platypus),83.54430379746836,1584.0,0,2199
