Variant Name,Species,Similarity,Score,Start,End
OTX1,Tetraodon nigroviridis (Tetraodon),76.52582159624414,815.0,0,1222
OTX1,Myotis lucifugus (Microbat),80.84507042253522,861.0,0,1149
OTX1,Lepisosteus oculatus (Spotted gar),78.40375586854461,835.0,0,1253
OTX1,Latimeria chalumnae (Coelacanth),71.73708920187794,764.0,0,1321
OTX1,Loxodonta africana (Elephant),90.89201877934272,968.0,0,1162
OTX1,Chlorocebus sabaeus (Vervet-AGM),97.1830985915493,1035.0,0,1092
OTX1,Poecilia formosa (Amazon molly),77.55868544600939,826.0,0,1235
OTX1,Dasypus novemcinctus (Armadillo),86.83015440508629,956.0,0,1210
OTX1,Otolemur garnettii (Bushbaby),93.07116104868915,994.0,0,1139
OTX1,Mustela putorius furo (Ferret),91.47940074906367,977.0,0,1156
OTX1,Pteropus vampyrus (Megabat),73.78277153558052,788.0,0,1345
OTX1,Tursiops truncatus (Dolphin),92.04119850187266,983.0,0,1150
OTX1,Tupaia belangeri (Tree Shrew),92.41573033707866,987.0,0,1146
OTX1,Erinaceus europaeus (Hedgehog),82.15962441314554,875.0,0,1156
OTX1,Procavia capensis (Hyrax),72.58215962441315,773.0,0,1357
OTX1,Cavia porcellus (Guinea Pig),89.76525821596243,956.0,0,1171
OTX1,Microtus ochrogaster (Prairie vole),89.29236499068901,959.0,0,1180
OTX1,Cricetulus griseus (Chinese hamster CriGri),89.32584269662921,954.0,0,1179
OTX1,Chinchilla lanigera (Long-tailed chinchilla),90.51643192488264,964.0,0,1166
OTX1,Ictidomys tridecemlineatus (Squirrel),91.66666666666666,979.0,0,1154
OTX1,Nomascus leucogenys (Gibbon),95.44626593806922,1048.0,0,1115
OTX1,Cercocebus atys (Sooty mangabey),97.55868544600939,1039.0,0,1091
OTX1,Macaca nemestrina (Pig-tailed macaque),97.46478873239437,1038.0,0,1092
OTX1,Capra hircus (Goat (black bengal)),89.70037453183521,958.0,0,1175
OTX1,Mus spretus (Algerian mouse),88.73239436619718,945.0,0,1185
OTX1,Mus caroli (Ryukyu mouse),88.85767790262172,949.0,0,1184
OTX1,Mus pahari (Shrew mouse),89.29577464788733,951.0,0,1179
OTX1,Danio rerio (Zebrafish),74.55399061032864,794.0,0,1243
OTX1,Panthera tigris altaica (Tiger),62.441314553990615,665.0,0,1099
OTX1,Amphilophus citrinellus (Midas cichlid),77.46478873239437,825.0,0,1242
OTX1,Stegastes partitus (Bicolor damselfish),78.49765258215963,836.0,0,1228
OTX1,Cyprinodon variegatus (Sheepshead minnow),77.08920187793427,821.0,0,1246
OTX1,Oryzias latipes (Japanese medaka HdrR),67.88617886178862,835.0,0,1460
OTX1,Maylandia zebra (Zebra mbuna),77.46478873239437,825.0,0,1239
OTX1,Oryzias melastigma (Indian medaka),78.30985915492957,834.0,0,1227
OTX1,Astatotilapia calliptera (Eastern happy),77.55868544600939,826.0,0,1238
OTX1,Fundulus heteroclitus (Mummichog),76.99530516431925,820.0,0,1241
OTX1,Amphiprion percula (Orange clownfish),78.40375586854461,835.0,0,1229
OTX1,Amphiprion ocellaris (Clown anemonefish),78.30985915492957,834.0,0,1230
OTX1,Neolamprologus brichardi (Lyretail cichlid),77.46478873239437,825.0,0,1239
OTX1,Pundamilia nyererei (Makobe Island cichlid),77.46478873239437,825.0,0,1239
OTX1,Xiphophorus maculatus (Platyfish),77.46478873239437,825.0,0,1233
OTX1,Sphenodon punctatus (Tuatara),81.03286384976526,863.0,0,1225
OTX1,Vulpes vulpes (Red fox),90.61032863849765,965.0,0,1165
OTX1,Notechis scutatus (Mainland tiger snake),79.71830985915493,849.0,0,1257
OTX1,Anser brachyrhynchus (Pink-footed goose),64.69483568075117,689.0,0,1174
OTX1,Phascolarctos cinereus (Koala),80.7017543859649,874.0,0,1274
OTX1,Neovison vison (American mink),91.66666666666666,979.0,0,1154
OTX1,Chelonoidis abingdonii (Abingdon island giant tortoise),81.69014084507043,870.0,0,1200
OTX1,Bos mutus (Wild yak),89.2018779342723,950.0,0,1177
OTX1,Mus spicilegus (Steppe mouse),89.04494382022472,951.0,0,1182
OTX1,Parus major (Great Tit),81.2206572769953,865.0,0,1208
OTX1,Coturnix japonica (Japanese quail),73.14553990610328,779.0,0,1165
OTX1,Salvator merianae (Argentine black and white tegu),79.40379403794037,879.0,0,1293
OTX1,Bos taurus (Cow),89.7940074906367,959.0,0,1174
OTX1,Peromyscus maniculatus bairdii (Northern American deer mouse),89.60674157303372,957.0,0,1176
OTX1,Electrophorus electricus (Electric eel),75.11737089201877,800.0,0,1249
OTX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),89.7940074906367,959.0,0,1174
OTX1,Aquila chrysaetos chrysaetos (Golden eagle),79.71830985915493,849.0,0,1224
OTX1,Taeniopygia guttata (Zebra finch),82.06572769953053,874.0,0,1196
OTX1,Strigops habroptila (Kakapo),80.09389671361502,853.0,0,1220
OTX1,Poecilia latipinna (Sailfin molly),77.74647887323944,828.0,0,1233
OTX1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),96.81647940074907,1034.0,0,1099
OTX1,Propithecus coquereli (Coquerel's sifaka),94.00749063670412,1004.0,0,1129
OTX1,Haplochromis burtoni (Burton's mouthbrooder),77.46478873239437,825.0,0,1239
OTX1,Astyanax mexicanus (Mexican tetra),76.8075117370892,818.0,0,1243
OTX1,Pygocentrus nattereri (Red-bellied piranha),78.12206572769954,832.0,0,1235
OTX1,Hippocampus comes (Tiger tail seahorse),78.96713615023474,841.0,0,1247
OTX1,Poecilia reticulata (Guppy),77.37089201877934,824.0,0,1237
OTX1,Labrus bergylta (Ballan wrasse),76.61971830985915,816.0,0,1248
OTX1,Aotus nancymaae (Ma's night monkey),96.81647940074907,1034.0,0,1099
OTX1,Jaculus jaculus (Lesser Egyptian jerboa),87.98122065727699,937.0,0,1184
OTX1,Anas platyrhynchos (Mallard),72.67605633802818,774.0,0,1161
OTX1,Serinus canaria (Common canary),63.568075117370896,677.0,0,1135
OTX1,Prolemur simus (Greater bamboo lemur),93.63295880149812,1000.0,0,1133
OTX1,Nannospalax galili (Upper Galilee mountains blind mole rat),91.01123595505618,972.0,0,1161
OTX1,Paramormyrops kingsleyae (Paramormyrops kingsleyae),75.39906103286384,803.0,0,1273
OTX1,Chrysemys picta bellii (Painted turtle),82.25352112676056,876.0,0,1194
OTX1,Seriola lalandi dorsalis (Yellowtail amberjack),77.84037558685446,829.0,0,1235
OTX1,Marmota marmota marmota (Alpine marmot),91.66666666666666,979.0,0,1154
OTX1,Seriola dumerili (Greater amberjack),77.93427230046949,830.0,0,1234
OTX1,Paramormyrops kingsleyae (Paramormyrops kingsleyae),74.64788732394366,795.0,0,1254
OTX1,Pan troglodytes (Chimpanzee),100.0,1065.0,0,1065
OTX1,Ictalurus punctatus (Channel catfish),75.5868544600939,805.0,0,1250
OTX1,Mesocricetus auratus (Golden Hamster),89.9812734082397,961.0,0,1172
OTX1,Microcebus murinus (Mouse Lemur),93.16479400749064,995.0,0,1138
OTX1,Bison bison bison (American bison),86.29107981220658,919.0,0,1172
OTX1,Gorilla gorilla gorilla (Gorilla),99.6244131455399,1061.0,0,1069
OTX1,Panthera pardus (Leopard),91.76029962546816,980.0,0,1153
OTX1,Ursus maritimus (Polar bear),52.48826291079812,559.0,0,1271
OTX1,Rhinopithecus bieti (Black snub-nosed monkey),79.06103286384976,842.0,0,1090
OTX1,Rhinopithecus roxellana (Golden snub-nosed monkey),78.96713615023474,841.0,0,1091
OTX1,Ursus americanus (American black bear),92.22846441947566,985.0,0,1148
OTX1,Pan paniscus (Bonobo),99.90610328638498,1064.0,0,1066
OTX1,Urocitellus parryii (Arctic ground squirrel),91.76029962546816,980.0,0,1153
OTX1,Geospiza fortis (Medium ground-finch),64.60093896713614,688.0,0,1319
OTX1,Cynoglossus semilaevis (Tongue sole),78.7793427230047,839.0,0,1228
OTX1,Canis lupus familiaris (Dog - Boxer),90.73033707865169,969.0,0,1164
OTX1,Kryptolebias marmoratus (Mangrove rivulus),78.30985915492957,834.0,0,1230
OTX1,Dipodomys ordii (Kangaroo rat),90.0469483568075,959.0,0,1171
OTX1,Acanthochromis polyacanthus (Spiny chromis),78.0281690140845,831.0,0,1233
OTX1,Mandrillus leucophaeus (Drill),79.34272300469483,845.0,0,1087
OTX1,Hucho hucho (Huchen),75.49295774647888,804.0,0,1263
OTX1,Octodon degus (Degu),90.61032863849765,965.0,0,1165
OTX1,Sinocyclocheilus grahami (Golden-line barbel),73.70892018779342,785.0,0,1246
OTX1,Sinocyclocheilus grahami (Golden-line barbel),74.27230046948357,791.0,0,1246
OTX1,Lates calcarifer (Barramundi perch),75.5868544600939,805.0,0,1223
OTX1,Carlito syrichta (Tarsier),92.11267605633803,981.0,0,1110
OTX1,Cyclopterus lumpus (Lumpfish),79.90610328638498,851.0,0,1249
OTX1,Sander lucioperca (Pike-perch),77.55868544600939,826.0,0,1238
OTX1,Cervus hanglu yarkandensis (Yarkand deer),90.2621722846442,964.0,0,1169
OTX1,Nothobranchius furzeri (Turquoise killifish),76.71361502347418,817.0,0,1250
OTX1,Monodon monoceros (Narwhal),91.94756554307116,982.0,0,1151
OTX1,Balaenoptera musculus (Blue whale),92.01877934272301,980.0,0,1150
OTX1,Leptobrachium leishanense (Leishan spiny toad),77.37089201877934,824.0,0,1252
OTX1,Naja naja (Indian cobra),79.43661971830987,846.0,0,1260
OTX1,Ovis aries (Sheep),89.60674157303372,957.0,0,1176
OTX1,Oncorhynchus kisutch (Coho salmon),76.52582159624414,815.0,0,1291
OTX1,Phocoena sinus (Vaquita),92.13483146067416,984.0,0,1149
OTX1,Oncorhynchus kisutch (Coho salmon),76.61971830985915,816.0,0,1290
OTX1,Sciurus vulgaris (Eurasian red squirrel),90.63670411985018,968.0,0,1165
OTX1,Oncorhynchus kisutch (Coho salmon),75.86854460093898,808.0,0,1256
OTX1,Takifugu rubripes (Fugu),78.0281690140845,831.0,0,1233
OTX1,Terrapene carolina triunguis (Three-toed box turtle),82.25352112676056,876.0,0,1191
OTX1,Moschus moschiferus (Siberian musk deer),89.9812734082397,961.0,0,1172
OTX1,Vombatus ursinus (Common wombat),80.77994428969359,870.0,0,1272
OTX1,Pseudonaja textilis (Eastern brown snake),79.71830985915493,849.0,0,1257
OTX1,Rhinolophus ferrumequinum (Greater horseshoe bat),91.76029962546816,980.0,0,1153
OTX1,Bos grunniens (Domestic yak),89.7940074906367,959.0,0,1174
OTX1,Larimichthys crocea (Large yellow croaker),72.01877934272301,767.0,0,1246
OTX1,Cottoperca gobio (Channel bull blenny),77.55868544600939,826.0,0,1235
