Variant Name,Species,Similarity,Score,Start,End
NOBOX,Chlorocebus sabaeus (Vervet-AGM),95.23121387283237,1977.0,0,2175
NOBOX,Nomascus leucogenys (Gibbon),94.79768786127167,1968.0,0,2172
NOBOX,Macaca nemestrina (Pig-tailed macaque),92.2447013487476,1915.0,0,2174
NOBOX,Cercocebus atys (Sooty mangabey),90.3179190751445,1875.0,0,2166
NOBOX,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),90.84778420038536,1886.0,0,2245
NOBOX,Aotus nancymaae (Ma's night monkey),90.94412331406551,1888.0,0,2261
NOBOX,Gorilla gorilla gorilla (Gorilla),98.3140655105973,2041.0,0,2108
NOBOX,Rhinopithecus bieti (Black snub-nosed monkey),95.42389210019267,1981.0,0,2171
NOBOX,Pan troglodytes (Chimpanzee),98.65125240847784,2048.0,0,2101
NOBOX,Rhinopithecus roxellana (Golden snub-nosed monkey),95.42389210019267,1981.0,0,2171
NOBOX,Pan paniscus (Bonobo),98.74759152215799,2050.0,0,2099
NOBOX,Mandrillus leucophaeus (Drill),89.35452793834297,1855.0,0,2165
NOBOX,Macaca mulatta (Macaque),88.39113680154142,1835.0,0,2164
NOBOX,Macaca fascicularis (Crab-eating macaque),80.15414258188824,1664.0,0,2137
NOBOX,Papio anubis (Olive baboon),80.00963391136801,1661.0,0,2140
NOBOX,Pongo abelii (Sumatran orangutan),97.10982658959537,2016.0,0,2130
NOBOX,Callithrix jacchus (White-tufted-ear marmoset),87.23506743737957,1811.0,0,2239
NOBOX,Cebus imitator (Panamanian white-faced capuchin),85.98265895953757,1785.0,0,2250
