Species,Similarity
Pan troglodytes (Chimpanzee),558.2723900370959
Gorilla gorilla gorilla (Gorilla),288.1492565229589
Pongo abelii (Sumatran orangutan),281.2414805494391
Macaca nemestrina (Pig-tailed macaque),272.76233706638885
Papio anubis (Olive baboon),271.9425531123265
Mandrillus leucophaeus (Drill),271.6604035668663
Rhinopithecus roxellana (Golden snub-nosed monkey),271.1227691582642
Macaca fascicularis (Crab-eating macaque),256.88587768676757
Macaca mulatta (Macaque),256.8383026355958
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),236.94000476007398
Cercocebus atys (Sooty mangabey),214.38776649179593
Tursiops truncatus (Dolphin),203.03500732566476
Nomascus leucogenys (Gibbon),181.54555940023067
Chlorocebus sabaeus (Vervet-AGM),170.712877181233
Callithrix jacchus (White-tufted-ear marmoset),158.5928489042676
Equus caballus (Horse),126.29969418960243
Otolemur garnettii (Bushbaby),120.70896983940462
Cebus imitator (Panamanian white-faced capuchin),102.65282583621683
Canis lupus familiaris (Dog - Boxer),101.0752688172043
Pan paniscus (Bonobo),98.3783783783784
Rhinopithecus bieti (Black snub-nosed monkey),92.1146953405018
Aotus nancymaae (Ma's night monkey),82.80141843971631
Sus scrofa (Pig - Hampshire),74.95495495495496
Pteropus vampyrus (Megabat),70.990990990991
Felis catus (Cat),68.78048780487805
Cervus hanglu yarkandensis (Yarkand deer),68.65671641791045
Sciurus vulgaris (Eurasian red squirrel),68.19727891156462
Tupaia belangeri (Tree Shrew),68.10810810810811
Mus caroli (Ryukyu mouse),62.98003072196621
Myotis lucifugus (Microbat),62.70270270270271
Mus spicilegus (Steppe mouse),60.60606060606061
Mus musculus (Mouse),60.51502145922747
Rattus norvegicus (Rat),60.0
Mus spretus (Algerian mouse),59.523809523809526
Mus pahari (Shrew mouse),58.54700854700855
Heterocephalus glaber (Naked mole-rat),57.99999999999999
Ailuropoda melanoleuca (Giant panda),51.92519251925193
Equus asinus (Donkey),50.05767012687428
Vulpes vulpes (Red fox),48.97750511247444
Cricetulus griseus (Chinese hamster CriGri),47.34607218683652
