Variant Name,Species,Similarity,Score,Start,End
PHOX2A,Lepisosteus oculatus (Spotted gar),73.8255033557047,660.0,0,1089
PHOX2A,Latimeria chalumnae (Coelacanth),73.89277389277389,634.0,0,1079
PHOX2A,Tetraodon nigroviridis (Tetraodon),70.0,630.0,0,1125
PHOX2A,Chlorocebus sabaeus (Vervet-AGM),96.84210526315789,828.0,0,882
PHOX2A,Poecilia formosa (Amazon molly),73.9514348785872,670.0,0,1091
PHOX2A,Loxodonta africana (Elephant),86.4327485380117,739.0,0,944
PHOX2A,Ciona intestinalis,43.15789473684211,369.0,0,948
PHOX2A,Mustela putorius furo (Ferret),93.35664335664336,801.0,0,912
PHOX2A,Otolemur garnettii (Bushbaby),91.95804195804196,789.0,0,924
PHOX2A,Gasterosteus aculeatus (Stickleback),75.38631346578366,683.0,0,1078
PHOX2A,Pteropus vampyrus (Megabat),93.21637426900585,797.0,0,913
PHOX2A,Dasypus novemcinctus (Armadillo),91.69590643274854,784.0,0,911
PHOX2A,Pelodiscus sinensis (Chinese softshell turtle),76.7251461988304,656.0,0,1042
PHOX2A,Tursiops truncatus (Dolphin),93.24009324009323,800.0,0,913
PHOX2A,Ochotona princeps (Pika),50.0,438.0,0,1293
PHOX2A,Echinops telfairi (Lesser hedgehog tenrec),92.16374269005848,788.0,0,919
PHOX2A,Procavia capensis (Hyrax),90.29239766081871,772.0,0,923
PHOX2A,Notamacropus eugenii (Wallaby),73.45029239766082,628.0,0,1067
PHOX2A,Cavia porcellus (Guinea Pig),91.14219114219114,782.0,0,931
PHOX2A,Chinchilla lanigera (Long-tailed chinchilla),74.97076023391813,641.0,0,889
PHOX2A,Microtus ochrogaster (Prairie vole),89.47368421052632,765.0,0,933
PHOX2A,Cricetulus griseus (Chinese hamster CriGri),90.76023391812865,776.0,0,922
PHOX2A,Ictidomys tridecemlineatus (Squirrel),83.04093567251462,710.0,0,988
PHOX2A,Macaca nemestrina (Pig-tailed macaque),96.60818713450293,826.0,0,884
PHOX2A,Cercocebus atys (Sooty mangabey),96.84210526315789,828.0,0,882
