Variant Name,Species,Similarity,Score,Start,End
TGIF1,Myotis lucifugus (Microbat),88.53801169590643,757.0,0,917
TGIF1,Loxodonta africana (Elephant),87.5,756.0,0,927
TGIF1,Chlorocebus sabaeus (Vervet-AGM),97.43589743589743,798.0,0,840
TGIF1,Dasypus novemcinctus (Armadillo),91.36690647482014,762.0,0,891
TGIF1,Erinaceus europaeus (Hedgehog),81.44078144078144,667.0,0,959
TGIF1,Mustela putorius furo (Ferret),90.35409035409036,740.0,0,898
TGIF1,Pelodiscus sinensis (Chinese softshell turtle),81.19658119658119,665.0,0,961
TGIF1,Sorex araneus (Shrew),84.37118437118437,691.0,0,926
TGIF1,Choloepus hoffmanni (Sloth),89.98778998779,737.0,0,883
TGIF1,Ictidomys tridecemlineatus (Squirrel),92.3076923076923,756.0,0,882
TGIF1,Cricetulus griseus (Chinese hamster CriGri),82.42630385487529,727.0,0,974
TGIF1,Macaca nemestrina (Pig-tailed macaque),92.79907084785134,799.0,0,881
TGIF1,Capra hircus (Goat (black bengal)),89.37728937728939,732.0,0,906
TGIF1,Panthera tigris altaica (Tiger),86.5967365967366,743.0,0,934
TGIF1,Vulpes vulpes (Red fox),91.81929181929182,752.0,0,886
TGIF1,Sphenodon punctatus (Tuatara),80.34188034188034,658.0,0,971
TGIF1,Anser brachyrhynchus (Pink-footed goose),80.58608058608058,660.0,0,969
TGIF1,Neovison vison (American mink),90.72039072039072,743.0,0,895
TGIF1,Bos mutus (Wild yak),90.23199023199024,739.0,0,899
TGIF1,Phascolarctos cinereus (Koala),86.20268620268621,706.0,0,932
TGIF1,Mus spicilegus (Steppe mouse),88.27838827838828,723.0,0,915
TGIF1,Coturnix japonica (Japanese quail),80.34188034188034,658.0,0,971
TGIF1,Bos taurus (Cow),84.12698412698413,689.0,0,889
TGIF1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),90.35409035409036,740.0,0,898
TGIF1,Taeniopygia guttata (Zebra finch),80.46398046398046,659.0,0,970
TGIF1,Strigops habroptila (Kakapo),80.58608058608058,660.0,0,969
TGIF1,Chrysemys picta bellii (Painted turtle),81.92918192918192,671.0,0,955
TGIF1,Prolemur simus (Greater bamboo lemur),89.08246225319397,767.0,0,913
TGIF1,Jaculus jaculus (Lesser Egyptian jerboa),80.06644518272425,723.0,0,999
TGIF1,Propithecus coquereli (Coquerel's sifaka),89.66318234610917,772.0,0,908
TGIF1,Bison bison bison (American bison),90.10989010989012,738.0,0,900
TGIF1,Ursus maritimus (Polar bear),89.13308913308914,730.0,0,908
TGIF1,Marmota marmota marmota (Alpine marmot),92.55189255189255,758.0,0,880
TGIF1,Panthera pardus (Leopard),87.13450292397661,745.0,0,929
TGIF1,Urocitellus parryii (Arctic ground squirrel),92.7960927960928,760.0,0,878
TGIF1,Ursus americanus (American black bear),83.02808302808303,680.0,0,898
TGIF1,Dipodomys ordii (Kangaroo rat),88.52258852258852,725.0,0,907
TGIF1,Octodon degus (Degu),82.17338217338217,673.0,0,950
TGIF1,Mandrillus leucophaeus (Drill),93.14750290360047,802.0,0,878
TGIF1,Canis lupus familiaris (Dog - Boxer),91.6971916971917,751.0,0,887
TGIF1,Monodon monoceros (Narwhal),90.84249084249085,744.0,0,894
TGIF1,Balaenoptera musculus (Blue whale),90.5982905982906,742.0,0,896
TGIF1,Ovis aries (Sheep),83.3943833943834,683.0,0,937
TGIF1,Phocoena sinus (Vaquita),90.72039072039072,743.0,0,895
TGIF1,Ovis aries (Sheep),89.86568986568987,736.0,0,902
TGIF1,Sciurus vulgaris (Eurasian red squirrel),88.50174216027874,762.0,0,918
TGIF1,Terrapene carolina triunguis (Three-toed box turtle),81.68498168498168,669.0,0,957
TGIF1,Moschus moschiferus (Siberian musk deer),89.86568986568987,736.0,0,902
TGIF1,Rhinolophus ferrumequinum (Greater horseshoe bat),92.18559218559218,755.0,0,883
TGIF1,Bos grunniens (Domestic yak),82.94051627384961,739.0,0,971
TGIF1,Camelus dromedarius (Arabian camel),89.25518925518926,731.0,0,907
TGIF1,Panthera leo (Lion),91.20879120879121,747.0,0,891
TGIF1,Monodelphis domestica (Opossum),80.65984072810012,709.0,0,989
TGIF1,Catagonus wagneri (Chacoan peccary),89.65936739659367,737.0,0,904
TGIF1,Gopherus evgoodei (Goodes thornscrub tortoise),81.8070818070818,670.0,0,959
TGIF1,Physeter catodon (Sperm whale),90.72039072039072,743.0,0,895
TGIF1,Delphinapterus leucas (Beluga whale),90.96459096459097,745.0,0,893
TGIF1,Felis catus (Cat),90.96459096459097,745.0,0,893
TGIF1,Ailuropoda melanoleuca (Giant panda),89.98778998779,737.0,0,901
TGIF1,Macaca fascicularis (Crab-eating macaque),84.66453674121406,795.0,0,963
TGIF1,Canis lupus familiaris (Dog - Boxer),91.81929181929182,752.0,0,886
TGIF1,Callithrix jacchus (White-tufted-ear marmoset),86.81318681318682,711.0,0,870
TGIF1,Callithrix jacchus (White-tufted-ear marmoset),93.85342789598108,794.0,0,871
TGIF1,Sus scrofa (Pig - Hampshire),89.90267639902676,739.0,0,902
TGIF1,Sarcophilus harrisii (Tasmanian devil),83.33333333333334,695.0,0,958
TGIF1,Equus asinus (Donkey),86.3481228668942,759.0,0,939
TGIF1,Equus caballus (Horse),85.47297297297297,759.0,0,948
TGIF1,Rattus norvegicus (Rat),80.06756756756756,711.0,0,996
TGIF2LX,Chlorocebus sabaeus (Vervet-AGM),90.53333333333333,679.0,0,797
TGIF2LX,Pan troglodytes (Chimpanzee),99.17355371900827,720.0,0,732
TGIF2LX,Propithecus coquereli (Coquerel's sifaka),80.48780487804879,594.0,0,870
TGIF2LX,Prolemur simus (Greater bamboo lemur),80.05464480874316,586.0,0,872
TGIF2LX,Rhinopithecus roxellana (Golden snub-nosed monkey),92.45541838134432,674.0,0,781
TGIF2LX,Rhinopithecus bieti (Black snub-nosed monkey),92.45541838134432,674.0,0,781
TGIF2LX,Macaca mulatta (Macaque),90.66666666666666,680.0,0,796
TGIF2LX,Macaca fascicularis (Crab-eating macaque),90.66666666666666,680.0,0,796
TGIF2LX,Pongo abelii (Sumatran orangutan),96.14325068870524,698.0,0,754
TGIF2LY,Cercocebus atys (Sooty mangabey),88.70967741935483,495.0,0,597
TGIF2LY,Macaca nemestrina (Pig-tailed macaque),88.88888888888889,496.0,0,596
TGIF2LY,Mandrillus leucophaeus (Drill),89.24731182795699,498.0,0,594
TGIF2,Myotis lucifugus (Microbat),91.59663865546219,654.0,0,774
TGIF2,Loxodonta africana (Elephant),91.73669467787114,655.0,0,770
TGIF2,Chlorocebus sabaeus (Vervet-AGM),98.59943977591037,704.0,0,724
TGIF2,Pteropus vampyrus (Megabat),92.01680672268907,657.0,0,771
TGIF2,Otolemur garnettii (Bushbaby),93.02649930264994,667.0,0,764
TGIF2,Dasypus novemcinctus (Armadillo),92.29691876750701,659.0,0,769
TGIF2,Mustela putorius furo (Ferret),93.8375350140056,670.0,0,758
TGIF2,Echinops telfairi (Lesser hedgehog tenrec),90.05602240896359,643.0,0,785
TGIF2,Procavia capensis (Hyrax),90.47619047619048,646.0,0,779
TGIF2,Chinchilla lanigera (Long-tailed chinchilla),90.47619047619048,646.0,0,782
TGIF2,Ictidomys tridecemlineatus (Squirrel),92.71708683473389,662.0,0,766
TGIF2,Cavia porcellus (Guinea Pig),90.47619047619048,646.0,0,782
TGIF2,Microtus ochrogaster (Prairie vole),89.6358543417367,640.0,0,788
TGIF2,Cricetulus griseus (Chinese hamster CriGri),89.6358543417367,640.0,0,788
TGIF2,Nomascus leucogenys (Gibbon),99.57983193277312,711.0,0,717
TGIF2,Cercocebus atys (Sooty mangabey),98.59943977591037,704.0,0,724
TGIF2,Macaca nemestrina (Pig-tailed macaque),98.45938375350141,703.0,0,725
TGIF2,Mus pahari (Shrew mouse),89.07563025210085,636.0,0,789
TGIF2,Mus spretus (Algerian mouse),89.07563025210085,636.0,0,789
TGIF2,Capra hircus (Goat (black bengal)),90.61624649859944,647.0,0,781
TGIF2,Mus caroli (Ryukyu mouse),89.07563025210085,636.0,0,789
TGIF2,Panthera tigris altaica (Tiger),93.13725490196079,665.0,0,763
TGIF2,Vulpes vulpes (Red fox),92.29691876750701,659.0,0,769
TGIF2,Mus spicilegus (Steppe mouse),89.6358543417367,640.0,0,788
TGIF2,Neovison vison (American mink),93.55742296918767,668.0,0,760
TGIF2,Bos mutus (Wild yak),90.33613445378151,645.0,0,783
TGIF2,Peromyscus maniculatus bairdii (Northern American deer mouse),88.28451882845188,633.0,0,798
TGIF2,Bos taurus (Cow),90.61624649859944,647.0,0,781
TGIF2,Bos indicus x Bos taurus (Hybrid - Bos Taurus),89.34993084370679,646.0,0,791
TGIF2,Propithecus coquereli (Coquerel's sifaka),94.81792717086834,677.0,0,751
TGIF2,Jaculus jaculus (Lesser Egyptian jerboa),89.40027894002789,641.0,0,790
TGIF2,Gorilla gorilla gorilla (Gorilla),99.71988795518207,712.0,0,716
TGIF2,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),96.77871148459384,691.0,0,737
TGIF2,Nannospalax galili (Upper Galilee mountains blind mole rat),90.33613445378151,645.0,0,783
TGIF2,Prolemur simus (Greater bamboo lemur),94.25770308123249,673.0,0,755
TGIF2,Marmota marmota marmota (Alpine marmot),92.29691876750701,659.0,0,769
TGIF2,Aotus nancymaae (Ma's night monkey),96.77871148459384,691.0,0,737
TGIF2,Pan troglodytes (Chimpanzee),99.71988795518207,712.0,0,716
TGIF2,Ursus americanus (American black bear),93.27731092436974,666.0,0,762
TGIF2,Bison bison bison (American bison),90.61624649859944,647.0,0,781
TGIF2,Ursus maritimus (Polar bear),93.13725490196079,665.0,0,763
