Variant Name,Species,Similarity,Score,Start,End
EVX1,Myotis lucifugus (Microbat),89.70588235294117,1098.0,0,1311
EVX1,Loxodonta africana (Elephant),89.84812150279777,1124.0,0,1351
EVX1,Echinops telfairi (Lesser hedgehog tenrec),90.54604726976365,1111.0,0,1340
EVX1,Dasypus novemcinctus (Armadillo),88.91585760517799,1099.0,0,1361
EVX1,Chlorocebus sabaeus (Vervet-AGM),97.31051344743277,1194.0,0,1257
EVX1,Pteropus vampyrus (Megabat),90.93137254901961,1113.0,0,1332
EVX1,Procavia capensis (Hyrax),89.0234059725585,1103.0,0,1360
EVX1,Mustela putorius furo (Ferret),91.83006535947712,1124.0,0,1315
EVX1,Otolemur garnettii (Bushbaby),92.48366013071896,1132.0,0,1310
EVX1,Sorex araneus (Shrew),88.23529411764706,1080.0,0,1338
EVX1,Microtus ochrogaster (Prairie vole),88.6437908496732,1085.0,0,1357
EVX1,Chinchilla lanigera (Long-tailed chinchilla),92.05190592051906,1135.0,0,1322
EVX1,Ictidomys tridecemlineatus (Squirrel),91.01941747572816,1125.0,0,1335
EVX1,Cavia porcellus (Guinea Pig),87.90849673202614,1076.0,0,1336
EVX1,Cricetulus griseus (Chinese hamster CriGri),89.95098039215686,1101.0,0,1347
EVX1,Macaca nemestrina (Pig-tailed macaque),97.06601466992664,1191.0,0,1260
EVX1,Cercocebus atys (Sooty mangabey),97.3920130399348,1195.0,0,1256
EVX1,Nomascus leucogenys (Gibbon),98.37000814995925,1207.0,0,1244
EVX1,Mus pahari (Shrew mouse),89.21095008051529,1108.0,0,1358
EVX1,Mus spretus (Algerian mouse),89.0224358974359,1111.0,0,1361
EVX1,Mus caroli (Ryukyu mouse),89.1826923076923,1113.0,0,1359
EVX1,Capra hircus (Goat (black bengal)),91.52404237978811,1123.0,0,1328
EVX1,Neovison vison (American mink),91.50326797385621,1120.0,0,1319
EVX1,Parus major (Great Tit),80.47385620915033,985.0,0,1460
EVX1,Mus spicilegus (Steppe mouse),88.80895283772982,1111.0,0,1364
EVX1,Coturnix japonica (Japanese quail),81.12745098039215,993.0,0,1440
EVX1,Bos taurus (Cow),91.33986928104575,1118.0,0,1321
EVX1,Peromyscus maniculatus bairdii (Northern American deer mouse),90.44117647058823,1107.0,0,1341
EVX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),91.25816993464052,1117.0,0,1322
EVX1,Aquila chrysaetos chrysaetos (Golden eagle),81.29084967320262,995.0,0,1447
EVX1,Taeniopygia guttata (Zebra finch),80.47385620915033,985.0,0,1451
EVX1,Strigops habroptila (Kakapo),80.71895424836602,988.0,0,1451
EVX1,Propithecus coquereli (Coquerel's sifaka),93.95424836601308,1150.0,0,1295
EVX1,Aotus nancymaae (Ma's night monkey),95.66993464052288,1171.0,0,1265
EVX1,Serinus canaria (Common canary),80.55555555555556,986.0,0,1453
