Variant Name,Species,Similarity,Score,Start,End
BARX1,Echinops telfairi (Lesser hedgehog tenrec),85.41666666666666,656.0,0,877
BARX1,Tursiops truncatus (Dolphin),91.89542483660131,703.0,0,827
BARX1,Pteropus vampyrus (Megabat),89.84375,690.0,0,843
BARX1,Chlorocebus sabaeus (Vervet-AGM),97.77777777777777,748.0,0,782
BARX1,Otolemur garnettii (Bushbaby),90.58823529411765,693.0,0,837
BARX1,Chinchilla lanigera (Long-tailed chinchilla),88.88888888888889,680.0,0,847
BARX1,Cricetulus griseus (Chinese hamster CriGri),88.23529411764706,675.0,0,855
BARX1,Ictidomys tridecemlineatus (Squirrel),84.9673202614379,650.0,0,856
BARX1,Microtus ochrogaster (Prairie vole),87.97385620915033,673.0,0,857
BARX1,Nomascus leucogenys (Gibbon),86.38985005767013,749.0,0,883
BARX1,Cercocebus atys (Sooty mangabey),96.62775616083009,745.0,0,791
BARX1,Macaca nemestrina (Pig-tailed macaque),98.16993464052287,751.0,0,779
BARX1,Mus spretus (Algerian mouse),88.10457516339869,674.0,0,853
BARX1,Mus pahari (Shrew mouse),87.7124183006536,671.0,0,856
BARX1,Mus caroli (Ryukyu mouse),87.7124183006536,671.0,0,856
BARX1,Capra hircus (Goat (black bengal)),91.37254901960785,699.0,0,831
BARX1,Anser brachyrhynchus (Pink-footed goose),80.7843137254902,618.0,0,891
BARX1,Phascolarctos cinereus (Koala),80.65359477124183,617.0,0,898
BARX1,Neovison vison (American mink),87.76041666666666,674.0,0,859
BARX1,Parus major (Great Tit),81.17647058823529,621.0,0,885
BARX1,Bos taurus (Cow),90.98039215686275,696.0,0,834
BARX1,Peromyscus maniculatus bairdii (Northern American deer mouse),88.62745098039215,678.0,0,852
BARX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),90.98039215686275,696.0,0,834
BARX1,Aquila chrysaetos chrysaetos (Golden eagle),81.30718954248366,622.0,0,887
BARX1,Taeniopygia guttata (Zebra finch),81.17647058823529,621.0,0,900
BARX1,Strigops habroptila (Kakapo),80.3921568627451,615.0,0,894
BARX1,Nannospalax galili (Upper Galilee mountains blind mole rat),89.281045751634,683.0,0,847
BARX1,Gorilla gorilla gorilla (Gorilla),99.2156862745098,759.0,0,771
BARX1,Aotus nancymaae (Ma's night monkey),94.77124183006535,725.0,0,805
BARX1,Prolemur simus (Greater bamboo lemur),92.2875816993464,706.0,0,824
BARX1,Pan troglodytes (Chimpanzee),99.6078431372549,762.0,0,768
BARX1,Propithecus coquereli (Coquerel's sifaka),92.94117647058823,711.0,0,819
BARX1,Jaculus jaculus (Lesser Egyptian jerboa),84.16988416988417,654.0,0,888
BARX1,Mesocricetus auratus (Golden Hamster),88.23529411764706,675.0,0,855
BARX1,Rhinopithecus bieti (Black snub-nosed monkey),94.37908496732025,722.0,0,796
BARX1,Microcebus murinus (Mouse Lemur),92.6797385620915,709.0,0,821
BARX1,Pan paniscus (Bonobo),83.52941176470588,639.0,0,783
BARX1,Marmota marmota marmota (Alpine marmot),80.13071895424837,613.0,0,869
BARX1,Rhinopithecus roxellana (Golden snub-nosed monkey),97.12418300653594,743.0,0,781
BARX1,Urocitellus parryii (Arctic ground squirrel),90.98039215686275,696.0,0,828
BARX1,Octodon degus (Degu),88.75816993464052,679.0,0,848
BARX1,Canis lupus familiaris (Dog - Boxer),89.97395833333334,691.0,0,842
BARX1,Cervus hanglu yarkandensis (Yarkand deer),91.24183006535948,698.0,0,832
BARX1,Balaenoptera musculus (Blue whale),91.37254901960785,699.0,0,831
BARX1,Monodon monoceros (Narwhal),91.40625,702.0,0,831
BARX1,Ovis aries (Sheep),91.37254901960785,699.0,0,831
BARX1,Phocoena sinus (Vaquita),91.89542483660131,703.0,0,827
BARX1,Sciurus vulgaris (Eurasian red squirrel),90.71895424836602,694.0,0,836
BARX1,Bos grunniens (Domestic yak),90.19607843137256,690.0,0,834
BARX1,Rhinolophus ferrumequinum (Greater horseshoe bat),90.88541666666666,698.0,0,835
BARX1,Moschus moschiferus (Siberian musk deer),91.24183006535948,698.0,0,832
BARX1,Vombatus ursinus (Common wombat),80.7843137254902,618.0,0,897
BARX1,Panthera leo (Lion),91.14583333333334,700.0,0,833
BARX1,Macaca mulatta (Macaque),98.0392156862745,750.0,0,780
BARX1,Ornithorhynchus anatinus (Platypus),81.30718954248366,622.0,0,890
BARX1,Physeter catodon (Sperm whale),91.63398692810458,701.0,0,829
BARX1,Catagonus wagneri (Chacoan peccary),90.625,696.0,0,837
BARX1,Delphinapterus leucas (Beluga whale),91.53645833333334,703.0,0,830
BARX1,Ailuropoda melanoleuca (Giant panda),87.45098039215686,669.0,0,840
BARX1,Macaca fascicularis (Crab-eating macaque),97.25490196078431,744.0,0,780
BARX1,Callithrix jacchus (White-tufted-ear marmoset),95.03267973856208,727.0,0,803
BARX1,Canis lupus familiaris (Dog - Boxer),89.97395833333334,691.0,0,842
BARX1,Pongo abelii (Sumatran orangutan),99.08496732026144,758.0,0,772
BARX1,Sus scrofa (Pig - Hampshire),90.84967320261438,695.0,0,835
BARX1,Gallus gallus (Chicken),81.43790849673202,623.0,0,886
BARX1,Sarcophilus harrisii (Tasmanian devil),80.52287581699346,616.0,0,899
BARX1,Equus asinus (Donkey),81.56862745098039,624.0,0,822
BARX1,Cebus imitator (Panamanian white-faced capuchin),95.16339869281045,728.0,0,802
BARX1,Mus musculus (Mouse),88.36601307189542,676.0,0,854
BARX1,Heterocephalus glaber (Naked mole-rat),89.281045751634,683.0,0,844
BARX1,Rattus norvegicus (Rat),88.88888888888889,680.0,0,850
BARX2,Pteropus vampyrus (Megabat),90.47619047619048,760.0,0,917
BARX2,Myotis lucifugus (Microbat),89.64285714285715,753.0,0,924
BARX2,Loxodonta africana (Elephant),89.64285714285715,753.0,0,924
BARX2,Mustela putorius furo (Ferret),91.19047619047619,766.0,0,914
BARX2,Tursiops truncatus (Dolphin),86.07142857142858,723.0,0,900
BARX2,Otolemur garnettii (Bushbaby),90.11904761904762,757.0,0,923
BARX2,Echinops telfairi (Lesser hedgehog tenrec),88.69047619047619,745.0,0,935
BARX2,Erinaceus europaeus (Hedgehog),89.44246737841044,754.0,0,929
BARX2,Notamacropus eugenii (Wallaby),85.0,714.0,0,963
BARX2,Chinchilla lanigera (Long-tailed chinchilla),90.35714285714286,759.0,0,918
BARX2,Ictidomys tridecemlineatus (Squirrel),90.30732860520094,764.0,0,922
BARX2,Microtus ochrogaster (Prairie vole),86.7612293144208,734.0,0,952
BARX2,Cricetulus griseus (Chinese hamster CriGri),88.09523809523809,740.0,0,940
BARX2,Cercocebus atys (Sooty mangabey),97.97619047619047,823.0,0,857
BARX2,Macaca nemestrina (Pig-tailed macaque),98.09523809523809,824.0,0,856
BARX2,Nomascus leucogenys (Gibbon),83.65384615384616,783.0,0,993
BARX2,Mus caroli (Ryukyu mouse),88.33922261484098,750.0,0,939
BARX2,Mus pahari (Shrew mouse),86.92129629629629,751.0,0,953
BARX2,Capra hircus (Goat (black bengal)),90.95238095238095,764.0,0,913
BARX2,Mus spretus (Algerian mouse),88.57142857142857,744.0,0,936
BARX2,Panthera tigris altaica (Tiger),92.38095238095238,776.0,0,904
BARX2,Sphenodon punctatus (Tuatara),80.5952380952381,677.0,0,985
BARX2,Vulpes vulpes (Red fox),89.04761904761904,748.0,0,905
BARX2,Bos mutus (Wild yak),91.07142857142857,765.0,0,912
BARX2,Neovison vison (American mink),91.07142857142857,765.0,0,915
BARX2,Phascolarctos cinereus (Koala),84.88095238095238,713.0,0,967
BARX2,Mus spicilegus (Steppe mouse),87.64568764568764,752.0,0,946
BARX2,Peromyscus maniculatus bairdii (Northern American deer mouse),88.17966903073287,746.0,0,940
BARX2,Crocodylus porosus (Australian saltwater crocodile),80.47619047619048,676.0,0,986
BARX2,Bos taurus (Cow),90.95238095238095,764.0,0,913
BARX2,Bos indicus x Bos taurus (Hybrid - Bos Taurus),91.07142857142857,765.0,0,912
BARX2,Strigops habroptila (Kakapo),80.11904761904762,673.0,0,989
BARX2,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),87.85714285714286,738.0,0,867
BARX2,Jaculus jaculus (Lesser Egyptian jerboa),89.04761904761904,748.0,0,932
BARX2,Aotus nancymaae (Ma's night monkey),97.5,819.0,0,861
BARX2,Prolemur simus (Greater bamboo lemur),91.19718309859155,777.0,0,915
BARX2,Propithecus coquereli (Coquerel's sifaka),91.96217494089835,778.0,0,908
BARX2,Nannospalax galili (Upper Galilee mountains blind mole rat),89.28571428571429,750.0,0,930
BARX2,Gorilla gorilla gorilla (Gorilla),99.16666666666667,833.0,0,844
BARX2,Bison bison bison (American bison),91.19047619047619,766.0,0,911
BARX2,Ursus maritimus (Polar bear),91.54761904761905,769.0,0,911
BARX2,Rhinopithecus bieti (Black snub-nosed monkey),97.85714285714285,822.0,0,858
BARX2,Rhinopithecus roxellana (Golden snub-nosed monkey),97.73809523809524,821.0,0,859
BARX2,Pan troglodytes (Chimpanzee),99.88095238095238,839.0,0,841
BARX2,Microcebus murinus (Mouse Lemur),89.55399061032864,763.0,0,929
BARX2,Marmota marmota marmota (Alpine marmot),91.19047619047619,766.0,0,914
BARX2,Ursus americanus (American black bear),91.42857142857143,768.0,0,912
BARX2,Mesocricetus auratus (Golden Hamster),87.38095238095238,734.0,0,946
BARX2,Urocitellus parryii (Arctic ground squirrel),90.71428571428571,762.0,0,918
BARX2,Panthera pardus (Leopard),92.61904761904762,778.0,0,902
BARX2,Pan paniscus (Bonobo),99.76190476190476,838.0,0,842
BARX2,Dipodomys ordii (Kangaroo rat),90.0,756.0,0,921
BARX2,Octodon degus (Degu),91.07142857142857,765.0,0,915
BARX2,Canis lupus familiaris (Dog - Boxer),91.66666666666666,770.0,0,910
BARX2,Mandrillus leucophaeus (Drill),97.85714285714285,822.0,0,858
BARX2,Carlito syrichta (Tarsier),93.57142857142857,786.0,0,894
BARX2,Cervus hanglu yarkandensis (Yarkand deer),91.07142857142857,765.0,0,912
BARX2,Balaenoptera musculus (Blue whale),91.54761904761905,769.0,0,908
BARX2,Monodon monoceros (Narwhal),91.66666666666666,770.0,0,907
BARX2,Phocoena sinus (Vaquita),91.78571428571428,771.0,0,906
BARX2,Ovis aries (Sheep),91.07142857142857,765.0,0,912
BARX2,Sciurus vulgaris (Eurasian red squirrel),91.42857142857143,768.0,0,912
BARX2,Catagonus wagneri (Chacoan peccary),88.96797153024912,750.0,0,933
BARX2,Terrapene carolina triunguis (Three-toed box turtle),80.0,672.0,0,990
BARX2,Vombatus ursinus (Common wombat),85.47619047619047,718.0,0,962
BARX2,Rhinolophus ferrumequinum (Greater horseshoe bat),91.54761904761905,769.0,0,911
BARX2,Oryctolagus cuniculus (Rabbit),90.11904761904762,757.0,0,920
BARX2,Bos grunniens (Domestic yak),91.19047619047619,766.0,0,911
BARX2,Panthera leo (Lion),92.61904761904762,778.0,0,902
BARX2,Macaca mulatta (Macaque),97.97619047619047,823.0,0,857
BARX2,Monodelphis domestica (Opossum),84.52380952380952,710.0,0,970
BARX2,Moschus moschiferus (Siberian musk deer),91.07142857142857,765.0,0,912
BARX2,Physeter catodon (Sperm whale),90.71428571428571,762.0,0,915
BARX2,Delphinapterus leucas (Beluga whale),91.66666666666666,770.0,0,907
BARX2,Ailuropoda melanoleuca (Giant panda),91.66666666666666,770.0,0,910
BARX2,Felis catus (Cat),92.5,777.0,0,903
BARX2,Macaca fascicularis (Crab-eating macaque),97.73809523809524,821.0,0,859
BARX2,Canis lupus familiaris (Dog - Boxer),91.66666666666666,770.0,0,910
BARX2,Pongo abelii (Sumatran orangutan),98.69047619047619,829.0,0,851
BARX2,Papio anubis (Olive baboon),97.73809523809524,821.0,0,859
BARX2,Callithrix jacchus (White-tufted-ear marmoset),96.9047619047619,814.0,0,866
BARX2,Sus scrofa (Pig - Hampshire),89.88095238095238,755.0,0,922
BARX2,Sarcophilus harrisii (Tasmanian devil),80.51801801801803,715.0,0,1013
BARX2,Equus caballus (Horse),92.85714285714286,780.0,0,900
BARX2,Equus asinus (Donkey),92.85714285714286,780.0,0,900
BARX2,Cebus imitator (Panamanian white-faced capuchin),97.38095238095238,818.0,0,862
BARX2,Heterocephalus glaber (Naked mole-rat),83.60655737704919,765.0,0,990
BARX2,Mus musculus (Mouse),88.38028169014085,753.0,0,939
BARX2,Rattus norvegicus (Rat),85.2233676975945,744.0,0,969
