Variant Name,Species,Similarity,Score,Start,End
CERS2,Latimeria chalumnae (Coelacanth),76.46544181977252,874.0,0,1403
CERS2,Myotis lucifugus (Microbat),93.78827646544183,1072.0,0,1214
CERS2,Tetraodon nigroviridis (Tetraodon),74.25828970331588,851.0,0,1438
CERS2,Tetraodon nigroviridis (Tetraodon),75.2405949256343,860.0,0,1423
CERS2,Lepisosteus oculatus (Spotted gar),68.24146981627297,780.0,0,1326
CERS2,Loxodonta africana (Elephant),87.35042735042735,1022.0,0,1291
CERS2,Poecilia formosa (Amazon molly),74.26597582037996,860.0,0,1441
CERS2,Chlorocebus sabaeus (Vervet-AGM),98.16272965879264,1122.0,0,1164
CERS2,Poecilia formosa (Amazon molly),70.77865266841646,809.0,0,1399
CERS2,Poecilia formosa (Amazon molly),74.1907261592301,848.0,0,1429
CERS2,Dasypus novemcinctus (Armadillo),92.6509186351706,1059.0,0,1227
CERS2,Mustela putorius furo (Ferret),90.97938144329896,1059.0,0,1248
CERS2,Gasterosteus aculeatus (Stickleback),75.17361111111111,866.0,0,1429
CERS2,Gasterosteus aculeatus (Stickleback),74.3455497382199,852.0,0,1437
CERS2,Tupaia belangeri (Tree Shrew),75.06561679790026,858.0,0,1428
CERS2,Tursiops truncatus (Dolphin),90.5,1086.0,0,1257
CERS2,Otolemur garnettii (Bushbaby),87.73747841105354,1016.0,0,1285
CERS2,Pelodiscus sinensis (Chinese softshell turtle),80.75240594925634,923.0,0,1351
CERS2,Sorex araneus (Shrew),76.11548556430446,870.0,0,1239
CERS2,Erinaceus europaeus (Hedgehog),87.92650918635171,1005.0,0,1281
CERS2,Procavia capensis (Hyrax),83.62573099415205,1001.0,0,1339
CERS2,Choloepus hoffmanni (Sloth),58.374792703150916,704.0,0,1645
CERS2,Notamacropus eugenii (Wallaby),81.45363408521304,975.0,0,1365
CERS2,Chinchilla lanigera (Long-tailed chinchilla),91.25109361329834,1043.0,0,1243
CERS2,Cavia porcellus (Guinea Pig),90.90113735783028,1039.0,0,1247
CERS2,Ictidomys tridecemlineatus (Squirrel),93.87576552930884,1073.0,0,1213
CERS2,Microtus ochrogaster (Prairie vole),89.93875765529309,1028.0,0,1258
CERS2,Cricetulus griseus (Chinese hamster CriGri),91.33858267716536,1044.0,0,1242
CERS2,Cercocebus atys (Sooty mangabey),85.29874213836479,1085.0,0,1330
CERS2,Macaca nemestrina (Pig-tailed macaque),98.4251968503937,1125.0,0,1161
CERS2,Nomascus leucogenys (Gibbon),87.94498381877023,1087.0,0,1292
CERS2,Mus pahari (Shrew mouse),90.4636920384952,1034.0,0,1249
CERS2,Mus caroli (Ryukyu mouse),90.98862642169728,1040.0,0,1243
CERS2,Mus spretus (Algerian mouse),90.4636920384952,1034.0,0,1249
CERS2,Capra hircus (Goat (black bengal)),93.52580927384076,1069.0,0,1217
CERS2,Eptatretus burgeri (Hagfish),67.10411198600174,767.0,0,1414
CERS2,Panthera tigris altaica (Tiger),79.73273942093542,1074.0,0,1416
CERS2,Danio rerio (Zebrafish),74.30555555555556,856.0,0,1439
CERS2,Danio rerio (Zebrafish),75.60763888888889,871.0,0,1424
CERS2,Stegastes partitus (Bicolor damselfish),75.59055118110236,864.0,0,1422
CERS2,YHL003C,60.922330097087375,753.0,0,1626
CERS2,YKL008C,60.77963404932378,764.0,0,1636
CERS2,Oryzias melastigma (Indian medaka),73.67965367965368,851.0,0,1447
CERS2,Cyprinodon variegatus (Sheepshead minnow),74.45319335083114,851.0,0,1435
CERS2,Cyprinodon variegatus (Sheepshead minnow),73.67965367965368,851.0,0,1447
CERS2,Amphiprion percula (Orange clownfish),57.48031496062992,657.0,0,1308
CERS2,Oryzias latipes (Japanese medaka HdrR),72.16404886561955,827.0,0,1462
CERS2,Amphilophus citrinellus (Midas cichlid),74.84769364664926,860.0,0,1432
CERS2,Amphilophus citrinellus (Midas cichlid),71.74103237095363,820.0,0,1424
CERS2,Stegastes partitus (Bicolor damselfish),74.3127147766323,865.0,0,1442
CERS2,Maylandia zebra (Zebra mbuna),73.33333333333333,858.0,0,1455
CERS2,Astatotilapia calliptera (Eastern happy),73.33333333333333,858.0,0,1455
CERS2,Oryzias latipes (Japanese medaka HdrR),74.37229437229436,859.0,0,1439
CERS2,Fundulus heteroclitus (Mummichog),68.24146981627297,780.0,0,1413
CERS2,Oryzias melastigma (Indian medaka),67.13725490196079,856.0,0,1562
CERS2,Amphiprion ocellaris (Clown anemonefish),75.15310586176727,859.0,0,1427
CERS2,Amphiprion percula (Orange clownfish),75.41557305336833,862.0,0,1424
CERS2,Fundulus heteroclitus (Mummichog),74.17102966841188,850.0,0,1439
CERS2,Maylandia zebra (Zebra mbuna),74.325500435161,854.0,0,1438
CERS2,Neolamprologus brichardi (Lyretail cichlid),73.43616109682948,857.0,0,1453
CERS2,Astatotilapia calliptera (Eastern happy),73.26478149100257,855.0,0,1455
CERS2,Xiphophorus maculatus (Platyfish),73.76623376623377,852.0,0,1446
CERS2,Pundamilia nyererei (Makobe Island cichlid),73.24786324786324,857.0,0,1456
CERS2,Pundamilia nyererei (Makobe Island cichlid),73.35047129391602,856.0,0,1454
CERS2,Neolamprologus brichardi (Lyretail cichlid),68.59142607174104,784.0,0,1391
CERS2,Xiphophorus maculatus (Platyfish),73.31583552055993,838.0,0,1439
CERS2,Sphenodon punctatus (Tuatara),80.66491688538933,922.0,0,1361
CERS2,Vulpes vulpes (Red fox),92.30096237970254,1055.0,0,1231
CERS2,Phascolarctos cinereus (Koala),83.37595907928389,978.0,0,1338
CERS2,Bos mutus (Wild yak),93.61329833770779,1070.0,0,1216
CERS2,Anser brachyrhynchus (Pink-footed goose),78.71986699916874,947.0,0,1399
CERS2,Notechis scutatus (Mainland tiger snake),72.47474747474747,861.0,0,1470
CERS2,Neovison vison (American mink),93.26334208223972,1066.0,0,1220
CERS2,Chelonoidis abingdonii (Abingdon island giant tortoise),79.67269595176572,925.0,0,1379
CERS2,Mus spicilegus (Steppe mouse),91.16360454943133,1042.0,0,1244
CERS2,Bos taurus (Cow),92.1619293712317,1070.0,0,1234
CERS2,Crocodylus porosus (Australian saltwater crocodile),76.09756097560975,936.0,0,1437
CERS2,Salvator merianae (Argentine black and white tegu),77.69164513350559,902.0,0,1402
CERS2,Parus major (Great Tit),81.97725284339458,937.0,0,1337
CERS2,Coturnix japonica (Japanese quail),76.55293088363955,875.0,0,1318
CERS2,Peromyscus maniculatus bairdii (Northern American deer mouse),90.28871391076116,1032.0,0,1254
CERS2,Electrophorus electricus (Electric eel),73.19587628865979,852.0,0,1455
CERS2,Electrophorus electricus (Electric eel),66.74641148325358,837.0,0,1560
CERS2,Bos indicus x Bos taurus (Hybrid - Bos Taurus),93.61329833770779,1070.0,0,1216
CERS2,Aquila chrysaetos chrysaetos (Golden eagle),82.32720909886264,941.0,0,1333
CERS2,Taeniopygia guttata (Zebra finch),82.1522309711286,939.0,0,1335
CERS2,Strigops habroptila (Kakapo),81.88976377952756,936.0,0,1332
CERS2,Nannospalax galili (Upper Galilee mountains blind mole rat),79.26920208799405,1063.0,0,1421
CERS2,Hippocampus comes (Tiger tail seahorse),73.56020942408377,843.0,0,1446
CERS2,Jaculus jaculus (Lesser Egyptian jerboa),89.85126859142608,1027.0,0,1259
CERS2,Labrus bergylta (Ballan wrasse),74.54545454545455,861.0,0,1437
CERS2,Labrus bergylta (Ballan wrasse),74.41253263707573,855.0,0,1437
CERS2,Hippocampus comes (Tiger tail seahorse),74.89177489177489,865.0,0,1433
CERS2,Haplochromis burtoni (Burton's mouthbrooder),73.26478149100257,855.0,0,1455
CERS2,Gorilla gorilla gorilla (Gorilla),99.73753280839895,1140.0,0,1146
CERS2,Poecilia latipinna (Sailfin molly),69.11636045494313,790.0,0,1391
