Variant Name,Species,Similarity,Score,Start,End
TLX1,Tursiops truncatus (Dolphin),91.44008056394763,908.0,0,1078
TLX1,Myotis lucifugus (Microbat),90.83585095669687,902.0,0,1081
TLX1,Pteropus vampyrus (Megabat),90.8183632734531,910.0,0,1085
TLX1,Loxodonta africana (Elephant),90.93655589123867,903.0,0,1080
TLX1,Procavia capensis (Hyrax),77.54279959718026,770.0,0,1063
TLX1,Dasypus novemcinctus (Armadillo),72.20543806646525,717.0,0,1053
TLX1,Poecilia formosa (Amazon molly),71.80261832829808,713.0,0,1147
TLX1,Otolemur garnettii (Bushbaby),90.7907907907908,907.0,0,1085
TLX1,Mustela putorius furo (Ferret),73.91742195367573,734.0,0,1075
TLX1,Chlorocebus sabaeus (Vervet-AGM),94.78859390363816,964.0,0,1046
TLX1,Ochotona princeps (Pika),88.92156862745098,907.0,0,1106
TLX1,Cavia porcellus (Guinea Pig),88.78878878878879,887.0,0,1105
TLX1,Microtus ochrogaster (Prairie vole),89.52095808383234,897.0,0,1098
TLX1,Cricetulus griseus (Chinese hamster CriGri),90.5905905905906,905.0,0,1087
TLX1,Macaca nemestrina (Pig-tailed macaque),97.2809667673716,966.0,0,1020
TLX1,Nomascus leucogenys (Gibbon),97.38167170191339,967.0,0,1013
TLX1,Cercocebus atys (Sooty mangabey),97.2809667673716,966.0,0,1020
TLX1,Mus pahari (Shrew mouse),89.2245720040282,886.0,0,1097
TLX1,Mus spretus (Algerian mouse),89.88988988988989,898.0,0,1094
TLX1,Capra hircus (Goat (black bengal)),91.31736526946108,915.0,0,1080
TLX1,Mus caroli (Ryukyu mouse),90.09009009009009,900.0,0,1092
TLX1,Eptatretus burgeri (Hagfish),73.51460221550856,730.0,0,1232
TLX1,Cyprinodon variegatus (Sheepshead minnow),70.59415911379658,701.0,0,1177
TLX1,Oryzias melastigma (Indian medaka),70.79556898288017,703.0,0,1178
TLX1,Stegastes partitus (Bicolor damselfish),71.50050352467271,710.0,0,1183
TLX1,Amphiprion ocellaris (Clown anemonefish),71.29909365558912,708.0,0,1185
TLX1,Amphiprion percula (Orange clownfish),71.70868347338936,768.0,0,1296
TLX1,Xiphophorus maculatus (Platyfish),73.41389728096676,729.0,0,1182
TLX1,Vulpes vulpes (Red fox),84.08862034239678,835.0,0,1070
TLX1,Sphenodon punctatus (Tuatara),78.24773413897282,777.0,0,1137
TLX1,Notechis scutatus (Mainland tiger snake),74.82376636455186,743.0,0,1156
TLX1,Anser brachyrhynchus (Pink-footed goose),77.74420946626385,772.0,0,1115
TLX1,Neovison vison (American mink),76.83786505538771,763.0,0,1223
TLX1,Phascolarctos cinereus (Koala),83.38368580060424,828.0,0,1158
TLX1,Chelonoidis abingdonii (Abingdon island giant tortoise),75.73011077542799,752.0,0,1141
TLX1,Mus spicilegus (Steppe mouse),89.92015968063872,901.0,0,1094
TLX1,Peromyscus maniculatus bairdii (Northern American deer mouse),80.96676737160121,804.0,0,1167
TLX1,Parus major (Great Tit),76.13293051359517,756.0,0,1131
TLX1,Salvator merianae (Argentine black and white tegu),76.63645518630413,761.0,0,1222
TLX1,Coturnix japonica (Japanese quail),76.9385699899295,764.0,0,1159
TLX1,Crocodylus porosus (Australian saltwater crocodile),74.82376636455186,743.0,0,1189
TLX1,Bos taurus (Cow),91.26984126984127,920.0,0,1081
TLX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),91.26984126984127,920.0,0,1081
TLX1,Aquila chrysaetos chrysaetos (Golden eagle),76.23363544813697,757.0,0,1130
TLX1,Taeniopygia guttata (Zebra finch),76.73716012084593,762.0,0,1125
TLX1,Strigops habroptila (Kakapo),76.13293051359517,756.0,0,1131
TLX1,Serinus canaria (Common canary),76.13293051359517,756.0,0,1131
TLX1,Prolemur simus (Greater bamboo lemur),92.53731343283582,930.0,0,1068
TLX1,Poecilia reticulata (Guppy),72.9103726082578,724.0,0,1184
TLX1,Poecilia latipinna (Sailfin molly),73.0110775427996,725.0,0,1177
TLX1,Aotus nancymaae (Ma's night monkey),96.47532729103726,958.0,0,1028
TLX1,Nannospalax galili (Upper Galilee mountains blind mole rat),90.24875621890547,907.0,0,1091
