Variant Name,Species,Similarity,Score,Start,End
PITX1,Myotis lucifugus (Microbat),92.63932702418506,881.0,0,1015
PITX1,Pteropus vampyrus (Megabat),93.96825396825396,888.0,0,999
PITX1,Otolemur garnettii (Bushbaby),94.6031746031746,894.0,0,996
PITX1,Tursiops truncatus (Dolphin),95.34391534391534,901.0,0,989
PITX1,Mustela putorius furo (Ferret),87.83068783068782,830.0,0,985
PITX1,Dasypus novemcinctus (Armadillo),86.93834900731451,832.0,0,1070
PITX1,Chlorocebus sabaeus (Vervet-AGM),97.98941798941799,926.0,0,964
PITX1,Notamacropus eugenii (Wallaby),83.17460317460318,786.0,0,1080
PITX1,Cavia porcellus (Guinea Pig),93.33333333333333,882.0,0,999
PITX1,Ictidomys tridecemlineatus (Squirrel),84.12698412698413,795.0,0,981
PITX1,Cricetulus griseus (Chinese hamster CriGri),93.43915343915344,883.0,0,1007
PITX1,Microtus ochrogaster (Prairie vole),92.16931216931216,871.0,0,1019
PITX1,Nomascus leucogenys (Gibbon),88.04232804232804,832.0,0,1004
PITX1,Cercocebus atys (Sooty mangabey),97.77777777777777,924.0,0,966
PITX1,Macaca nemestrina (Pig-tailed macaque),88.3476599808978,925.0,0,1067
PITX1,Mus spretus (Algerian mouse),91.32275132275133,863.0,0,1027
PITX1,Mus pahari (Shrew mouse),92.5925925925926,875.0,0,1012
PITX1,Mus caroli (Ryukyu mouse),91.95767195767196,869.0,0,1021
PITX1,Capra hircus (Goat (black bengal)),93.96825396825396,888.0,0,1002
PITX1,Vulpes vulpes (Red fox),85.17441860465115,879.0,0,1098
PITX1,Sphenodon punctatus (Tuatara),80.95238095238095,765.0,0,1098
PITX1,Neovison vison (American mink),94.70899470899471,895.0,0,992
PITX1,Phascolarctos cinereus (Koala),83.28042328042328,787.0,0,1079
PITX1,Salvator merianae (Argentine black and white tegu),81.7989417989418,773.0,0,1108
PITX1,Mus spicilegus (Steppe mouse),91.56118143459916,868.0,0,1025
PITX1,Coturnix japonica (Japanese quail),81.26984126984127,768.0,0,1086
PITX1,Bos taurus (Cow),94.49735449735451,893.0,0,997
PITX1,Peromyscus maniculatus bairdii (Northern American deer mouse),91.64021164021165,866.0,0,1012
PITX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),94.49735449735451,893.0,0,997
PITX1,Aquila chrysaetos chrysaetos (Golden eagle),80.63492063492063,762.0,0,1092
PITX1,Taeniopygia guttata (Zebra finch),81.16402116402116,767.0,0,1087
PITX1,Strigops habroptila (Kakapo),81.26984126984127,768.0,0,1086
PITX1,Nannospalax galili (Upper Galilee mountains blind mole rat),91.85185185185185,868.0,0,1022
PITX1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),80.21164021164022,758.0,0,997
PITX1,Jaculus jaculus (Lesser Egyptian jerboa),91.062039957939,866.0,0,1030
PITX1,Serinus canaria (Common canary),81.26984126984127,768.0,0,1086
PITX1,Propithecus coquereli (Coquerel's sifaka),83.80952380952381,792.0,0,972
PITX1,Prolemur simus (Greater bamboo lemur),95.87301587301587,906.0,0,984
PITX1,Gorilla gorilla gorilla (Gorilla),99.68253968253968,942.0,0,948
PITX1,Aotus nancymaae (Ma's night monkey),97.14285714285714,918.0,0,972
PITX1,Anas platyrhynchos (Mallard),81.9047619047619,774.0,0,1080
PITX1,Pan troglodytes (Chimpanzee),99.89417989417989,944.0,0,946
PITX1,Rhinopithecus bieti (Black snub-nosed monkey),97.77777777777777,924.0,0,966
PITX1,Ursus maritimus (Polar bear),82.75132275132276,782.0,0,1096
PITX1,Marmota marmota marmota (Alpine marmot),95.55555555555556,903.0,0,987
PITX1,Rhinopithecus roxellana (Golden snub-nosed monkey),97.77777777777777,924.0,0,966
PITX1,Ursus americanus (American black bear),94.39153439153439,892.0,0,995
PITX1,Mesocricetus auratus (Golden Hamster),93.65079365079364,885.0,0,1005
PITX1,Microcebus murinus (Mouse Lemur),95.87301587301587,906.0,0,984
PITX1,Pan paniscus (Bonobo),94.28571428571428,891.0,0,948
PITX1,Panthera pardus (Leopard),94.6031746031746,894.0,0,993
PITX1,Urocitellus parryii (Arctic ground squirrel),95.35864978902954,904.0,0,989
PITX1,Octodon degus (Degu),93.54497354497354,884.0,0,1006
PITX1,Cervus hanglu yarkandensis (Yarkand deer),93.86243386243386,887.0,0,1003
PITX1,Monodon monoceros (Narwhal),95.34391534391534,901.0,0,989
PITX1,Balaenoptera musculus (Blue whale),95.13227513227514,899.0,0,991
PITX1,Ovis aries (Sheep),94.07407407407408,889.0,0,1001
PITX1,Phocoena sinus (Vaquita),95.23809523809523,900.0,0,990
PITX1,Sciurus vulgaris (Eurasian red squirrel),95.44973544973546,902.0,0,988
PITX1,Moschus moschiferus (Siberian musk deer),94.07407407407408,889.0,0,1001
PITX1,Pseudonaja textilis (Eastern brown snake),80.0,756.0,0,1095
PITX1,Vombatus ursinus (Common wombat),82.85714285714286,783.0,0,1083
PITX1,Catagonus wagneri (Chacoan peccary),95.25316455696202,903.0,0,990
PITX1,Bos grunniens (Domestic yak),94.49735449735451,893.0,0,997
PITX1,Rhinolophus ferrumequinum (Greater horseshoe bat),94.39153439153439,892.0,0,995
PITX1,Camelus dromedarius (Arabian camel),93.86243386243386,887.0,0,1003
PITX1,Panthera leo (Lion),94.6031746031746,894.0,0,993
PITX1,Monodelphis domestica (Opossum),81.9047619047619,774.0,0,1092
PITX1,Macaca mulatta (Macaque),88.3476599808978,925.0,0,1067
PITX1,Ornithorhynchus anatinus (Platypus),84.32601880877742,807.0,0,1095
PITX1,Ornithorhynchus anatinus (Platypus),84.85804416403786,807.0,0,1089
PITX1,Physeter catodon (Sperm whale),94.92063492063491,897.0,0,993
PITX1,Delphinapterus leucas (Beluga whale),95.02645502645503,898.0,0,992
PITX1,Ailuropoda melanoleuca (Giant panda),85.53639846743295,893.0,0,1096
PITX1,Felis catus (Cat),94.6031746031746,894.0,0,993
PITX1,Callithrix jacchus (White-tufted-ear marmoset),96.93121693121694,916.0,0,974
PITX1,Pongo abelii (Sumatran orangutan),99.15343915343915,937.0,0,950
PITX1,Papio anubis (Olive baboon),88.15663801337153,923.0,0,1069
PITX1,Sus scrofa (Pig - Hampshire),94.6031746031746,894.0,0,996
PITX1,Sarcophilus harrisii (Tasmanian devil),82.43386243386243,779.0,0,1087
PITX1,Equus asinus (Donkey),95.76719576719577,905.0,0,985
PITX1,Heterocephalus glaber (Naked mole-rat),83.85864374403056,878.0,0,1114
PITX1,Cebus imitator (Panamanian white-faced capuchin),97.03703703703704,917.0,0,973
PITX1,Mus musculus (Mouse),91.77215189873418,870.0,0,1023
PITX1,Rattus norvegicus (Rat),90.92827004219409,862.0,0,1031
PITX2,Myotis lucifugus (Microbat),91.8200408997955,898.0,0,1055
PITX2,Chlorocebus sabaeus (Vervet-AGM),97.95501022494888,958.0,0,995
PITX2,Mustela putorius furo (Ferret),86.56410256410257,844.0,0,1085
PITX2,Otolemur garnettii (Bushbaby),87.48717948717949,853.0,0,1076
PITX2,Tursiops truncatus (Dolphin),94.06952965235173,920.0,0,1033
PITX2,Dasypus novemcinctus (Armadillo),91.07692307692308,888.0,0,1062
PITX2,Microtus ochrogaster (Prairie vole),92.0,897.0,0,1053
PITX2,Chinchilla lanigera (Long-tailed chinchilla),92.43353783231085,904.0,0,1049
PITX2,Macaca nemestrina (Pig-tailed macaque),97.75051124744377,956.0,0,997
PITX2,Cercocebus atys (Sooty mangabey),97.54601226993866,954.0,0,999
