Variant Name,Species,Similarity,Score,Start,End
SIX1,Tetraodon nigroviridis (Tetraodon),83.39181286549707,713.0,0,997
SIX1,Ciona savignyi,54.431372549019606,694.0,0,1436
SIX1,Myotis lucifugus (Microbat),76.23026926648096,821.0,0,1111
SIX1,Tupaia belangeri (Tree Shrew),94.03508771929825,804.0,0,894
SIX1,Lepisosteus oculatus (Spotted gar),78.24675324675324,723.0,0,1056
SIX1,Latimeria chalumnae (Coelacanth),78.83040935672516,674.0,0,1033
SIX1,Echinops telfairi (Lesser hedgehog tenrec),93.09941520467837,796.0,0,914
SIX1,Petromyzon marinus (Lamprey),46.666666666666664,399.0,0,906
SIX1,Loxodonta africana (Elephant),92.98245614035088,795.0,0,909
SIX1,Ciona intestinalis,56.95906432748538,487.0,0,1082
SIX1,Pteropus vampyrus (Megabat),95.32163742690058,815.0,0,895
SIX1,Poecilia formosa (Amazon molly),82.80701754385966,708.0,0,1002
SIX1,Tursiops truncatus (Dolphin),95.08771929824562,813.0,0,897
SIX1,Dasypus novemcinctus (Armadillo),92.8654970760234,794.0,0,916
SIX1,Gasterosteus aculeatus (Stickleback),82.10526315789474,702.0,0,1008
SIX1,Chlorocebus sabaeus (Vervet-AGM),98.47953216374269,842.0,0,868
SIX1,Otolemur garnettii (Bushbaby),77.61904761904762,815.0,0,1090
SIX1,Mustela putorius furo (Ferret),94.26900584795321,806.0,0,904
SIX1,Sorex araneus (Shrew),95.2046783625731,814.0,0,896
SIX1,Ochotona princeps (Pika),93.6842105263158,801.0,0,909
SIX1,Procavia capensis (Hyrax),92.51461988304094,791.0,0,919
SIX1,Erinaceus europaeus (Hedgehog),94.38596491228071,807.0,0,903
SIX1,Choloepus hoffmanni (Sloth),92.28070175438596,789.0,0,915
SIX1,Notamacropus eugenii (Wallaby),86.78362573099415,742.0,0,968
SIX1,Cavia porcellus (Guinea Pig),94.15204678362574,805.0,0,905
SIX1,Chinchilla lanigera (Long-tailed chinchilla),95.32163742690058,815.0,0,895
SIX1,Ictidomys tridecemlineatus (Squirrel),95.08771929824562,813.0,0,897
SIX1,Microtus ochrogaster (Prairie vole),93.56725146198829,800.0,0,910
SIX1,Cricetulus griseus (Chinese hamster CriGri),92.51461988304094,791.0,0,919
SIX1,Macaca nemestrina (Pig-tailed macaque),98.3625730994152,841.0,0,869
SIX1,Nomascus leucogenys (Gibbon),99.06432748538012,847.0,0,863
SIX1,Cercocebus atys (Sooty mangabey),98.3625730994152,841.0,0,869
SIX1,Mus pahari (Shrew mouse),93.21637426900585,797.0,0,910
SIX1,Mus caroli (Ryukyu mouse),93.6842105263158,801.0,0,906
SIX1,Mus spretus (Algerian mouse),93.33333333333333,798.0,0,909
SIX1,Capra hircus (Goat (black bengal)),93.6842105263158,801.0,0,909
SIX1,Eptatretus burgeri (Hagfish),73.9413680781759,681.0,0,1095
SIX1,Panthera tigris altaica (Tiger),38.12865497076024,326.0,0,865
SIX1,Danio rerio (Zebrafish),79.88304093567251,683.0,0,1024
SIX1,Danio rerio (Zebrafish),80.35087719298247,687.0,0,1023
SIX1,Oryzias melastigma (Indian medaka),82.22222222222221,703.0,0,1007
SIX1,Stegastes partitus (Bicolor damselfish),82.22222222222221,703.0,0,1007
SIX1,Cyprinodon variegatus (Sheepshead minnow),81.16959064327486,694.0,0,1016
SIX1,Amphilophus citrinellus (Midas cichlid),81.05263157894737,693.0,0,1017
SIX1,Amphiprion ocellaris (Clown anemonefish),82.10526315789474,702.0,0,1008
SIX1,Fundulus heteroclitus (Mummichog),82.45614035087719,705.0,0,1005
SIX1,Oryzias latipes (Japanese medaka HdrR),81.28654970760235,695.0,0,1015
SIX1,Maylandia zebra (Zebra mbuna),80.93567251461988,692.0,0,1018
SIX1,Amphiprion percula (Orange clownfish),81.98830409356725,701.0,0,1009
SIX1,Pundamilia nyererei (Makobe Island cichlid),80.93567251461988,692.0,0,1018
SIX1,Astatotilapia calliptera (Eastern happy),80.93567251461988,692.0,0,1018
SIX1,Neolamprologus brichardi (Lyretail cichlid),81.16959064327486,694.0,0,1016
SIX1,Xiphophorus maculatus (Platyfish),82.80701754385966,708.0,0,1002
SIX1,Sphenodon punctatus (Tuatara),77.04728950403691,668.0,0,1054
SIX1,Vulpes vulpes (Red fox),95.32163742690058,815.0,0,895
SIX1,Neovison vison (American mink),94.73684210526315,810.0,0,900
SIX1,Bos mutus (Wild yak),93.80116959064327,802.0,0,908
SIX1,Notechis scutatus (Mainland tiger snake),86.4327485380117,739.0,0,971
SIX1,Phascolarctos cinereus (Koala),86.66666666666667,741.0,0,969
SIX1,Chelonoidis abingdonii (Abingdon island giant tortoise),85.96491228070175,735.0,0,954
SIX1,Mus spicilegus (Steppe mouse),93.6842105263158,801.0,0,909
SIX1,Parus major (Great Tit),86.66666666666667,741.0,0,963
SIX1,Salvator merianae (Argentine black and white tegu),87.36842105263159,747.0,0,963
SIX1,Coturnix japonica (Japanese quail),85.84795321637428,734.0,0,970
SIX1,Bos taurus (Cow),93.80116959064327,802.0,0,908
SIX1,Peromyscus maniculatus bairdii (Northern American deer mouse),94.03508771929825,804.0,0,906
SIX1,Electrophorus electricus (Electric eel),80.23391812865496,686.0,0,1024
SIX1,Electrophorus electricus (Electric eel),78.01169590643275,667.0,0,1043
SIX1,Callorhinchus milii (Elephant shark),80.90277777777779,699.0,0,1020
SIX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),93.80116959064327,802.0,0,908
SIX1,Aquila chrysaetos chrysaetos (Golden eagle),85.96491228070175,735.0,0,969
SIX1,Taeniopygia guttata (Zebra finch),86.19883040935673,737.0,0,967
SIX1,Strigops habroptila (Kakapo),86.19883040935673,737.0,0,967
SIX1,Gorilla gorilla gorilla (Gorilla),78.3625730994152,670.0,0,869
SIX1,Astyanax mexicanus (Mexican tetra),82.57309941520468,706.0,0,1004
SIX1,Haplochromis burtoni (Burton's mouthbrooder),81.05263157894737,693.0,0,1017
SIX1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),97.54385964912281,834.0,0,876
SIX1,Serinus canaria (Common canary),73.91812865497076,632.0,0,1033
SIX1,Hippocampus comes (Tiger tail seahorse),83.50877192982456,714.0,0,996
SIX1,Prolemur simus (Greater bamboo lemur),95.8041958041958,822.0,0,891
SIX1,Labrus bergylta (Ballan wrasse),77.89473684210526,666.0,0,1002
SIX1,Pygocentrus nattereri (Red-bellied piranha),82.80701754385966,708.0,0,1002
SIX1,Nannospalax galili (Upper Galilee mountains blind mole rat),92.63157894736842,792.0,0,918
SIX1,Seriola lalandi dorsalis (Yellowtail amberjack),82.10526315789474,702.0,0,1008
SIX1,Poecilia latipinna (Sailfin molly),82.80701754385966,708.0,0,1002
SIX1,Propithecus coquereli (Coquerel's sifaka),95.67251461988305,818.0,0,892
SIX1,Poecilia reticulata (Guppy),82.80701754385966,708.0,0,1002
SIX1,Chrysemys picta bellii (Painted turtle),85.84795321637428,734.0,0,955
SIX1,Pygocentrus nattereri (Red-bellied piranha),80.0,684.0,0,1005
SIX1,Anas platyrhynchos (Mallard),86.08187134502924,736.0,0,968
SIX1,Astyanax mexicanus (Mexican tetra),79.64912280701755,681.0,0,1008
SIX1,Marmota marmota marmota (Alpine marmot),95.32163742690058,815.0,0,895
SIX1,Paramormyrops kingsleyae (Paramormyrops kingsleyae),63.934426229508205,702.0,0,1251
SIX1,Ursus maritimus (Polar bear),94.97076023391813,812.0,0,898
SIX1,Seriola dumerili (Greater amberjack),81.98830409356725,701.0,0,1009
SIX1,Jaculus jaculus (Lesser Egyptian jerboa),93.56725146198829,800.0,0,910
SIX1,Aotus nancymaae (Ma's night monkey),98.01169590643275,838.0,0,872
SIX1,Bison bison bison (American bison),88.65497076023392,758.0,0,913
SIX1,Gorilla gorilla gorilla (Gorilla),99.88304093567251,854.0,0,856
SIX1,Paramormyrops kingsleyae (Paramormyrops kingsleyae),80.8187134502924,691.0,0,1019
SIX1,Pan troglodytes (Chimpanzee),100.0,855.0,0,855
SIX1,Microcebus murinus (Mouse Lemur),96.37426900584796,824.0,0,886
SIX1,Mesocricetus auratus (Golden Hamster),93.21637426900585,797.0,0,913
SIX1,Ictalurus punctatus (Channel catfish),80.23391812865496,686.0,0,1009
SIX1,Hucho hucho (Huchen),80.93567251461988,692.0,0,1018
SIX1,Panthera pardus (Leopard),95.08771929824562,813.0,0,897
SIX1,Rhinopithecus bieti (Black snub-nosed monkey),98.12865497076024,839.0,0,871
SIX1,Geospiza fortis (Medium ground-finch),67.01754385964912,573.0,0,957
SIX1,Hucho hucho (Huchen),81.05263157894737,693.0,0,1017
SIX1,Urocitellus parryii (Arctic ground squirrel),95.67251461988305,818.0,0,892
SIX1,Cynoglossus semilaevis (Tongue sole),83.27485380116958,712.0,0,998
SIX1,Dipodomys ordii (Kangaroo rat),93.6842105263158,801.0,0,909
SIX1,Ursus americanus (American black bear),37.07602339181287,317.0,0,865
SIX1,Rhinopithecus roxellana (Golden snub-nosed monkey),98.24561403508771,840.0,0,870
SIX1,Pan paniscus (Bonobo),99.88304093567251,854.0,0,856
SIX1,Kryptolebias marmoratus (Mangrove rivulus),83.85964912280703,717.0,0,993
SIX1,Acanthochromis polyacanthus (Spiny chromis),82.22222222222221,703.0,0,1007
SIX1,Octodon degus (Degu),94.15204678362574,805.0,0,905
SIX1,Mandrillus leucophaeus (Drill),98.12865497076024,839.0,0,871
SIX1,Sinocyclocheilus grahami (Golden-line barbel),80.35087719298247,687.0,0,1020
SIX1,Sinocyclocheilus grahami (Golden-line barbel),80.46783625730994,688.0,0,1022
