Species,Similarity
Canis lupus familiaris (Dog - Boxer),175.25252525252526
Oncorhynchus kisutch (Coho salmon),147.13688610240334
Salmo trutta (Brown trout),146.8617206548241
Hucho hucho (Huchen),146.13970588235293
Sinocyclocheilus grahami (Golden-line barbel),142.00913242009133
Cyprinus carpio carpio (Common carp),141.78082191780823
Carassius auratus (Goldfish),141.78082191780823
Pan troglodytes (Chimpanzee),99.62121212121212
Pan paniscus (Bonobo),99.62121212121212
Gorilla gorilla gorilla (Gorilla),99.11616161616162
Pongo abelii (Sumatran orangutan),97.6010101010101
Macaca nemestrina (Pig-tailed macaque),97.34848484848484
Macaca fascicularis (Crab-eating macaque),97.34848484848484
Macaca mulatta (Macaque),97.34848484848484
Chlorocebus sabaeus (Vervet-AGM),97.2222222222222
Rhinopithecus bieti (Black snub-nosed monkey),97.2222222222222
Cercocebus atys (Sooty mangabey),97.2222222222222
Rhinopithecus roxellana (Golden snub-nosed monkey),97.09595959595958
Mandrillus leucophaeus (Drill),97.09595959595958
Nomascus leucogenys (Gibbon),96.71717171717172
Aotus nancymaae (Ma's night monkey),96.21212121212122
Cebus imitator (Panamanian white-faced capuchin),95.58080808080808
Callithrix jacchus (White-tufted-ear marmoset),95.45454545454544
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),95.45454545454544
Prolemur simus (Greater bamboo lemur),92.67676767676768
Propithecus coquereli (Coquerel's sifaka),92.42424242424242
Microcebus murinus (Mouse Lemur),92.2979797979798
Monodon monoceros (Narwhal),91.28787878787878
Tupaia belangeri (Tree Shrew),91.28787878787878
Urocitellus parryii (Arctic ground squirrel),91.16161616161617
Nannospalax galili (Upper Galilee mountains blind mole rat),91.16161616161617
Mus musculus (Mouse),91.03535353535354
Carlito syrichta (Tarsier),91.03535353535354
Phocoena sinus (Vaquita),91.03535353535354
Tursiops truncatus (Dolphin),91.03535353535354
Sciurus vulgaris (Eurasian red squirrel),90.9090909090909
Balaenoptera musculus (Blue whale),90.9090909090909
Physeter catodon (Sperm whale),90.9090909090909
Ictidomys tridecemlineatus (Squirrel),90.78282828282828
Mus spicilegus (Steppe mouse),90.78282828282828
Camelus dromedarius (Arabian camel),90.65656565656566
Marmota marmota marmota (Alpine marmot),90.53030303030305
Neovison vison (American mink),90.53030303030305
Panthera pardus (Leopard),90.40404040404042
Otolemur garnettii (Bushbaby),90.40404040404042
Equus caballus (Horse),90.40404040404042
Loxodonta africana (Elephant),90.31446540880503
Ailuropoda melanoleuca (Giant panda),90.2777777777778
Mus caroli (Ryukyu mouse),90.2777777777778
Mustela putorius furo (Ferret),90.2777777777778
Panthera leo (Lion),90.2777777777778
Ursus americanus (American black bear),90.15151515151516
Cervus hanglu yarkandensis (Yarkand deer),90.15151515151516
Peromyscus maniculatus bairdii (Northern American deer mouse),90.15151515151516
Felis catus (Cat),90.062893081761
Equus asinus (Donkey),89.8989898989899
Rattus norvegicus (Rat),89.77272727272727
Catagonus wagneri (Chacoan peccary),89.77272727272727
Jaculus jaculus (Lesser Egyptian jerboa),89.77272727272727
Bos grunniens (Domestic yak),89.77272727272727
Bison bison bison (American bison),89.77272727272727
Sus scrofa (Pig - Hampshire),89.77272727272727
Rhinolophus ferrumequinum (Greater horseshoe bat),89.64646464646465
Mus spretus (Algerian mouse),89.64646464646465
Bos mutus (Wild yak),89.64646464646465
Bos indicus x Bos taurus (Hybrid - Bos Taurus),89.64646464646465
Mus pahari (Shrew mouse),89.52020202020202
Moschus moschiferus (Siberian musk deer),89.52020202020202
Delphinapterus leucas (Beluga whale),89.52020202020202
Cricetulus griseus (Chinese hamster CriGri),89.52020202020202
Bos taurus (Cow),89.39393939393939
Mesocricetus auratus (Golden Hamster),89.26767676767676
Microtus ochrogaster (Prairie vole),89.26767676767676
Pteropus vampyrus (Megabat),89.14141414141415
Capra hircus (Goat (black bengal)),88.88888888888889
Dipodomys ordii (Kangaroo rat),88.76262626262627
