Species,Similarity
Pan troglodytes (Chimpanzee),99.4000786445778
Pongo abelii (Sumatran orangutan),98.65253231876943
Nomascus leucogenys (Gibbon),98.23784855789779
Papio anubis (Olive baboon),97.90172847104682
Macaca mulatta (Macaque),97.72238464037201
Macaca nemestrina (Pig-tailed macaque),97.57313090902872
Chlorocebus sabaeus (Vervet-AGM),97.52337966524765
Cebus imitator (Panamanian white-faced capuchin),95.87286933032432
Aotus nancymaae (Ma's night monkey),95.7311381238139
Rhinopithecus bieti (Black snub-nosed monkey),95.07804619514113
Microcebus murinus (Mouse Lemur),93.73989160725581
Propithecus coquereli (Coquerel's sifaka),93.40377152040483
Otolemur garnettii (Bushbaby),92.03039783898376
Equus asinus (Donkey),91.05383734249713
Sciurus vulgaris (Eurasian red squirrel),90.82930059599613
Sus scrofa (Pig - Hampshire),90.81260364842454
Moschus moschiferus (Siberian musk deer),90.7478073549777
Catagonus wagneri (Chacoan peccary),90.61359867330016
Urocitellus parryii (Arctic ground squirrel),90.3252081776629
Panthera pardus (Leopard),90.29252363611496
Bos taurus (Cow),90.24277239233386
Delphinapterus leucas (Beluga whale),90.20515976816947
Phocoena sinus (Vaquita),90.18259219367081
Monodon monoceros (Narwhal),90.14788599955548
Rhinolophus ferrumequinum (Greater horseshoe bat),90.14620773682607
Bos grunniens (Domestic yak),90.12822485510591
Bos indicus x Bos taurus (Hybrid - Bos Taurus),90.12822485510591
Octodon degus (Degu),90.10580658352075
Capra hircus (Goat (black bengal)),89.96392607409686
Prolemur simus (Greater bamboo lemur),89.7071344309381
Neovison vison (American mink),89.62489955719684
Heterocephalus glaber (Naked mole-rat),89.49468532692477
Macaca fascicularis (Crab-eating macaque),89.29526541466839
Nannospalax galili (Upper Galilee mountains blind mole rat),88.5696944829119
Mus spretus (Algerian mouse),88.09509335062549
Mus musculus (Mouse),88.09185820572452
Mus spicilegus (Steppe mouse),88.08413959279284
Cavia porcellus (Guinea Pig),87.93873100252165
Mus caroli (Ryukyu mouse),87.70061603307124
Mus pahari (Shrew mouse),87.54090983472426
Rattus norvegicus (Rat),87.47919641621345
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),87.45721564001299
Cricetulus griseus (Chinese hamster CriGri),87.45007664827787
Physeter catodon (Sperm whale),87.39122258125181
Jaculus jaculus (Lesser Egyptian jerboa),87.37591088482105
Microtus ochrogaster (Prairie vole),86.8330170453574
Panthera leo (Lion),86.4044040963567
Felis catus (Cat),85.93553566289515
Chinchilla lanigera (Long-tailed chinchilla),85.30235420833975
Peromyscus maniculatus bairdii (Northern American deer mouse),84.90101268132469
Canis lupus familiaris (Dog - Boxer),84.36494503427878
Ictidomys tridecemlineatus (Squirrel),83.60110709252373
Equus caballus (Horse),82.86454326306611
Pteropus vampyrus (Megabat),82.42344976150176
Dipodomys ordii (Kangaroo rat),81.84556668711238
Mustela putorius furo (Ferret),81.04050195756614
Ovis aries (Sheep),80.12948080112261
Vombatus ursinus (Common wombat),79.69851737987801
Echinops telfairi (Lesser hedgehog tenrec),79.04925544100801
Mesocricetus auratus (Golden Hamster),78.99950419722691
Strigops habroptila (Kakapo),78.57072028175276
Taeniopygia guttata (Zebra finch),78.33119625241491
Pan paniscus (Bonobo),76.82053649279376
Gorilla gorilla gorilla (Gorilla),76.77078524901268
Ornithorhynchus anatinus (Platypus),76.27105024704656
Phascolarctos cinereus (Koala),76.20886664599848
Bison bison bison (American bison),76.1397479954181
Terrapene carolina triunguis (Three-toed box turtle),76.13458133063496
Chelonoidis abingdonii (Abingdon island giant tortoise),75.68275461182063
Gopherus evgoodei (Goodes thornscrub tortoise),75.63590979808859
Rhinopithecus roxellana (Golden snub-nosed monkey),75.53332991400387
Bos mutus (Wild yak),75.5304159190666
Chrysemys picta bellii (Painted turtle),75.15416116695435
Monodelphis domestica (Opossum),75.04729260673378
Aquila chrysaetos chrysaetos (Golden eagle),74.60959805782086
Sarcophilus harrisii (Tasmanian devil),74.50183484907822
Pygocentrus nattereri (Red-bellied piranha),74.48120223624147
Podarcis muralis (Common wall lizard),73.82144157262468
Lepisosteus oculatus (Spotted gar),73.73613034483938
Tetraodon nigroviridis (Tetraodon),73.71854084625731
Oryzias latipes (Japanese medaka HdrR),73.41095823812535
Scophthalmus maximus (Turbot),73.37951934140374
Acanthochromis polyacanthus (Spiny chromis),73.27985479767287
Scleropages formosus (Asian bonytongue),73.252883682948
Xiphophorus maculatus (Platyfish),73.24361797569529
Cyclopterus lumpus (Lumpfish),73.09456009426552
Poecilia latipinna (Sailfin molly),72.98507462686567
Electrophorus electricus (Electric eel),72.8132648653837
Stegastes partitus (Bicolor damselfish),72.80940574002949
Loxodonta africana (Elephant),72.78316322169222
Amphiprion percula (Orange clownfish),72.7732672144165
Cyprinodon variegatus (Sheepshead minnow),72.75181469700678
Amphiprion ocellaris (Clown anemonefish),72.71897839791271
Gadus morhua (Atlantic cod),72.66810278504386
Oryzias javanicus (Javanese ricefish),72.64670134668677
Oryzias melastigma (Indian medaka),72.58787495746026
Astyanax mexicanus (Mexican tetra),72.56369907650247
Paramormyrops kingsleyae (Paramormyrops kingsleyae),72.52653399668324
Cynoglossus semilaevis (Tongue sole),72.48890412785492
Myripristis murdjan (Pinecone soldierfish),72.37071969144506
Seriola lalandi dorsalis (Yellowtail amberjack),72.3344191096634
Neolamprologus brichardi (Lyretail cichlid),72.27886541319377
Seriola dumerili (Greater amberjack),72.18970295104283
Labrus bergylta (Ballan wrasse),72.1205448168991
Larimichthys crocea (Large yellow croaker),72.09020046348064
Anabas testudineus (Climbing perch),71.99086003208711
Dicentrarchus labrax (European seabass),71.98162283047304
Danio rerio (Zebrafish),71.95677456871488
Sphenodon punctatus (Tuatara),71.94555083818443
Kryptolebias marmoratus (Mangrove rivulus),71.9096078051302
Lates calcarifer (Barramundi perch),71.90027063380168
Sparus aurata (Gilthead seabream),71.85505696274328
Astatotilapia calliptera (Eastern happy),71.77699166505136
Haplochromis burtoni (Burton's mouthbrooder),71.636460554371
Pundamilia nyererei (Makobe Island cichlid),71.62773793370808
Scleropages formosus two (Asian bonytongue),71.6246354434723
Salmo salar (Atlantic salmon),71.61527886881382
Oncorhynchus kisutch (Coho salmon),71.51973252707523
Amphilophus citrinellus (Midas cichlid),71.5002907540221
Sander lucioperca (Pike-perch),71.49139172558262
Maylandia zebra (Zebra mbuna),71.4784842023648
Ictalurus punctatus (Channel catfish),71.44808603032945
Carassius auratus (Goldfish),71.404090657822
Oncorhynchus mykiss (Rainbow trout),71.26329765961191
Salmo trutta (Brown trout),71.25561901105405
Sinocyclocheilus grahami (Golden-line barbel),71.24426726303338
Nothobranchius furzeri (Turquoise killifish),71.23989174647933
Mastacembelus armatus (Zig-zag eel),71.14038925891714
Hucho hucho (Huchen),71.08594408150938
Oncorhynchus tshawytscha (Chinook salmon),71.07083629471688
Cyprinus carpio carpio (Common carp),70.91323318681673
Esox lucius (Northern pike),70.81688332530894
Xenopus tropicalis (Tropical clawed frog),70.8117744610282
Betta splendens (Siamese fighting fish),70.74254136483705
Oryzias sinensis (Chinese medaka),70.70146256668465
Poecilia reticulata (Guppy),70.66144686404046
Notamacropus eugenii (Wallaby),70.21216939358192
Takifugu rubripes (Fugu),70.10725592815146
Anser brachyrhynchus (Pink-footed goose),69.95869418340396
Fundulus heteroclitus (Mummichog),69.81078215479977
Leptobrachium leishanense (Leishan spiny toad),69.68231930050743
Laticauda laticaudata (Blue-ringed sea krait),69.58113213998735
Cervus hanglu yarkandensis (Yarkand deer),69.04874254158759
Erpetoichthys calabaricus (Reedfish),69.04738602071609
Ochotona princeps (Pika),68.5575558632952
Hippocampus comes (Tiger tail seahorse),68.27785471269084
Poecilia formosa (Amazon molly),67.54423757501154
Parus major (Great Tit),67.01280184443635
Oreochromis niloticus (Nile tilapia),66.62748205873288
Callorhinchus milii (Elephant shark),66.42885230206356
Gallus gallus (Chicken),66.42286847549197
Carlito syrichta (Tarsier),65.6365936639825
Gasterosteus aculeatus (Stickleback),63.306852832611135
Cottoperca gobio (Channel bull blenny),62.4248040841544
Dasypus novemcinctus (Armadillo),62.07040399377682
Salvator merianae (Argentine black and white tegu),58.75874470391172
Ficedula albicollis (Collared flycatcher),53.52806414662085
Ciona intestinalis,49.44078928433692
Mandrillus leucophaeus (Drill),48.79725085910652
Callithrix jacchus (White-tufted-ear marmoset),48.01587301587302
Cercocebus atys (Sooty mangabey),47.06467661691542
Balaenoptera musculus (Blue whale),46.318407960199
Tursiops truncatus (Dolphin),43.8717067583047
Marmota marmota marmota (Alpine marmot),42.955326460481096
Ursus americanus (American black bear),42.64870931537598
Oryctolagus cuniculus (Rabbit),41.7910447761194
Coturnix japonica (Japanese quail),40.049751243781095
Procavia capensis (Hyrax),39.25373134328358
Pelodiscus sinensis (Chinese softshell turtle),38.905472636815915
Denticeps clupeoides (Denticle herring),38.35820895522388
Erinaceus europaeus (Hedgehog),37.66169154228856
Pseudonaja textilis (Eastern brown snake),37.56218905472637
Notechis scutatus (Mainland tiger snake),37.46268656716418
Naja naja (Indian cobra),35.4228855721393
Latimeria chalumnae (Coelacanth),35.32338308457712
Anas platyrhynchos (Mallard),33.33333333333333
Panthera tigris altaica (Tiger),33.33333333333333
Struthio camelus australis (African ostrich),32.64604810996563
Vulpes vulpes (Red fox),32.64604810996563
Myotis lucifugus (Microbat),31.958762886597935
Serinus canaria (Common canary),31.285714285714285
FBpp0309584,31.046613896218116
Ailuropoda melanoleuca (Giant panda),29.253731343283583
Anolis carolinensis (Green anole),29.037800687285227
Eptatretus burgeri (Hagfish),27.01492537313433
Crocodylus porosus (Australian saltwater crocodile),26.34593356242841
Ciona savignyi,26.002290950744563
C27A12.5.1,25.085910652920955
FBpp0082343,23.269841269841276
