Variant Name,Species,Similarity,Score,Start,End
ALX1,Myotis lucifugus (Microbat),93.47604485219165,917.0,0,1039
ALX1,Tetraodon nigroviridis (Tetraodon),71.0499490316004,697.0,0,1214
ALX1,Latimeria chalumnae (Coelacanth),81.44750254841998,799.0,0,1163
ALX1,Lepisosteus oculatus (Spotted gar),76.21951219512195,750.0,0,1215
ALX1,Loxodonta africana (Elephant),95.51478083588175,937.0,0,1025
ALX1,Chlorocebus sabaeus (Vervet-AGM),98.67482161060143,968.0,0,994
ALX1,Poecilia formosa (Amazon molly),72.6809378185525,713.0,0,1243
ALX1,Gasterosteus aculeatus (Stickleback),71.25382262996942,699.0,0,1218
ALX1,Otolemur garnettii (Bushbaby),94.18960244648318,924.0,0,1038
ALX1,Dasypus novemcinctus (Armadillo),80.53007135575942,790.0,0,1046
ALX1,Pteropus vampyrus (Megabat),69.92864424057085,686.0,0,1276
ALX1,Ochotona princeps (Pika),94.29153924566769,925.0,0,1037
ALX1,Pelodiscus sinensis (Chinese softshell turtle),86.62613981762918,855.0,0,1113
ALX1,Tupaia belangeri (Tree Shrew),71.96738022426096,706.0,0,1256
ALX1,Tursiops truncatus (Dolphin),95.31090723751274,935.0,0,1027
ALX1,Echinops telfairi (Lesser hedgehog tenrec),89.0927624872579,874.0,0,1049
ALX1,Sorex araneus (Shrew),73.49643221202854,721.0,0,1013
ALX1,Erinaceus europaeus (Hedgehog),62.69113149847095,615.0,0,1026
ALX1,Vicugna pacos (Alpaca),72.78287461773701,714.0,0,1020
ALX1,Procavia capensis (Hyrax),92.96636085626912,912.0,0,1047
ALX1,Choloepus hoffmanni (Sloth),94.08766564729868,923.0,0,1030
ALX1,Notamacropus eugenii (Wallaby),58.307849133537204,572.0,0,1309
ALX1,Cavia porcellus (Guinea Pig),86.23853211009175,846.0,0,1044
ALX1,Ictidomys tridecemlineatus (Squirrel),94.59734964322121,928.0,0,1034
ALX1,Cricetulus griseus (Chinese hamster CriGri),91.74311926605505,900.0,0,1062
ALX1,Chinchilla lanigera (Long-tailed chinchilla),88.58307849133537,869.0,0,1036
ALX1,Microtus ochrogaster (Prairie vole),91.23343527013252,895.0,0,1067
ALX1,Nomascus leucogenys (Gibbon),99.18450560652396,973.0,0,989
ALX1,Macaca nemestrina (Pig-tailed macaque),98.98063200815494,971.0,0,991
ALX1,Cercocebus atys (Sooty mangabey),91.17370892018779,971.0,0,1075
ALX1,Mus caroli (Ryukyu mouse),90.72375127420999,890.0,0,1069
ALX1,Mus pahari (Shrew mouse),90.72375127420999,890.0,0,1069
ALX1,Capra hircus (Goat (black bengal)),94.80122324159022,930.0,0,1032
ALX1,Mus spretus (Algerian mouse),90.82568807339449,891.0,0,1068
ALX1,Panthera tigris altaica (Tiger),93.98572884811416,922.0,0,1040
ALX1,Eptatretus burgeri (Hagfish),56.574923547400616,555.0,0,1164
ALX1,Danio rerio (Zebrafish),73.29255861365954,719.0,0,1225
ALX1,Stegastes partitus (Bicolor damselfish),73.08868501529052,717.0,0,1212
ALX1,Oryzias latipes (Japanese medaka HdrR),73.90417940876657,725.0,0,1237
ALX1,Fundulus heteroclitus (Mummichog),73.19062181447502,718.0,0,1211
ALX1,Amphiprion percula (Orange clownfish),73.70030581039755,723.0,0,1224
ALX1,Amphilophus citrinellus (Midas cichlid),72.88481141692151,715.0,0,1226
ALX1,Maylandia zebra (Zebra mbuna),73.19062181447502,718.0,0,1223
ALX1,Astatotilapia calliptera (Eastern happy),73.19062181447502,718.0,0,1223
ALX1,Oryzias melastigma (Indian medaka),73.90417940876657,725.0,0,1231
ALX1,Amphiprion ocellaris (Clown anemonefish),73.70030581039755,723.0,0,1224
ALX1,Cyprinodon variegatus (Sheepshead minnow),73.29255861365954,719.0,0,1228
ALX1,Neolamprologus brichardi (Lyretail cichlid),73.19062181447502,718.0,0,1223
ALX1,Xiphophorus maculatus (Platyfish),73.08868501529052,717.0,0,1239
ALX1,Pundamilia nyererei (Makobe Island cichlid),73.08868501529052,717.0,0,1224
ALX1,Vulpes vulpes (Red fox),92.25280326197758,905.0,0,1057
ALX1,Sphenodon punctatus (Tuatara),85.91691995947315,848.0,0,1120
ALX1,Notechis scutatus (Mainland tiger snake),80.93781855249745,794.0,0,1162
ALX1,Neovison vison (American mink),95.00509683995922,932.0,0,1030
ALX1,Anser brachyrhynchus (Pink-footed goose),86.52482269503547,854.0,0,1114
ALX1,Coturnix japonica (Japanese quail),86.32218844984803,852.0,0,1116
ALX1,Phascolarctos cinereus (Koala),88.34853090172238,872.0,0,1096
ALX1,Bos mutus (Wild yak),95.10703363914374,933.0,0,1029
ALX1,Chelonoidis abingdonii (Abingdon island giant tortoise),87.46177370030581,858.0,0,1104
ALX1,Salvator merianae (Argentine black and white tegu),81.44750254841998,799.0,0,1163
ALX1,Bos taurus (Cow),85.93272171253822,843.0,0,1026
ALX1,Parus major (Great Tit),86.42350557244174,853.0,0,1115
ALX1,Crocodylus porosus (Australian saltwater crocodile),88.07339449541286,864.0,0,1095
ALX1,Peromyscus maniculatus bairdii (Northern American deer mouse),89.90825688073394,882.0,0,1080
ALX1,Callorhinchus milii (Elephant shark),74.61773700305811,732.0,0,1218
ALX1,Electrophorus electricus (Electric eel),71.90332326283988,714.0,0,1260
ALX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),94.90316004077471,931.0,0,1031
ALX1,Taeniopygia guttata (Zebra finch),86.34046890927624,847.0,0,1115
ALX1,Aquila chrysaetos chrysaetos (Golden eagle),87.05402650356778,854.0,0,1108
ALX1,Strigops habroptila (Kakapo),86.01823708206688,849.0,0,1119
ALX1,Nannospalax galili (Upper Galilee mountains blind mole rat),92.15086646279306,904.0,0,1058
ALX1,Chrysemys picta bellii (Painted turtle),87.33535967578521,862.0,0,1106
ALX1,Pygocentrus nattereri (Red-bellied piranha),72.579001019368,712.0,0,1226
ALX1,Anas platyrhynchos (Mallard),86.22087132725432,851.0,0,1117
ALX1,Poecilia latipinna (Sailfin molly),72.27319062181448,709.0,0,1241
ALX1,Poecilia reticulata (Guppy),72.579001019368,712.0,0,1241
ALX1,Labrus bergylta (Ballan wrasse),74.31192660550458,729.0,0,1215
ALX1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),98.1651376146789,963.0,0,999
ALX1,Serinus canaria (Common canary),85.81560283687944,847.0,0,1121
ALX1,Hippocampus comes (Tiger tail seahorse),62.79306829765545,616.0,0,1148
ALX1,Haplochromis burtoni (Burton's mouthbrooder),73.08868501529052,717.0,0,1224
ALX1,Propithecus coquereli (Coquerel's sifaka),96.83995922528032,950.0,0,1012
ALX1,Astyanax mexicanus (Mexican tetra),72.6809378185525,713.0,0,1222
ALX1,Aotus nancymaae (Ma's night monkey),98.26707441386341,964.0,0,998
ALX1,Gorilla gorilla gorilla (Gorilla),99.79612640163099,979.0,0,983
ALX1,Prolemur simus (Greater bamboo lemur),95.92252803261978,941.0,0,1021
ALX1,Seriola dumerili (Greater amberjack),74.61773700305811,732.0,0,1212
ALX1,Jaculus jaculus (Lesser Egyptian jerboa),93.47604485219165,917.0,0,1045
ALX1,Seriola lalandi dorsalis (Yellowtail amberjack),74.5158002038736,731.0,0,1213
ALX1,Ictalurus punctatus (Channel catfish),73.15096251266465,722.0,0,1246
ALX1,Ursus maritimus (Polar bear),95.82059123343527,940.0,0,1022
ALX1,Marmota marmota marmota (Alpine marmot),94.18960244648318,924.0,0,1038
ALX1,Mesocricetus auratus (Golden Hamster),91.53924566768603,898.0,0,1064
ALX1,Rhinopithecus bieti (Black snub-nosed monkey),98.57288481141691,967.0,0,995
ALX1,Paramormyrops kingsleyae (Paramormyrops kingsleyae),74.10805300713558,727.0,0,1232
ALX1,Bison bison bison (American bison),95.00509683995922,932.0,0,1030
ALX1,Microcebus murinus (Mouse Lemur),96.3302752293578,945.0,0,1017
ALX1,Pan troglodytes (Chimpanzee),99.89806320081549,980.0,0,982
ALX1,Hucho hucho (Huchen),74.64646464646465,739.0,0,1232
ALX1,Geospiza fortis (Medium ground-finch),85.91691995947315,848.0,0,1120
ALX1,Urocitellus parryii (Arctic ground squirrel),82.18085106382979,927.0,0,1182
ALX1,Hucho hucho (Huchen),75.12742099898063,737.0,0,1225
ALX1,Cynoglossus semilaevis (Tongue sole),73.04964539007092,721.0,0,1247
ALX1,Dipodomys ordii (Kangaroo rat),92.25280326197758,905.0,0,1057
ALX1,Panthera pardus (Leopard),93.98572884811416,922.0,0,1040
ALX1,Pan paniscus (Bonobo),99.89806320081549,980.0,0,982
ALX1,Rhinopithecus roxellana (Golden snub-nosed monkey),98.67482161060143,968.0,0,994
ALX1,Mandrillus leucophaeus (Drill),99.18450560652396,973.0,0,989
ALX1,Kryptolebias marmoratus (Mangrove rivulus),70.9480122324159,696.0,0,1224
ALX1,Acanthochromis polyacanthus (Spiny chromis),73.90417940876657,725.0,0,1222
ALX1,Octodon degus (Degu),92.8644240570846,911.0,0,1051
ALX1,Lates calcarifer (Barramundi perch),71.35575942915392,700.0,0,1193
ALX1,Carlito syrichta (Tarsier),95.20897043832824,934.0,0,1028
ALX1,Sinocyclocheilus grahami (Golden-line barbel),63.91437308868502,627.0,0,1161
ALX1,Canis lupus familiaris (Dog - Boxer),78.64583333333334,906.0,0,1227
ALX1,Cervus hanglu yarkandensis (Yarkand deer),94.08766564729868,923.0,0,1039
ALX1,Sander lucioperca (Pike-perch),71.0499490316004,697.0,0,1196
ALX1,Nothobranchius furzeri (Turquoise killifish),17.888402625820568,981.0,0,5484
ALX1,Balaenoptera musculus (Blue whale),95.52845528455285,940.0,0,1025
ALX1,Monodon monoceros (Narwhal),90.51808406647116,926.0,0,1078
ALX1,Leptobrachium leishanense (Leishan spiny toad),80.24316109422493,792.0,0,1176
ALX1,Ovis aries (Sheep),89.37621832358674,917.0,0,1090
ALX1,Naja naja (Indian cobra),80.73394495412845,792.0,0,1164
ALX1,Oncorhynchus kisutch (Coho salmon),74.24242424242425,735.0,0,1236
ALX1,Phocoena sinus (Vaquita),95.41284403669725,936.0,0,1026
ALX1,Sciurus vulgaris (Eurasian red squirrel),95.00509683995922,932.0,0,1030
ALX1,Oncorhynchus kisutch (Coho salmon),75.53516819571865,741.0,0,1215
ALX1,Pseudonaja textilis (Eastern brown snake),81.03975535168195,795.0,0,1161
ALX1,Erpetoichthys calabaricus (Reedfish),75.94291539245668,745.0,0,1211
ALX1,Terrapene carolina triunguis (Three-toed box turtle),87.86952089704383,862.0,0,1100
ALX1,Moschus moschiferus (Siberian musk deer),95.00509683995922,932.0,0,1030
ALX1,Cottoperca gobio (Channel bull blenny),74.10805300713558,727.0,0,1220
ALX1,Bos grunniens (Domestic yak),90.02932551319648,921.0,0,1083
ALX1,Rhinolophus ferrumequinum (Greater horseshoe bat),96.43221202854231,946.0,0,1016
ALX1,Takifugu rubripes (Fugu),70.77077077077078,707.0,0,1273
ALX1,Oryctolagus cuniculus (Rabbit),92.96636085626912,912.0,0,1050
ALX1,Sparus aurata (Gilthead seabream),74.4138634046891,730.0,0,1214
ALX1,Larimichthys crocea (Large yellow croaker),72.93532338308458,733.0,0,1253
ALX1,Vombatus ursinus (Common wombat),88.78695208970439,871.0,0,1091
ALX1,Struthio camelus australis (African ostrich),87.03140830800406,859.0,0,1109
ALX1,Camelus dromedarius (Arabian camel),94.80122324159022,930.0,0,1032
ALX1,Salmo trutta (Brown trout),75.43323139653415,740.0,0,1222
ALX1,Scleropages formosus two (Asian bonytongue),74.14141414141415,734.0,0,1237
ALX1,Oryzias sinensis (Chinese medaka),73.49397590361446,732.0,0,1245
ALX1,Panthera leo (Lion),93.98572884811416,922.0,0,1040
ALX1,Oreochromis niloticus (Nile tilapia),73.59836901121305,722.0,0,1219
ALX1,Salmo trutta (Brown trout),74.44444444444444,737.0,0,1234
ALX1,Ornithorhynchus anatinus (Platypus),88.65248226950354,875.0,0,1093
ALX1,Denticeps clupeoides (Denticle herring),71.0499490316004,697.0,0,1259
ALX1,Scleropages formosus (Asian bonytongue),73.21248741188319,727.0,0,1247
ALX1,Physeter catodon (Sperm whale),95.92252803261978,941.0,0,1021
ALX1,Betta splendens (Siamese fighting fish),72.6809378185525,713.0,0,1228
ALX1,Scleropages formosus two (Asian bonytongue),70.772238514174,724.0,0,1280
ALX1,Catagonus wagneri (Chacoan peccary),95.10703363914374,933.0,0,1029
ALX1,Gopherus evgoodei (Goodes thornscrub tortoise),87.2579001019368,856.0,0,1106
ALX1,Myripristis murdjan (Pinecone soldierfish),73.08868501529052,717.0,0,1209
ALX1,Oryzias javanicus (Javanese ricefish),73.13131313131314,724.0,0,1247
ALX1,Monodelphis domestica (Opossum),88.44984802431611,873.0,0,1095
ALX1,Laticauda laticaudata (Blue-ringed sea krait),80.83588175331295,793.0,0,1163
ALX1,Podarcis muralis (Common wall lizard),82.56880733944955,810.0,0,1149
ALX1,Delphinapterus leucas (Beluga whale),95.71865443425077,939.0,0,1023
ALX1,Oncorhynchus tshawytscha (Chinook salmon),74.44444444444444,737.0,0,1234
ALX1,Carassius auratus (Goldfish),71.86544342507645,705.0,0,1212
ALX1,Esox lucius (Northern pike),73.86018237082067,729.0,0,1239
ALX1,Oncorhynchus tshawytscha (Chinook salmon),75.53516819571865,741.0,0,1221
ALX1,Carassius auratus (Goldfish),72.88481141692151,715.0,0,1226
ALX1,Carassius auratus (Goldfish),72.78287461773701,714.0,0,1227
ALX1,Mastacembelus armatus (Zig-zag eel),71.55963302752293,702.0,0,1191
ALX1,Anabas testudineus (Climbing perch),72.37512742099898,710.0,0,1183
ALX1,Gadus morhua (Atlantic cod),71.35575942915392,700.0,0,1253
ALX1,Felis catus (Cat),94.18960244648318,924.0,0,1038
ALX1,Ailuropoda melanoleuca (Giant panda),81.67539267015707,936.0,0,1191
ALX1,Macaca fascicularis (Crab-eating macaque),99.18450560652396,973.0,0,989
ALX1,Meleagris gallopavo (Turkey),86.01823708206688,849.0,0,1119
ALX1,Ficedula albicollis (Collared flycatcher),86.22087132725432,851.0,0,1117
ALX1,Scophthalmus maximus (Turbot),70.64220183486239,693.0,0,1221
ALX1,Anolis carolinensis (Green anole),80.32128514056225,800.0,0,1177
ALX1,Canis lupus familiaris (Dog - Boxer),78.55902777777779,905.0,0,1228
ALX1,Papio anubis (Olive baboon),81.28654970760235,973.0,0,1205
ALX1,Callithrix jacchus (White-tufted-ear marmoset),98.06320081549438,962.0,0,1000
ALX1,Oncorhynchus mykiss (Rainbow trout),74.44444444444444,737.0,0,1234
