Variant Name,Species,Similarity,Score,Start,End
GBX1,Chlorocebus sabaeus (Vervet-AGM),81.68582375478928,1066.0,0,1331
GBX1,Otolemur garnettii (Bushbaby),80.42959427207637,1011.0,0,1338
GBX1,Pteropus vampyrus (Megabat),91.57509157509158,1000.0,0,1172
GBX1,Nomascus leucogenys (Gibbon),88.91941391941391,971.0,0,1105
GBX1,Macaca nemestrina (Pig-tailed macaque),96.99453551912568,1065.0,0,1125
GBX1,Cercocebus atys (Sooty mangabey),97.25274725274726,1062.0,0,1119
GBX1,Vulpes vulpes (Red fox),81.68498168498168,892.0,0,1142
GBX1,Neovison vison (American mink),87.54578754578755,956.0,0,1216
GBX1,Phascolarctos cinereus (Koala),81.95970695970696,895.0,0,1277
GBX1,Bos taurus (Cow),80.67158067158067,985.0,0,1328
GBX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),89.34426229508196,981.0,0,1209
GBX1,Jaculus jaculus (Lesser Egyptian jerboa),83.37617823479006,973.0,0,1286
GBX1,Pan troglodytes (Chimpanzee),99.81684981684981,1090.0,0,1094
GBX1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),84.93265993265993,1009.0,0,1271
GBX1,Nannospalax galili (Upper Galilee mountains blind mole rat),84.84848484848484,952.0,0,1262
GBX1,Prolemur simus (Greater bamboo lemur),93.4981684981685,1021.0,0,1148
GBX1,Propithecus coquereli (Coquerel's sifaka),94.23076923076923,1029.0,0,1143
GBX1,Aotus nancymaae (Ma's night monkey),95.6043956043956,1044.0,0,1140
GBX1,Gorilla gorilla gorilla (Gorilla),82.6007326007326,902.0,0,1120
GBX1,Ursus americanus (American black bear),83.69829683698296,1032.0,0,1293
GBX1,Microcebus murinus (Mouse Lemur),92.76556776556777,1013.0,0,1153
GBX1,Panthera pardus (Leopard),93.77289377289377,1024.0,0,1154
GBX1,Urocitellus parryii (Arctic ground squirrel),91.11721611721612,995.0,0,1180
GBX1,Pan paniscus (Bonobo),93.46049046321527,1029.0,0,1164
GBX1,Canis lupus familiaris (Dog - Boxer),93.31501831501832,1019.0,0,1156
GBX1,Mandrillus leucophaeus (Drill),82.87545787545788,905.0,0,1183
GBX1,Monodon monoceros (Narwhal),91.16575591985429,1001.0,0,1189
GBX1,Balaenoptera musculus (Blue whale),91.57706093189965,1022.0,0,1186
GBX1,Ovis aries (Sheep),89.65201465201466,979.0,0,1202
GBX1,Phocoena sinus (Vaquita),91.57509157509158,1000.0,0,1184
GBX1,Sciurus vulgaris (Eurasian red squirrel),90.65934065934066,990.0,0,1182
GBX1,Bos grunniens (Domestic yak),89.65201465201466,979.0,0,1193
GBX1,Moschus moschiferus (Siberian musk deer),89.74358974358975,980.0,0,1198
GBX1,Vombatus ursinus (Common wombat),81.95970695970696,895.0,0,1271
GBX1,Rhinolophus ferrumequinum (Greater horseshoe bat),90.75091575091575,991.0,0,1181
GBX1,Camelus dromedarius (Arabian camel),91.57509157509158,1000.0,0,1175
GBX1,Panthera leo (Lion),93.68131868131869,1023.0,0,1155
GBX1,Macaca mulatta (Macaque),97.43589743589743,1064.0,0,1117
GBX1,Catagonus wagneri (Chacoan peccary),90.03623188405797,994.0,0,1202
GBX1,Monodelphis domestica (Opossum),83.24175824175825,909.0,0,1260
GBX1,Delphinapterus leucas (Beluga whale),81.07890499194848,1007.0,0,1327
GBX1,Ailuropoda melanoleuca (Giant panda),89.52380952380953,1034.0,0,1213
GBX1,Felis catus (Cat),94.32234432234432,1030.0,0,1151
GBX1,Macaca fascicularis (Crab-eating macaque),97.06959706959707,1060.0,0,1118
GBX1,Papio anubis (Olive baboon),97.34432234432234,1063.0,0,1118
