Species,Similarity
Salmo trutta (Brown trout),1610.8048737521062
Oncorhynchus tshawytscha (Chinook salmon),1609.788959220249
Carassius auratus (Goldfish),1609.4882956005074
Oncorhynchus kisutch (Coho salmon),1554.4147915458339
Hucho hucho (Huchen),1535.9265692914814
Salmo salar (Atlantic salmon),1526.5054268316048
Sinocyclocheilus grahami (Golden-line barbel),1516.1408059243681
Cyprinus carpio carpio (Common carp),1475.3711810481364
Oncorhynchus mykiss (Rainbow trout),1405.7604147224292
Scleropages formosus two (Asian bonytongue),1176.0830842986675
Canis lupus familiaris (Dog - Boxer),1059.3266349023957
Lates calcarifer (Barramundi perch),976.4087591522399
Denticeps clupeoides (Denticle herring),931.2419257478804
Astyanax mexicanus (Mexican tetra),817.8026510567399
Scleropages formosus (Asian bonytongue),813.7251014710998
Esox lucius (Northern pike),789.0555686957023
Takifugu rubripes (Fugu),770.7579181666365
Pygocentrus nattereri (Red-bellied piranha),761.2411890572223
Amphiprion percula (Orange clownfish),759.3701986391377
Acanthochromis polyacanthus (Spiny chromis),757.8045378046221
Gadus morhua (Atlantic cod),757.7703302588769
Stegastes partitus (Bicolor damselfish),757.2943656613531
Labrus bergylta (Ballan wrasse),755.9120067699313
Betta splendens (Siamese fighting fish),755.0100072562252
Larimichthys crocea (Large yellow croaker),754.7945772125727
Haplochromis burtoni (Burton's mouthbrooder),754.2735076135729
Paramormyrops kingsleyae (Paramormyrops kingsleyae),754.1074605048162
Sparus aurata (Gilthead seabream),753.0716367274165
Seriola lalandi dorsalis (Yellowtail amberjack),752.8975863763475
Seriola dumerili (Greater amberjack),750.3666970491591
Sander lucioperca (Pike-perch),748.8823147162225
Myripristis murdjan (Pinecone soldierfish),747.8119087904489
Gasterosteus aculeatus (Stickleback),747.388540604879
Oreochromis niloticus (Nile tilapia),742.2852157047024
Electrophorus electricus (Electric eel),741.4271725593437
Danio rerio (Zebrafish),740.1601715646281
Astatotilapia calliptera (Eastern happy),731.188652102511
Mastacembelus armatus (Zig-zag eel),729.9367512197122
Maylandia zebra (Zebra mbuna),718.4255963873343
Kryptolebias marmoratus (Mangrove rivulus),705.4857537701795
Amphiprion ocellaris (Clown anemonefish),705.1775023320797
Fundulus heteroclitus (Mummichog),699.7022240597076
Cyclopterus lumpus (Lumpfish),699.6246691475583
Anabas testudineus (Climbing perch),694.8355608458564
Tetraodon nigroviridis (Tetraodon),694.4700470745564
Cyprinodon variegatus (Sheepshead minnow),692.5895662509772
Poecilia reticulata (Guppy),689.3634339928311
Hippocampus comes (Tiger tail seahorse),688.3944322285697
Dicentrarchus labrax (European seabass),687.8583440371508
Cynoglossus semilaevis (Tongue sole),686.3696926769057
