Species,Similarity
Canis lupus familiaris (Dog - Boxer),180.34991324465008
Pan troglodytes (Chimpanzee),99.68671679197996
Pongo abelii (Sumatran orangutan),98.68421052631578
Cercocebus atys (Sooty mangabey),96.36591478696742
Cebus imitator (Panamanian white-faced capuchin),94.67418546365914
Propithecus coquereli (Coquerel's sifaka),92.32209737827716
Microcebus murinus (Mouse Lemur),92.27414330218068
Prolemur simus (Greater bamboo lemur),91.88514357053684
Sus scrofa (Pig - Hampshire),91.6354556803995
Balaenoptera musculus (Blue whale),91.6044776119403
Delphinapterus leucas (Beluga whale),91.55803848541278
Catagonus wagneri (Chacoan peccary),91.35338345864662
Phocoena sinus (Vaquita),91.12352576039729
Physeter catodon (Sperm whale),91.01610904584882
Panthera leo (Lion),91.01610904584882
Equus caballus (Horse),90.97744360902256
Rhinolophus ferrumequinum (Greater horseshoe bat),90.97744360902256
Ovis aries (Sheep),90.97744360902256
Bos indicus x Bos taurus (Hybrid - Bos Taurus),90.72681704260653
Bos grunniens (Domestic yak),90.6015037593985
Otolemur garnettii (Bushbaby),90.43151969981238
Urocitellus parryii (Arctic ground squirrel),90.31657355679702
Capra hircus (Goat (black bengal)),90.28822055137844
Pteropus vampyrus (Megabat),90.25450031036624
Sciurus vulgaris (Eurasian red squirrel),90.25450031036624
Felis catus (Cat),89.78593272171254
Panthera pardus (Leopard),89.72431077694235
Tursiops truncatus (Dolphin),89.38271604938272
Macaca nemestrina (Pig-tailed macaque),89.09774436090225
Nomascus leucogenys (Gibbon),88.84711779448622
Peromyscus maniculatus bairdii (Northern American deer mouse),88.28320802005013
Cricetulus griseus (Chinese hamster CriGri),87.90726817042606
Rattus norvegicus (Rat),87.78195488721805
Mus musculus (Mouse),87.59398496240601
Mus caroli (Ryukyu mouse),87.40601503759399
Microtus ochrogaster (Prairie vole),87.34335839598998
Mus spretus (Algerian mouse),87.34335839598998
Mesocricetus auratus (Golden Hamster),87.28070175438597
Mus pahari (Shrew mouse),87.21804511278195
Nannospalax galili (Upper Galilee mountains blind mole rat),87.21804511278195
Equus asinus (Donkey),86.65413533834587
Heterocephalus glaber (Naked mole-rat),86.65413533834587
Octodon degus (Degu),86.55616942909761
Callithrix jacchus (White-tufted-ear marmoset),82.49158249158249
Jaculus jaculus (Lesser Egyptian jerboa),81.203007518797
