Species,Similarity
Canis lupus familiaris (Dog - Boxer),324.08285959502666
Oncorhynchus kisutch (Coho salmon),210.1728506560297
Oncorhynchus mykiss (Rainbow trout),209.10539123454004
Salmo trutta (Brown trout),207.68169388625475
Salmo salar (Atlantic salmon),207.35806929078547
Hucho hucho (Huchen),206.16015654399035
Oncorhynchus tshawytscha (Chinook salmon),204.49896412421225
Cyprinus carpio carpio (Common carp),202.50746343543813
Pan troglodytes (Chimpanzee),198.47971701663278
Pongo abelii (Sumatran orangutan),195.92458794310227
Carassius auratus (Goldfish),195.71134693058377
Poecilia latipinna (Sailfin molly),194.6012393065904
Chlorocebus sabaeus (Vervet-AGM),194.42245456808564
Gorilla gorilla gorilla (Gorilla),191.78144050575753
Macaca mulatta (Macaque),191.3480209111277
Papio anubis (Olive baboon),191.2870301219816
Cercocebus atys (Sooty mangabey),191.02439631565846
Macaca nemestrina (Pig-tailed macaque),190.6397809310431
Cebus imitator (Panamanian white-faced capuchin),189.71425704322522
Aotus nancymaae (Ma's night monkey),189.06700785228668
Callithrix jacchus (White-tufted-ear marmoset),188.5502119866536
Prolemur simus (Greater bamboo lemur),185.89724291914402
Equus asinus (Donkey),184.15242969318382
Balaenoptera musculus (Blue whale),184.1185620029603
Physeter catodon (Sperm whale),183.66573844108277
Neovison vison (American mink),183.5365394746745
Panthera pardus (Leopard),183.14894257544967
Panthera leo (Lion),183.14894257544967
Phocoena sinus (Vaquita),182.98713027771504
Monodon monoceros (Narwhal),182.92190361506232
Felis catus (Cat),182.8579313113068
Delphinapterus leucas (Beluga whale),182.5300528030558
Equus caballus (Horse),182.0646117295517
Pteropus vampyrus (Megabat),180.85233868853686
Rhinolophus ferrumequinum (Greater horseshoe bat),180.59381350191916
Ovis aries (Sheep),180.04314994606256
Catagonus wagneri (Chacoan peccary),179.2757368085983
Moschus moschiferus (Siberian musk deer),179.2654474298186
Bos indicus x Bos taurus (Hybrid - Bos Taurus),179.23408845738942
Heterocephalus glaber (Naked mole-rat),178.41921832213094
Sciurus vulgaris (Eurasian red squirrel),177.94249115201393
Dipodomys ordii (Kangaroo rat),177.89703836215463
Bos taurus (Cow),176.84319833852544
Nannospalax galili (Upper Galilee mountains blind mole rat),175.54878201751086
Jaculus jaculus (Lesser Egyptian jerboa),175.21915956800456
Urocitellus parryii (Arctic ground squirrel),173.58670361406342
Cricetulus griseus (Chinese hamster CriGri),173.21032135968264
Rhinopithecus roxellana (Golden snub-nosed monkey),172.63267740011923
Ictidomys tridecemlineatus (Squirrel),172.16530637798948
