Variant Name,Species,Similarity,Score,Start,End
ADNP2,Pteropus vampyrus (Megabat),81.2720848056537,2760.0,0,3999
ADNP2,Myotis lucifugus (Microbat),84.35786435786436,2923.0,0,3938
ADNP2,Loxodonta africana (Elephant),81.13262910798123,2765.0,0,4039
ADNP2,Chlorocebus sabaeus (Vervet-AGM),96.28975265017668,3270.0,0,3504
ADNP2,Dasypus novemcinctus (Armadillo),82.44558991981673,2879.0,0,4009
ADNP2,Otolemur garnettii (Bushbaby),85.15901060070671,2892.0,0,3840
ADNP2,Sorex araneus (Shrew),80.44758539458186,2732.0,0,3877
ADNP2,Ochotona princeps (Pika),83.00942285041225,2819.0,0,3949
ADNP2,Choloepus hoffmanni (Sloth),81.83156654888104,2779.0,0,4001
ADNP2,Chinchilla lanigera (Long-tailed chinchilla),83.9677047289504,2912.0,0,3952
ADNP2,Cavia porcellus (Guinea Pig),83.07336799537839,2876.0,0,3982
ADNP2,Ictidomys tridecemlineatus (Squirrel),81.1869778161913,2818.0,0,4049
ADNP2,Cricetulus griseus (Chinese hamster CriGri),81.20844174616941,2809.0,0,4046
ADNP2,Macaca nemestrina (Pig-tailed macaque),95.92494869539725,3272.0,0,3535
ADNP2,Cercocebus atys (Sooty mangabey),96.49587750294464,3277.0,0,3497
ADNP2,Nomascus leucogenys (Gibbon),97.6148409893993,3315.0,0,3459
ADNP2,Mus caroli (Ryukyu mouse),80.14306151645208,2801.0,0,4090
ADNP2,Capra hircus (Goat (black bengal)),84.55497382198953,2907.0,0,3927
ADNP2,Panthera tigris altaica (Tiger),85.49222797927462,2970.0,0,3900
ADNP2,Vulpes vulpes (Red fox),86.02055800293685,2929.0,0,3872
ADNP2,Neovison vison (American mink),82.0645905420992,2846.0,0,4018
ADNP2,Bos mutus (Wild yak),84.53216374269006,2891.0,0,3925
ADNP2,Bos taurus (Cow),84.05671296296296,2905.0,0,3947
ADNP2,Peromyscus maniculatus bairdii (Northern American deer mouse),80.94002306805075,2807.0,0,4057
ADNP2,Bos indicus x Bos taurus (Hybrid - Bos Taurus),84.05671296296296,2905.0,0,3947
ADNP2,Aotus nancymaae (Ma's night monkey),94.34628975265018,3204.0,0,3570
ADNP2,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),95.22968197879858,3234.0,0,3540
ADNP2,Jaculus jaculus (Lesser Egyptian jerboa),81.67239404352806,2852.0,0,4036
ADNP2,Gorilla gorilla gorilla (Gorilla),95.93639575971731,3258.0,0,3411
ADNP2,Prolemur simus (Greater bamboo lemur),85.36513545347468,2899.0,0,3830
ADNP2,Propithecus coquereli (Coquerel's sifaka),84.68786808009423,2876.0,0,3775
ADNP2,Nannospalax galili (Upper Galilee mountains blind mole rat),82.66094420600858,2889.0,0,4002
ADNP2,Mesocricetus auratus (Golden Hamster),80.65371024734982,2739.0,0,4041
ADNP2,Bison bison bison (American bison),85.30624263839812,2897.0,0,3877
ADNP2,Rhinopithecus roxellana (Golden snub-nosed monkey),95.7931638913234,3279.0,0,3540
ADNP2,Pan troglodytes (Chimpanzee),99.14605418138987,3367.0,0,3407
ADNP2,Ursus americanus (American black bear),86.1646234676007,2952.0,0,3870
ADNP2,Marmota marmota marmota (Alpine marmot),81.41745894554884,2826.0,0,4041
ADNP2,Microcebus murinus (Mouse Lemur),86.42520612485278,2935.0,0,3794
ADNP2,Rhinopithecus bieti (Black snub-nosed monkey),96.5547703180212,3279.0,0,3510
ADNP2,Mandrillus leucophaeus (Drill),96.28975265017668,3270.0,0,3498
ADNP2,Dipodomys ordii (Kangaroo rat),80.9985315712188,2758.0,0,4043
ADNP2,Octodon degus (Degu),82.80034572169403,2874.0,0,3993
ADNP2,Pan paniscus (Bonobo),99.17550058892816,3368.0,0,3406
ADNP2,Carlito syrichta (Tarsier),89.811542991755,3050.0,0,3721
ADNP2,Canis lupus familiaris (Dog - Boxer),85.98351001177856,2920.0,0,3851
ADNP2,Monodon monoceros (Narwhal),80.6415620641562,2891.0,0,4090
ADNP2,Cervus hanglu yarkandensis (Yarkand deer),85.60070671378092,2907.0,0,3867
