Variant Name,Species,Similarity,Score,Start,End
ZEB1,Myotis lucifugus (Microbat),91.53345174659562,3092.0,0,3571
ZEB1,Lepisosteus oculatus (Spotted gar),75.74155653450808,2579.0,0,4204
ZEB1,Loxodonta africana (Elephant),82.00118413262285,2770.0,0,3530
ZEB1,Latimeria chalumnae (Coelacanth),78.30076968620486,2645.0,0,3964
ZEB1,Mustela putorius furo (Ferret),91.94789816459443,3106.0,0,3602
ZEB1,Pteropus vampyrus (Megabat),93.1320307874482,3146.0,0,3598
ZEB1,Otolemur garnettii (Bushbaby),93.19123741859087,3148.0,0,3605
ZEB1,Chlorocebus sabaeus (Vervet-AGM),98.69745411486086,3334.0,0,3419
ZEB1,Tursiops truncatus (Dolphin),79.86974541148608,2698.0,0,4043
ZEB1,Dasypus novemcinctus (Armadillo),90.54373522458629,3064.0,0,3698
ZEB1,Pelodiscus sinensis (Chinese softshell turtle),85.40556542332742,2885.0,0,3793
ZEB1,Ochotona princeps (Pika),75.22202486678508,2541.0,0,3747
ZEB1,Sorex araneus (Shrew),90.1124925991711,3044.0,0,3640
ZEB1,Procavia capensis (Hyrax),90.17169923031379,3046.0,0,3701
ZEB1,Cavia porcellus (Guinea Pig),91.74800354924578,3102.0,0,3657
ZEB1,Chinchilla lanigera (Long-tailed chinchilla),89.3724097098875,3019.0,0,3689
ZEB1,Ictidomys tridecemlineatus (Squirrel),94.02013025458852,3176.0,0,3574
ZEB1,Cricetulus griseus (Chinese hamster CriGri),86.97454114860864,2938.0,0,3734
ZEB1,Microtus ochrogaster (Prairie vole),86.41207815275311,2919.0,0,3777
ZEB1,Macaca nemestrina (Pig-tailed macaque),97.96099290780141,3315.0,0,3447
ZEB1,Cercocebus atys (Sooty mangabey),98.07919621749409,3319.0,0,3443
ZEB1,Nomascus leucogenys (Gibbon),97.45411486086442,3292.0,0,3404
ZEB1,Mus caroli (Ryukyu mouse),86.32326820603907,2916.0,0,3804
ZEB1,Mus spretus (Algerian mouse),86.11604499703967,2909.0,0,3805
ZEB1,Mus pahari (Shrew mouse),86.23445825932504,2913.0,0,3798
ZEB1,Capra hircus (Goat (black bengal)),86.5839243498818,2930.0,0,3832
ZEB1,Panthera tigris altaica (Tiger),92.89520426287744,3138.0,0,3567
ZEB1,Danio rerio (Zebrafish),70.42628774422735,2379.0,0,4236
ZEB1,Amphilophus citrinellus (Midas cichlid),70.75192421551215,2390.0,0,4264
ZEB1,Astatotilapia calliptera (Eastern happy),70.54470100651274,2383.0,0,4304
ZEB1,Stegastes partitus (Bicolor damselfish),71.43280047365305,2413.0,0,4328
ZEB1,Amphiprion ocellaris (Clown anemonefish),70.39668442865602,2378.0,0,4291
ZEB1,Amphiprion percula (Orange clownfish),71.19597394908229,2405.0,0,4270
ZEB1,Pundamilia nyererei (Makobe Island cichlid),70.60390763765541,2385.0,0,4302
ZEB1,Neolamprologus brichardi (Lyretail cichlid),70.13025458851392,2369.0,0,4330
ZEB1,Sphenodon punctatus (Tuatara),87.03374777975134,2940.0,0,3813
ZEB1,Vulpes vulpes (Red fox),94.13854351687388,3180.0,0,3573
ZEB1,Crocodylus porosus (Australian saltwater crocodile),85.16873889875666,2877.0,0,3813
ZEB1,Notechis scutatus (Mainland tiger snake),82.65245707519242,2792.0,0,3886
ZEB1,Anser brachyrhynchus (Pink-footed goose),84.13262285375961,2842.0,0,3818
ZEB1,Phascolarctos cinereus (Koala),86.11604499703967,2909.0,0,3838
ZEB1,Chelonoidis abingdonii (Abingdon island giant tortoise),86.23445825932504,2913.0,0,3783
ZEB1,Neovison vison (American mink),91.79988158673773,3101.0,0,3604
ZEB1,Parus major (Great Tit),82.445233866193,2785.0,0,3833
ZEB1,Mus spicilegus (Steppe mouse),83.70754173862981,2908.0,0,3944
ZEB1,Salvator merianae (Argentine black and white tegu),84.36944937833037,2850.0,0,3876
ZEB1,Coturnix japonica (Japanese quail),84.9911190053286,2871.0,0,3849
ZEB1,Peromyscus maniculatus bairdii (Northern American deer mouse),86.17525162818237,2911.0,0,3767
ZEB1,Bos taurus (Cow),86.70212765957447,2934.0,0,3828
ZEB1,Electrophorus electricus (Electric eel),70.63351095322676,2386.0,0,4370
ZEB1,Callorhinchus milii (Elephant shark),72.83008199038733,2576.0,0,4339
ZEB1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),82.6136042901496,2927.0,0,3994
ZEB1,Aquila chrysaetos chrysaetos (Golden eagle),85.84961515689757,2900.0,0,3811
ZEB1,Taeniopygia guttata (Zebra finch),84.51746595618708,2855.0,0,3868
ZEB1,Strigops habroptila (Kakapo),85.7312018946122,2896.0,0,3812
ZEB1,Pygocentrus nattereri (Red-bellied piranha),70.98875074008288,2398.0,0,4319
ZEB1,Astyanax mexicanus (Mexican tetra),70.9295441089402,2396.0,0,4336
ZEB1,Serinus canaria (Common canary),81.94197750148017,2768.0,0,3844
ZEB1,Anas platyrhynchos (Mallard),85.31675547661338,2882.0,0,3823
ZEB1,Jaculus jaculus (Lesser Egyptian jerboa),87.951450562463,2971.0,0,3734
ZEB1,Propithecus coquereli (Coquerel's sifaka),82.00118413262285,2770.0,0,3617
ZEB1,Pan troglodytes (Chimpanzee),99.05437352245863,3352.0,0,3410
ZEB1,Seriola lalandi dorsalis (Yellowtail amberjack),70.16152716593244,2389.0,0,4394
ZEB1,Nannospalax galili (Upper Galilee mountains blind mole rat),88.60272350503257,2993.0,0,3721
ZEB1,Prolemur simus (Greater bamboo lemur),92.09591474245116,3111.0,0,3645
ZEB1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),96.38839550029603,3256.0,0,3449
ZEB1,Aotus nancymaae (Ma's night monkey),97.98697454114861,3310.0,0,3446
ZEB1,Seriola dumerili (Greater amberjack),70.63351095322676,2386.0,0,4331
ZEB1,Marmota marmota marmota (Alpine marmot),90.49733570159859,3057.0,0,3576
ZEB1,Gorilla gorilla gorilla (Gorilla),98.22380106571936,3318.0,0,3387
ZEB1,Bison bison bison (American bison),86.69032830523514,2931.0,0,3828
ZEB1,Ictalurus punctatus (Channel catfish),70.39668442865602,2378.0,0,4303
ZEB1,Chrysemys picta bellii (Painted turtle),86.23445825932504,2913.0,0,3780
ZEB1,Rhinopithecus bieti (Black snub-nosed monkey),97.39490822972174,3290.0,0,3424
ZEB1,Mesocricetus auratus (Golden Hamster),82.14920071047958,2775.0,0,3735
ZEB1,Ursus maritimus (Polar bear),88.83955002960332,3001.0,0,3638
ZEB1,Ursus americanus (American black bear),83.95500296033156,2836.0,0,3596
ZEB1,Panthera pardus (Leopard),94.46417998815868,3191.0,0,3565
ZEB1,Microcebus murinus (Mouse Lemur),91.23741859088219,3082.0,0,3638
ZEB1,Pan paniscus (Bonobo),99.05437352245863,3352.0,0,3410
ZEB1,Geospiza fortis (Medium ground-finch),83.5109532267614,2821.0,0,3854
ZEB1,Cynoglossus semilaevis (Tongue sole),70.24866785079928,2373.0,0,4290
ZEB1,Urocitellus parryii (Arctic ground squirrel),92.24393132030787,3116.0,0,3571
ZEB1,Mandrillus leucophaeus (Drill),97.99054373522459,3316.0,0,3446
ZEB1,Dipodomys ordii (Kangaroo rat),91.23741859088219,3082.0,0,3614
ZEB1,Rhinopithecus roxellana (Golden snub-nosed monkey),97.96099290780141,3315.0,0,3447
ZEB1,Octodon degus (Degu),90.49733570159859,3057.0,0,3684
ZEB1,Acanthochromis polyacanthus (Spiny chromis),71.64002368265245,2420.0,0,4306
ZEB1,Canis lupus familiaris (Dog - Boxer),92.39194789816459,3121.0,0,3572
ZEB1,Sinocyclocheilus grahami (Golden-line barbel),70.21906453522794,2372.0,0,4297
ZEB1,Carlito syrichta (Tarsier),93.36885731201895,3154.0,0,3542
ZEB1,Sander lucioperca (Pike-perch),70.24866785079928,2373.0,0,4308
ZEB1,Balaenoptera musculus (Blue whale),87.00915264245646,2947.0,0,3818
ZEB1,Cervus hanglu yarkandensis (Yarkand deer),86.90898345153664,2941.0,0,3821
ZEB1,Monodon monoceros (Narwhal),86.73771462403789,2930.0,0,3781
ZEB1,Leptobrachium leishanense (Leishan spiny toad),77.50148016577857,2618.0,0,4039
ZEB1,Phocoena sinus (Vaquita),86.64890467732386,2927.0,0,3790
ZEB1,Naja naja (Indian cobra),82.94849023090586,2802.0,0,3891
ZEB1,Ovis aries (Sheep),86.55437352245863,2929.0,0,3833
ZEB1,Sciurus vulgaris (Eurasian red squirrel),94.07933688573121,3178.0,0,3578
ZEB1,Rhinolophus ferrumequinum (Greater horseshoe bat),93.52750809061489,3179.0,0,3598
ZEB1,Terrapene carolina triunguis (Three-toed box turtle),70.45589105979869,2380.0,0,3683
ZEB1,Pseudonaja textilis (Eastern brown snake),82.53404381290704,2788.0,0,3890
