Variant Name,Species,Similarity,Score,Start,End
DLX1,Myotis lucifugus (Microbat),93.61979166666666,719.0,0,814
DLX1,Latimeria chalumnae (Coelacanth),79.03645833333334,607.0,0,923
DLX1,Tetraodon nigroviridis (Tetraodon),77.60416666666666,596.0,0,937
DLX1,Ciona savignyi,38.9948006932409,675.0,0,1824
DLX1,Ciona savignyi,46.46017699115044,630.0,0,1494
DLX1,Lepisosteus oculatus (Spotted gar),78.515625,603.0,0,933
DLX1,Loxodonta africana (Elephant),88.28828828828829,686.0,0,859
DLX1,Poecilia formosa (Amazon molly),77.47395833333334,595.0,0,938
DLX1,Tursiops truncatus (Dolphin),94.66145833333334,727.0,0,809
DLX1,Dasypus novemcinctus (Armadillo),93.12581063553826,718.0,0,821
DLX1,Pteropus vampyrus (Megabat),93.88020833333334,721.0,0,815
DLX1,Ciona intestinalis,46.54919236417034,634.0,0,1496
DLX1,Ciona intestinalis,39.16242218449349,692.0,0,1843
DLX1,Chlorocebus sabaeus (Vervet-AGM),99.21875,762.0,0,774
DLX1,Tupaia belangeri (Tree Shrew),91.796875,705.0,0,828
DLX1,Gasterosteus aculeatus (Stickleback),77.08333333333334,592.0,0,941
DLX1,Mustela putorius furo (Ferret),95.05208333333334,730.0,0,806
DLX1,Otolemur garnettii (Bushbaby),95.71984435797665,738.0,0,801
DLX1,Ochotona princeps (Pika),93.48958333333334,718.0,0,818
DLX1,Choloepus hoffmanni (Sloth),65.234375,501.0,0,780
DLX1,Pelodiscus sinensis (Chinese softshell turtle),84.63541666666666,650.0,0,886
DLX1,Echinops telfairi (Lesser hedgehog tenrec),83.46354166666666,641.0,0,895
DLX1,Erinaceus europaeus (Hedgehog),91.66666666666666,704.0,0,832
DLX1,Sorex araneus (Shrew),93.359375,717.0,0,819
DLX1,Procavia capensis (Hyrax),64.0625,492.0,0,786
DLX1,Notamacropus eugenii (Wallaby),65.10416666666666,500.0,0,1036
DLX1,Chinchilla lanigera (Long-tailed chinchilla),94.01041666666666,722.0,0,814
DLX1,Cavia porcellus (Guinea Pig),93.61979166666666,719.0,0,817
DLX1,Ictidomys tridecemlineatus (Squirrel),94.921875,729.0,0,807
DLX1,Cricetulus griseus (Chinese hamster CriGri),92.70833333333334,712.0,0,824
DLX1,Microtus ochrogaster (Prairie vole),93.09895833333334,715.0,0,821
DLX1,Cercocebus atys (Sooty mangabey),99.21875,762.0,0,774
DLX1,Macaca nemestrina (Pig-tailed macaque),99.21875,762.0,0,774
DLX1,Nomascus leucogenys (Gibbon),99.47916666666666,764.0,0,772
DLX1,Mus pahari (Shrew mouse),92.31770833333334,709.0,0,824
DLX1,Mus spretus (Algerian mouse),92.1875,708.0,0,825
DLX1,Capra hircus (Goat (black bengal)),95.05208333333334,730.0,0,806
DLX1,Mus caroli (Ryukyu mouse),92.1875,708.0,0,825
DLX1,Panthera tigris altaica (Tiger),49.86979166666667,383.0,0,775
DLX1,Danio rerio (Zebrafish),77.21354166666666,593.0,0,934
DLX1,Eptatretus burgeri (Hagfish),64.67136150234741,551.0,0,1069
DLX1,Stegastes partitus (Bicolor damselfish),76.171875,585.0,0,939
DLX1,Fundulus heteroclitus (Mummichog),77.34375,594.0,0,939
DLX1,Oryzias melastigma (Indian medaka),77.34375,594.0,0,936
DLX1,Amphilophus citrinellus (Midas cichlid),75.52083333333334,580.0,0,944
DLX1,Amphiprion percula (Orange clownfish),76.04166666666666,584.0,0,946
DLX1,Amphiprion ocellaris (Clown anemonefish),76.171875,585.0,0,945
DLX1,Maylandia zebra (Zebra mbuna),62.890625,483.0,0,897
DLX1,Oryzias latipes (Japanese medaka HdrR),77.34375,594.0,0,936
DLX1,Cyprinodon variegatus (Sheepshead minnow),76.30208333333334,586.0,0,947
