Variant Name,Species,Similarity,Score,Start,End
HMBOX1,Myotis lucifugus (Microbat),93.11163895486936,1176.0,0,1326
HMBOX1,Ciona savignyi,55.10688836104512,696.0,0,1470
HMBOX1,Petromyzon marinus (Lamprey),42.43863816310372,536.0,0,1363
HMBOX1,Lepisosteus oculatus (Spotted gar),76.46604938271605,991.0,0,1568
HMBOX1,Latimeria chalumnae (Coelacanth),79.96832937450515,1010.0,0,1513
HMBOX1,Tetraodon nigroviridis (Tetraodon),64.44972288202692,814.0,0,1574
HMBOX1,Poecilia formosa (Amazon molly),70.42889390519187,936.0,0,1656
HMBOX1,Loxodonta africana (Elephant),91.60728424386382,1157.0,0,1369
HMBOX1,Ciona intestinalis,54.47347585114806,688.0,0,1481
HMBOX1,Poecilia formosa (Amazon molly),64.77495107632095,993.0,0,1803
HMBOX1,Gasterosteus aculeatus (Stickleback),71.40600315955766,904.0,0,1625
HMBOX1,Mustela putorius furo (Ferret),90.91591591591592,1211.0,0,1384
HMBOX1,Tursiops truncatus (Dolphin),95.88281868566905,1211.0,0,1315
HMBOX1,Chlorocebus sabaeus (Vervet-AGM),99.04988123515439,1251.0,0,1275
HMBOX1,Pteropus vampyrus (Megabat),88.0443388756928,1112.0,0,1414
HMBOX1,Otolemur garnettii (Bushbaby),90.24024024024024,1202.0,0,1393
HMBOX1,Dasypus novemcinctus (Armadillo),88.15987933634992,1169.0,0,1420
HMBOX1,Gasterosteus aculeatus (Stickleback),69.26503340757239,933.0,0,1677
HMBOX1,Tupaia belangeri (Tree Shrew),70.94220110847189,896.0,0,1621
HMBOX1,Ochotona princeps (Pika),75.21773555027713,950.0,0,1546
HMBOX1,Pelodiscus sinensis (Chinese softshell turtle),81.68498168498168,1115.0,0,1513
HMBOX1,Echinops telfairi (Lesser hedgehog tenrec),79.57244655581948,1005.0,0,1497
HMBOX1,Sorex araneus (Shrew),70.46714172604909,890.0,0,1498
HMBOX1,Erinaceus europaeus (Hedgehog),88.67775138558986,1120.0,0,1406
HMBOX1,Vicugna pacos (Alpaca),64.05384006334126,809.0,0,1483
