Variant Name,Species,Similarity,Score,Start,End
LEUTX,Chlorocebus sabaeus (Vervet-AGM),79.06197654941374,472.0,0,626
LEUTX,Otolemur garnettii (Bushbaby),62.47906197654941,373.0,0,686
LEUTX,Dasypus novemcinctus (Armadillo),70.35175879396985,420.0,0,738
LEUTX,Macaca nemestrina (Pig-tailed macaque),92.46231155778895,552.0,0,642
LEUTX,Nomascus leucogenys (Gibbon),94.9748743718593,567.0,0,627
LEUTX,Cercocebus atys (Sooty mangabey),92.62981574539364,553.0,0,641
LEUTX,Capra hircus (Goat (black bengal)),56.19047619047619,472.0,0,965
LEUTX,Eptatretus burgeri (Hagfish),60.0,405.0,0,867
LEUTX,Vulpes vulpes (Red fox),62.311557788944725,372.0,0,696
LEUTX,Neovison vison (American mink),62.14405360134003,371.0,0,703
LEUTX,Bos taurus (Cow),57.79467680608364,456.0,0,930
LEUTX,Bos indicus x Bos taurus (Hybrid - Bos Taurus),58.04816223067174,458.0,0,928
LEUTX,Aotus nancymaae (Ma's night monkey),85.09212730318258,508.0,0,671
LEUTX,Pan troglodytes (Chimpanzee),99.49748743718592,594.0,0,600
LEUTX,Propithecus coquereli (Coquerel's sifaka),73.03182579564489,436.0,0,725
LEUTX,Prolemur simus (Greater bamboo lemur),75.66666666666667,454.0,0,743
LEUTX,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),87.16666666666667,523.0,0,674
LEUTX,Gorilla gorilla gorilla (Gorilla),98.99497487437185,591.0,0,603
LEUTX,Ursus maritimus (Polar bear),61.47403685092128,367.0,0,698
LEUTX,Rhinopithecus bieti (Black snub-nosed monkey),91.62479061976549,547.0,0,647
LEUTX,Marmota marmota marmota (Alpine marmot),61.80904522613066,369.0,0,747
LEUTX,Rhinopithecus roxellana (Golden snub-nosed monkey),91.79229480737018,548.0,0,646
LEUTX,Mandrillus leucophaeus (Drill),93.1323283082077,556.0,0,638
LEUTX,Pan paniscus (Bonobo),99.32998324958125,593.0,0,601
LEUTX,Carlito syrichta (Tarsier),78.89447236180904,471.0,0,720
LEUTX,Canis lupus familiaris (Dog - Boxer),64.321608040201,384.0,0,711
LEUTX,Monodon monoceros (Narwhal),60.971524288107204,364.0,0,710
LEUTX,Balaenoptera musculus (Blue whale),61.30653266331658,366.0,0,705
LEUTX,Ovis aries (Sheep),65.66164154103853,392.0,0,787
LEUTX,Moschus moschiferus (Siberian musk deer),64.82412060301507,387.0,0,759
LEUTX,Moschus moschiferus (Siberian musk deer),62.47906197654941,373.0,0,779
LEUTX,Moschus moschiferus (Siberian musk deer),65.15912897822446,389.0,0,790
LEUTX,Rhinolophus ferrumequinum (Greater horseshoe bat),64.65661641541038,386.0,0,712
LEUTX,Bos grunniens (Domestic yak),67.78309409888357,425.0,0,799
LEUTX,Panthera leo (Lion),64.15410385259631,383.0,0,718
LEUTX,Macaca mulatta (Macaque),79.22948073701842,473.0,0,631
LEUTX,Moschus moschiferus (Siberian musk deer),63.484087102177554,379.0,0,725
LEUTX,Physeter catodon (Sperm whale),61.64154103852596,368.0,0,706
LEUTX,Delphinapterus leucas (Beluga whale),60.69444444444444,437.0,0,880
LEUTX,Felis catus (Cat),65.32663316582915,390.0,0,735
LEUTX,Macaca fascicularis (Crab-eating macaque),92.29480737018424,551.0,0,643
LEUTX,Canis lupus familiaris (Dog - Boxer),64.321608040201,384.0,0,711
LEUTX,Pongo abelii (Sumatran orangutan),97.15242881072027,580.0,0,611
LEUTX,Papio anubis (Olive baboon),92.62981574539364,553.0,0,641
LEUTX,Callithrix jacchus (White-tufted-ear marmoset),87.93969849246231,525.0,0,669
LEUTX,Sus scrofa (Pig - Hampshire),68.17420435510888,407.0,0,781
LEUTX,Equus caballus (Horse),72.19430485762143,431.0,0,736
LEUTX,Equus asinus (Donkey),73.19932998324958,437.0,0,748
LEUTX,Cebus imitator (Panamanian white-faced capuchin),69.84924623115577,417.0,0,645
