Species,Similarity
Pan troglodytes (Chimpanzee),99.38167509836987
Gorilla gorilla gorilla (Gorilla),99.36461365737884
Pan paniscus (Bonobo),99.10061832490163
Nomascus leucogenys (Gibbon),98.22283003605754
Cercocebus atys (Sooty mangabey),97.75055563933942
Macaca nemestrina (Pig-tailed macaque),97.7169278438147
Mandrillus leucophaeus (Drill),97.6045051344274
Chlorocebus sabaeus (Vervet-AGM),97.59848792979217
Macaca mulatta (Macaque),97.58561221975857
Rhinopithecus roxellana (Golden snub-nosed monkey),97.31190903814604
Rhinopithecus bieti (Black snub-nosed monkey),97.25569768345238
Aotus nancymaae (Ma's night monkey),95.7660967840707
Cebus imitator (Panamanian white-faced capuchin),95.36660009657994
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),94.94501493637759
Propithecus coquereli (Coquerel's sifaka),91.85750345418013
Tursiops truncatus (Dolphin),91.11063512786572
Delphinapterus leucas (Beluga whale),90.94007175464074
Marmota marmota marmota (Alpine marmot),90.74679602894962
Otolemur garnettii (Bushbaby),90.51798991851638
Panthera tigris altaica (Tiger),90.48535229590632
Canis lupus familiaris (Dog - Boxer),90.46019356477535
Vulpes vulpes (Red fox),90.42532244512684
Sus scrofa (Pig - Hampshire),90.31648705561747
Ictidomys tridecemlineatus (Squirrel),90.30262730957831
Pteropus vampyrus (Megabat),90.27893942887455
Ursus maritimus (Polar bear),90.18919085474825
Ursus americanus (American black bear),90.16145929623465
Urocitellus parryii (Arctic ground squirrel),89.75205308545496
Heterocephalus glaber (Naked mole-rat),89.33755146994977
Dasypus novemcinctus (Armadillo),89.30010365937139
Cavia porcellus (Guinea Pig),89.21309435129203
Loxodonta africana (Elephant),89.2012575241264
Mustela putorius furo (Ferret),89.09871068407654
Capra hircus (Goat (black bengal)),89.02138164158482
Bos taurus (Cow),88.85925986859644
Bison bison bison (American bison),88.78648215936909
Chinchilla lanigera (Long-tailed chinchilla),88.59023750439864
Myotis lucifugus (Microbat),88.43066733084419
Carlito syrichta (Tarsier),88.3251758318595
Oryctolagus cuniculus (Rabbit),88.12407922736946
Nannospalax galili (Upper Galilee mountains blind mole rat),88.06145447184683
Dipodomys ordii (Kangaroo rat),87.79074904295979
Peromyscus maniculatus bairdii (Northern American deer mouse),87.16145607212115
Jaculus jaculus (Lesser Egyptian jerboa),86.94213277152446
Cricetulus griseus (Chinese hamster CriGri),86.93710573980388
Rattus norvegicus (Rat),86.58125975199147
Mesocricetus auratus (Golden Hamster),86.50429277402017
Microtus ochrogaster (Prairie vole),86.47441843545953
Mus caroli (Ryukyu mouse),86.47035346126367
Mus spicilegus (Steppe mouse),86.43070846110373
Mus pahari (Shrew mouse),86.38504625630856
Mus musculus (Mouse),86.26166817223728
Mus spretus (Algerian mouse),86.17726227852498
Octodon degus (Degu),85.37819273639617
Vombatus ursinus (Common wombat),83.73617317850884
Phascolarctos cinereus (Koala),83.63581842220188
Cervus hanglu yarkandensis (Yarkand deer),83.14226804437803
Vicugna pacos (Alpaca),82.85527023342185
Procavia capensis (Hyrax),81.97531118088021
Chelonoidis abingdonii (Abingdon island giant tortoise),81.55095209892497
Crocodylus porosus (Australian saltwater crocodile),80.82316882752863
Terrapene carolina triunguis (Three-toed box turtle),80.76156699401935
Monodelphis domestica (Opossum),80.62966640218713
Struthio camelus australis (African ostrich),80.60622904416853
Strigops habroptila (Kakapo),80.45630976264793
Serinus canaria (Common canary),80.21520049350374
Sarcophilus harrisii (Tasmanian devil),80.13365585378133
Ornithorhynchus anatinus (Platypus),80.09545767099462
Macaca fascicularis (Crab-eating macaque),79.86982272858143
Meleagris gallopavo (Turkey),79.86056842018674
Papio anubis (Olive baboon),79.80808925570987
Taeniopygia guttata (Zebra finch),79.70924836462888
Gopherus evgoodei (Goodes thornscrub tortoise),79.56682877331056
Aquila chrysaetos chrysaetos (Golden eagle),79.45002749634017
Geospiza fortis (Medium ground-finch),79.22377701341117
Pelodiscus sinensis (Chinese softshell turtle),79.14741030361958
Parus major (Great Tit),79.08762420957544
Coturnix japonica (Japanese quail),79.0685824227551
Anolis carolinensis (Green anole),78.98616672733891
Callithrix jacchus (White-tufted-ear marmoset),78.97546808520362
Pongo abelii (Sumatran orangutan),78.72209806977216
Anas platyrhynchos (Mallard),78.67460785344223
Chrysemys picta bellii (Painted turtle),78.6140436031226
Pseudonaja textilis (Eastern brown snake),78.46789021572059
Notechis scutatus (Mainland tiger snake),78.37153877440967
Podarcis muralis (Common wall lizard),78.19806286454771
Choloepus hoffmanni (Sloth),77.94686884474241
Anser brachyrhynchus (Pink-footed goose),77.8408452287288
Naja naja (Indian cobra),77.66939192719639
Equus caballus (Horse),77.49896793515434
Equus asinus (Donkey),77.42737591856884
Ficedula albicollis (Collared flycatcher),77.30986288112754
Gallus gallus (Chicken),77.03948723540887
Rhinolophus ferrumequinum (Greater horseshoe bat),76.89572412868591
Sciurus vulgaris (Eurasian red squirrel),76.7110187965286
Physeter catodon (Sperm whale),76.5855715049562
Monodon monoceros (Narwhal),76.50075938645838
Ailuropoda melanoleuca (Giant panda),76.49573235473783
Phocoena sinus (Vaquita),76.4731487955689
Panthera pardus (Leopard),76.37078014962275
Camelus dromedarius (Arabian camel),76.32610811774222
Prolemur simus (Greater bamboo lemur),76.31959582664966
Panthera leo (Lion),76.3145687949291
Felis catus (Cat),76.3035245585733
Catagonus wagneri (Chacoan peccary),75.92108931207356
Salvator merianae (Argentine black and white tegu),75.67525323788874
Neovison vison (American mink),75.66665295658015
Tupaia belangeri (Tree Shrew),75.6491431912678
Moschus moschiferus (Siberian musk deer),75.21696211903097
Ovis aries (Sheep),75.10404432318634
Bos mutus (Wild yak),75.0202223776032
Bos indicus x Bos taurus (Hybrid - Bos Taurus),74.88265214147006
Bos grunniens (Domestic yak),74.8395539042518
Carassius auratus (Goldfish),74.51168762612375
Laticauda laticaudata (Blue-ringed sea krait),74.3842266978038
Cyprinus carpio carpio (Common carp),74.23584124209599
Sinocyclocheilus grahami (Golden-line barbel),73.86807662447487
Scleropages formosus two (Asian bonytongue),73.71403268743305
Paramormyrops kingsleyae (Paramormyrops kingsleyae),73.52288913724718
Lepisosteus oculatus (Spotted gar),73.49145398521415
Danio rerio (Zebrafish),73.49023137808973
Ochotona princeps (Pika),73.08161614499788
Microcebus murinus (Mouse Lemur),72.76795983249322
Electrophorus electricus (Electric eel),72.73146867071048
Denticeps clupeoides (Denticle herring),72.69715261458555
Pygocentrus nattereri (Red-bellied piranha),72.46181171084893
Balaenoptera musculus (Blue whale),72.14312263977052
Ictalurus punctatus (Channel catfish),71.8291260340425
Astyanax mexicanus (Mexican tetra),71.69938126446164
Latimeria chalumnae (Coelacanth),70.99838969404188
Gasterosteus aculeatus (Stickleback),70.54861111111111
Scleropages formosus (Asian bonytongue),70.3909040333998
Oryzias javanicus (Javanese ricefish),70.10919882286811
Callorhinchus milii (Elephant shark),69.61626016260162
Seriola dumerili (Greater amberjack),69.56174626242245
Sander lucioperca (Pike-perch),69.29410948803866
Cyprinodon variegatus (Sheepshead minnow),69.28619859155972
Poecilia latipinna (Sailfin molly),69.14485710910486
Hucho hucho (Huchen),69.09913173400423
Nothobranchius furzeri (Turquoise killifish),69.0799909809539
Poecilia formosa (Amazon molly),69.06234033893608
