Variant Name,Species,Similarity,Score,Start,End
MEOX1,Myotis lucifugus (Microbat),89.6732026143791,686.0,0,838
MEOX1,Loxodonta africana (Elephant),89.6732026143791,686.0,0,844
MEOX1,Mustela putorius furo (Ferret),89.01960784313725,681.0,0,849
MEOX1,Dasypus novemcinctus (Armadillo),88.88888888888889,680.0,0,850
MEOX1,Otolemur garnettii (Bushbaby),91.50326797385621,700.0,0,830
MEOX1,Chlorocebus sabaeus (Vervet-AGM),96.86274509803921,741.0,0,789
MEOX1,Ochotona princeps (Pika),85.88235294117646,657.0,0,855
MEOX1,Sorex araneus (Shrew),84.83660130718954,649.0,0,869
MEOX1,Choloepus hoffmanni (Sloth),89.15032679738563,682.0,0,842
MEOX1,Microtus ochrogaster (Prairie vole),83.39869281045752,638.0,0,886
MEOX1,Chinchilla lanigera (Long-tailed chinchilla),82.74509803921568,633.0,0,891
MEOX1,Cricetulus griseus (Chinese hamster CriGri),83.52941176470588,639.0,0,885
MEOX1,Ictidomys tridecemlineatus (Squirrel),80.26143790849673,614.0,0,835
MEOX1,Macaca nemestrina (Pig-tailed macaque),97.12418300653594,743.0,0,787
MEOX1,Cercocebus atys (Sooty mangabey),96.73202614379085,740.0,0,790
MEOX1,Nomascus leucogenys (Gibbon),95.16339869281045,728.0,0,775
MEOX1,Capra hircus (Goat (black bengal)),89.6732026143791,686.0,0,844
MEOX1,Mus spretus (Algerian mouse),85.49019607843137,654.0,0,870
MEOX1,Mus caroli (Ryukyu mouse),85.7516339869281,656.0,0,868
MEOX1,Mus pahari (Shrew mouse),84.70588235294117,648.0,0,876
MEOX1,Panthera tigris altaica (Tiger),89.54248366013073,685.0,0,845
MEOX1,Vulpes vulpes (Red fox),89.41176470588236,684.0,0,846
MEOX1,Bos mutus (Wild yak),81.45363408521304,650.0,0,913
MEOX1,Neovison vison (American mink),88.62745098039215,678.0,0,852
MEOX1,Mus spicilegus (Steppe mouse),86.14379084967321,659.0,0,868
MEOX1,Peromyscus maniculatus bairdii (Northern American deer mouse),84.18300653594771,644.0,0,880
MEOX1,Bos taurus (Cow),89.80392156862746,687.0,0,843
MEOX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),89.93464052287582,688.0,0,842
MEOX1,Nannospalax galili (Upper Galilee mountains blind mole rat),87.05882352941177,666.0,0,858
MEOX1,Aotus nancymaae (Ma's night monkey),84.5771144278607,680.0,0,889
MEOX1,Jaculus jaculus (Lesser Egyptian jerboa),87.05882352941177,666.0,0,861
MEOX1,Bison bison bison (American bison),89.80392156862746,687.0,0,843
MEOX1,Prolemur simus (Greater bamboo lemur),92.81045751633987,710.0,0,820
MEOX1,Pan troglodytes (Chimpanzee),99.6078431372549,762.0,0,768
MEOX1,Gorilla gorilla gorilla (Gorilla),98.69281045751634,755.0,0,775
MEOX1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),95.42483660130719,730.0,0,800
MEOX1,Mesocricetus auratus (Golden Hamster),82.87581699346406,634.0,0,890
MEOX1,Ursus maritimus (Polar bear),89.54248366013073,685.0,0,845
MEOX1,Rhinopithecus bieti (Black snub-nosed monkey),97.38562091503267,745.0,0,785
MEOX1,Marmota marmota marmota (Alpine marmot),90.06535947712419,689.0,0,841
MEOX1,Ursus americanus (American black bear),89.41176470588236,684.0,0,846
MEOX1,Microcebus murinus (Mouse Lemur),91.89542483660131,703.0,0,827
MEOX1,Rhinopithecus roxellana (Golden snub-nosed monkey),97.38562091503267,745.0,0,785
MEOX1,Panthera pardus (Leopard),89.80392156862746,687.0,0,843
MEOX1,Urocitellus parryii (Arctic ground squirrel),89.6732026143791,686.0,0,844
MEOX1,Mandrillus leucophaeus (Drill),96.99346405228758,742.0,0,788
MEOX1,Dipodomys ordii (Kangaroo rat),85.22875816993464,652.0,0,878
MEOX1,Pan paniscus (Bonobo),99.2156862745098,759.0,0,771
MEOX1,Octodon degus (Degu),80.13071895424837,613.0,0,890
MEOX1,Carlito syrichta (Tarsier),88.49673202614379,677.0,0,853
MEOX1,Canis lupus familiaris (Dog - Boxer),89.41176470588236,684.0,0,846
MEOX1,Cervus hanglu yarkandensis (Yarkand deer),80.17031630170315,659.0,0,928
