Species,Similarity
Pan troglodytes (Chimpanzee),100.0
Pan paniscus (Bonobo),100.0
Macaca fascicularis (Crab-eating macaque),99.20823436262867
Macaca mulatta (Macaque),99.12905779889152
Chlorocebus sabaeus (Vervet-AGM),99.0498812351544
Aotus nancymaae (Ma's night monkey),98.17893903404592
Gorilla gorilla gorilla (Gorilla),98.12206572769952
Carlito syrichta (Tarsier),96.19952494061758
Delphinapterus leucas (Beluga whale),96.12034837688044
Microcebus murinus (Mouse Lemur),95.96199524940616
Tursiops truncatus (Dolphin),95.88281868566904
Sus scrofa (Pig - Hampshire),95.80364212193192
Octodon degus (Degu),95.01187648456056
Bos taurus (Cow),94.45764053840064
Rhinopithecus bieti (Black snub-nosed monkey),94.33962264150944
Chinchilla lanigera (Long-tailed chinchilla),94.29928741092635
Cavia porcellus (Guinea Pig),94.29928741092635
Capra hircus (Goat (black bengal)),94.22011084718925
Nomascus leucogenys (Gibbon),94.06906906906907
Ictidomys tridecemlineatus (Squirrel),93.91100702576112
Pongo abelii (Sumatran orangutan),93.85767790262172
Macaca nemestrina (Pig-tailed macaque),93.70786516853931
Cercocebus atys (Sooty mangabey),93.61861861861864
Ursus americanus (American black bear),93.58669833729216
Rhinopithecus roxellana (Golden snub-nosed monkey),93.54354354354354
Papio anubis (Olive baboon),93.54354354354354
Ursus maritimus (Polar bear),93.50752177355504
Myotis lucifugus (Microbat),93.11163895486936
Peromyscus maniculatus bairdii (Northern American deer mouse),93.0324623911322
Cricetulus griseus (Chinese hamster CriGri),92.95328582739508
Callithrix jacchus (White-tufted-ear marmoset),92.94294294294292
Cebus imitator (Panamanian white-faced capuchin),92.70353302611367
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),92.56756756756756
Nannospalax galili (Upper Galilee mountains blind mole rat),92.55740300870944
Dipodomys ordii (Kangaroo rat),92.4782264449723
Mus spicilegus (Steppe mouse),92.31987331749802
Rattus norvegicus (Rat),91.84481393507522
Loxodonta africana (Elephant),91.60728424386382
Prolemur simus (Greater bamboo lemur),91.51651651651652
Panthera tigris altaica (Tiger),91.51651651651652
Panthera leo (Lion),91.51651651651652
Felis catus (Cat),91.51651651651652
Jaculus jaculus (Lesser Egyptian jerboa),91.50943396226415
Panthera pardus (Leopard),91.44144144144144
Ailuropoda melanoleuca (Giant panda),91.29129129129127
Neovison vison (American mink),91.14114114114116
Balaenoptera musculus (Blue whale),91.14114114114116
Urocitellus parryii (Arctic ground squirrel),91.01123595505618
