Species,Similarity
Pan troglodytes (Chimpanzee),2189.5431317086163
Canis lupus familiaris (Dog - Boxer),1861.3543680343616
Vombatus ursinus (Common wombat),1241.7208132456412
Macaca nemestrina (Pig-tailed macaque),1074.8704372670454
Cercocebus atys (Sooty mangabey),1064.7580632658678
Cebus imitator (Panamanian white-faced capuchin),1060.3581295834858
Aotus nancymaae (Ma's night monkey),1057.3485696376392
Macaca fascicularis (Crab-eating macaque),1056.618719398628
Propithecus coquereli (Coquerel's sifaka),1035.0978353193495
Capra hircus (Goat (black bengal)),1016.0067512719098
Cricetulus griseus (Chinese hamster CriGri),1002.3176173561724
Mus musculus (Mouse),999.5314811906713
Pongo abelii (Sumatran orangutan),987.0005766099015
Mus pahari (Shrew mouse),985.6485258145627
Chlorocebus sabaeus (Vervet-AGM),948.6845971274514
Papio anubis (Olive baboon),945.16235314709
Panthera leo (Lion),943.7922068185825
Panthera pardus (Leopard),939.3249768250287
Callithrix jacchus (White-tufted-ear marmoset),939.2079093285332
Otolemur garnettii (Bushbaby),939.1672067893089
Felis catus (Cat),934.0823160920279
Macaca mulatta (Macaque),934.0178872639937
Phocoena sinus (Vaquita),931.1913946948057
Bos indicus x Bos taurus (Hybrid - Bos Taurus),930.8840238370623
Moschus moschiferus (Siberian musk deer),930.1358816925778
Bos grunniens (Domestic yak),924.97275211974
Mustela putorius furo (Ferret),918.9942617460052
Loxodonta africana (Elephant),912.3322485703607
Microtus ochrogaster (Prairie vole),907.8141691200376
Mus caroli (Ryukyu mouse),905.9297171539456
Rattus norvegicus (Rat),905.499097377166
Mus spretus (Algerian mouse),904.7504674827749
Gorilla gorilla gorilla (Gorilla),892.0847199150389
Rhinopithecus roxellana (Golden snub-nosed monkey),881.5645127848021
Rhinopithecus bieti (Black snub-nosed monkey),879.6614073072707
Pan paniscus (Bonobo),873.0691329432376
Microcebus murinus (Mouse Lemur),851.6057526663661
Prolemur simus (Greater bamboo lemur),849.2919925735232
Catagonus wagneri (Chacoan peccary),844.6932443980863
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),844.2917661899866
Chinchilla lanigera (Long-tailed chinchilla),843.2416478283651
Rhinolophus ferrumequinum (Greater horseshoe bat),842.3036750755799
Delphinapterus leucas (Beluga whale),841.0423020219854
Urocitellus parryii (Arctic ground squirrel),840.4766364011572
Sciurus vulgaris (Eurasian red squirrel),840.0980451050044
Balaenoptera musculus (Blue whale),838.4505799951182
Bos taurus (Cow),836.6862957856869
Nannospalax galili (Upper Galilee mountains blind mole rat),835.2879926109302
Neovison vison (American mink),834.7739674000121
Mesocricetus auratus (Golden Hamster),831.0641525296777
Heterocephalus glaber (Naked mole-rat),826.887572804812
Ovis aries (Sheep),826.0007828036122
Pteropus vampyrus (Megabat),810.9066136700551
Camelus dromedarius (Arabian camel),808.5769545332247
Tursiops truncatus (Dolphin),794.0551666584612
Mandrillus leucophaeus (Drill),782.3962907618546
Pseudonaja textilis (Eastern brown snake),777.0469457974303
Marmota marmota marmota (Alpine marmot),751.9850816491057
Ictidomys tridecemlineatus (Squirrel),751.9095134663063
Nomascus leucogenys (Gibbon),751.0247428064401
Octodon degus (Degu),749.9294463634208
Sus scrofa (Pig - Hampshire),749.0302561404379
Physeter catodon (Sperm whale),748.6631210372994
Cervus hanglu yarkandensis (Yarkand deer),745.7155393182038
Dipodomys ordii (Kangaroo rat),745.7023974523659
Monodelphis domestica (Opossum),745.2214332614182
Ailuropoda melanoleuca (Giant panda),742.3000111794294
Monodon monoceros (Narwhal),740.1628628660742
Jaculus jaculus (Lesser Egyptian jerboa),738.2156461090733
Vulpes vulpes (Red fox),736.8914385832436
Ornithorhynchus anatinus (Platypus),732.8813509152575
Mus spicilegus (Steppe mouse),724.9493414855637
Sphenodon punctatus (Tuatara),723.8213292069647
Myotis lucifugus (Microbat),719.4167799821628
Gopherus evgoodei (Goodes thornscrub tortoise),710.7018996236641
Equus caballus (Horse),700.8442287656251
Naja naja (Indian cobra),700.5099088423744
Salvator merianae (Argentine black and white tegu),672.7192375004109
Cavia porcellus (Guinea Pig),658.5241932206801
Phascolarctos cinereus (Koala),656.9113966205808
Ursus americanus (American black bear),654.7057489214737
Carlito syrichta (Tarsier),652.716077302106
Oryctolagus cuniculus (Rabbit),643.7216728757621
Anser brachyrhynchus (Pink-footed goose),637.1835758343695
Equus asinus (Donkey),634.0272188963771
Aquila chrysaetos chrysaetos (Golden eagle),633.8135137269776
Gallus gallus (Chicken),628.746218350058
Terrapene carolina triunguis (Three-toed box turtle),626.1183107256122
Laticauda laticaudata (Blue-ringed sea krait),625.0630861005155
Podarcis muralis (Common wall lizard),622.4544907526443
Coturnix japonica (Japanese quail),616.7785875503995
Oncorhynchus kisutch (Coho salmon),583.9108653976725
Hucho hucho (Huchen),577.7716014413483
Anas platyrhynchos (Mallard),558.3710899820144
Peromyscus maniculatus bairdii (Northern American deer mouse),558.2149979593803
Taeniopygia guttata (Zebra finch),555.759836530163
Parus major (Great Tit),552.5808709091904
Chelonoidis abingdonii (Abingdon island giant tortoise),550.1609300370975
Bison bison bison (American bison),546.5430833957364
Chrysemys picta bellii (Painted turtle),546.075641642673
Strigops habroptila (Kakapo),542.9069776650271
Dasypus novemcinctus (Armadillo),534.4665066418465
Notechis scutatus (Mainland tiger snake),533.9033473408474
Anolis carolinensis (Green anole),527.0624603467222
Erinaceus europaeus (Hedgehog),521.0801923320863
Bos mutus (Wild yak),515.0026639972175
Salmo salar (Atlantic salmon),513.104722214184
Oncorhynchus mykiss (Rainbow trout),511.7143297384748
Ochotona princeps (Pika),509.6145064092564
Sarcophilus harrisii (Tasmanian devil),496.22859553594566
Procavia capensis (Hyrax),491.49367588240426
Crocodylus porosus (Australian saltwater crocodile),479.57606215606194
Notamacropus eugenii (Wallaby),477.4627539511291
Serinus canaria (Common canary),477.3876463477191
Ficedula albicollis (Collared flycatcher),470.0091950129178
Leptobrachium leishanense (Leishan spiny toad),457.7128846945625
Callorhinchus milii (Elephant shark),444.80250758680694
Scophthalmus maximus (Turbot),443.8604166712126
Salmo trutta (Brown trout),440.5226417804494
Labrus bergylta (Ballan wrasse),437.4218280184536
Amphiprion percula (Orange clownfish),436.95024899032893
Acanthochromis polyacanthus (Spiny chromis),436.2643590926556
