Species,Similarity
Pan troglodytes (Chimpanzee),99.71509971509973
Pan paniscus (Bonobo),99.28774928774928
Gorilla gorilla gorilla (Gorilla),99.14529914529916
Pongo abelii (Sumatran orangutan),99.002849002849
Macaca nemestrina (Pig-tailed macaque),98.14814814814817
Macaca mulatta (Macaque),98.14814814814817
Nomascus leucogenys (Gibbon),98.14814814814817
Macaca fascicularis (Crab-eating macaque),98.005698005698
Papio anubis (Olive baboon),98.005698005698
Chlorocebus sabaeus (Vervet-AGM),98.005698005698
Cercocebus atys (Sooty mangabey),97.86324786324786
Rhinopithecus bieti (Black snub-nosed monkey),97.86324786324786
Mandrillus leucophaeus (Drill),97.86324786324786
Rhinopithecus roxellana (Golden snub-nosed monkey),97.72079772079772
Cebus imitator (Panamanian white-faced capuchin),97.008547008547
Aotus nancymaae (Ma's night monkey),96.86609686609688
Callithrix jacchus (White-tufted-ear marmoset),96.72364672364672
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),96.72364672364672
Carlito syrichta (Tarsier),94.72934472934472
Prolemur simus (Greater bamboo lemur),94.5868945868946
Propithecus coquereli (Coquerel's sifaka),94.44444444444444
Microcebus murinus (Mouse Lemur),94.15954415954415
Vulpes vulpes (Red fox),92.73504273504274
Catagonus wagneri (Chacoan peccary),92.45014245014244
Monodon monoceros (Narwhal),92.45014245014244
Cervus hanglu yarkandensis (Yarkand deer),92.45014245014244
Bos taurus (Cow),92.45014245014244
Sus scrofa (Pig - Hampshire),92.45014245014244
Balaenoptera musculus (Blue whale),92.45014245014244
Moschus moschiferus (Siberian musk deer),92.45014245014244
Canis lupus familiaris (Dog - Boxer),92.45014245014244
Oryctolagus cuniculus (Rabbit),92.3728813559322
Ictidomys tridecemlineatus (Squirrel),92.3076923076923
Felis catus (Cat),92.3076923076923
Phocoena sinus (Vaquita),92.3076923076923
Marmota marmota marmota (Alpine marmot),92.3076923076923
Delphinapterus leucas (Beluga whale),92.3076923076923
Bos grunniens (Domestic yak),92.3076923076923
Bos indicus x Bos taurus (Hybrid - Bos Taurus),92.3076923076923
Capra hircus (Goat (black bengal)),92.3076923076923
Physeter catodon (Sperm whale),92.16524216524216
Panthera leo (Lion),92.16524216524216
Loxodonta africana (Elephant),92.16524216524216
Heterocephalus glaber (Naked mole-rat),92.16524216524216
Panthera pardus (Leopard),92.16524216524216
Equus caballus (Horse),92.02279202279202
Otolemur garnettii (Bushbaby),92.02279202279202
Ovis aries (Sheep),92.02279202279202
Chinchilla lanigera (Long-tailed chinchilla),91.88034188034187
Rhinolophus ferrumequinum (Greater horseshoe bat),91.88034188034187
Urocitellus parryii (Arctic ground squirrel),91.73789173789174
Ursus americanus (American black bear),91.73789173789174
Camelus dromedarius (Arabian camel),91.31054131054132
Sciurus vulgaris (Eurasian red squirrel),91.31054131054132
Ailuropoda melanoleuca (Giant panda),91.16809116809117
Equus asinus (Donkey),91.16809116809117
Dasypus novemcinctus (Armadillo),91.16809116809117
Bos mutus (Wild yak),91.02564102564102
Mustela putorius furo (Ferret),90.88319088319088
Neovison vison (American mink),90.88319088319088
Pteropus vampyrus (Megabat),90.74074074074076
Peromyscus maniculatus bairdii (Northern American deer mouse),90.5982905982906
Octodon degus (Degu),90.45584045584046
Cavia porcellus (Guinea Pig),90.17094017094016
Ochotona princeps (Pika),89.83050847457628
Mesocricetus auratus (Golden Hamster),89.60113960113961
Microtus ochrogaster (Prairie vole),89.60113960113961
Myotis lucifugus (Microbat),89.45868945868945
Nannospalax galili (Upper Galilee mountains blind mole rat),89.31623931623932
Mus musculus (Mouse),89.03133903133903
Mus spicilegus (Steppe mouse),89.03133903133903
Mus pahari (Shrew mouse),88.6039886039886
Mus spretus (Algerian mouse),88.46153846153845
Mus caroli (Ryukyu mouse),88.31908831908832
Rattus norvegicus (Rat),87.74928774928775
Erinaceus europaeus (Hedgehog),86.46723646723646
Ornithorhynchus anatinus (Platypus),85.04273504273505
Notamacropus eugenii (Wallaby),84.33048433048434
Phascolarctos cinereus (Koala),84.1880341880342
Bison bison bison (American bison),83.9031339031339
Vombatus ursinus (Common wombat),83.61823361823362
Sarcophilus harrisii (Tasmanian devil),83.47578347578347
Strigops habroptila (Kakapo),83.33333333333334
Monodelphis domestica (Opossum),83.1908831908832
Parus major (Great Tit),83.12056737588652
Taeniopygia guttata (Zebra finch),82.90598290598291
Anas platyrhynchos (Mallard),82.27848101265823
Aquila chrysaetos chrysaetos (Golden eagle),82.06214689265536
Ursus maritimus (Polar bear),81.52610441767068
Sphenodon punctatus (Tuatara),80.4741980474198
Pseudonaja textilis (Eastern brown snake),79.97198879551821
Laticauda laticaudata (Blue-ringed sea krait),79.69187675070029
Terrapene carolina triunguis (Three-toed box turtle),79.66101694915254
Notechis scutatus (Mainland tiger snake),79.55182072829132
Gopherus evgoodei (Goodes thornscrub tortoise),79.37853107344633
Naja naja (Indian cobra),79.27170868347339
Chelonoidis abingdonii (Abingdon island giant tortoise),79.23728813559322
Chrysemys picta bellii (Painted turtle),79.23728813559322
Tursiops truncatus (Dolphin),78.63247863247864
Podarcis muralis (Common wall lizard),77.86666666666666
Cricetulus griseus (Chinese hamster CriGri),76.92307692307693
Salvator merianae (Argentine black and white tegu),76.73469387755102
Dipodomys ordii (Kangaroo rat),76.49572649572649
Callorhinchus milii (Elephant shark),74.65564738292011
Pelodiscus sinensis (Chinese softshell turtle),74.3801652892562
Panthera tigris altaica (Tiger),74.21652421652422
Jaculus jaculus (Lesser Egyptian jerboa),74.07407407407408
Serinus canaria (Common canary),71.82254196642685
Xenopus tropicalis (Tropical clawed frog),71.36752136752136
Coturnix japonica (Japanese quail),71.01449275362319
Ficedula albicollis (Collared flycatcher),70.08871989860583
Anser brachyrhynchus (Pink-footed goose),68.6411149825784
Anolis carolinensis (Green anole),68.37606837606837
Choloepus hoffmanni (Sloth),67.23646723646723
Gallus gallus (Chicken),65.63706563706563
Procavia capensis (Hyrax),63.12056737588653
Tupaia belangeri (Tree Shrew),60.826210826210826
Sorex araneus (Shrew),58.4045584045584
C28A5.4b.1,57.008244994110726
FBpp0289353,52.96934865900384
Ciona intestinalis,43.68575624082232
Ciona savignyi,43.584070796460175
