Species,Similarity
Macaca nemestrina (Pig-tailed macaque),359.9128540305011
Myotis lucifugus (Microbat),242.9193899782135
Chlorocebus sabaeus (Vervet-AGM),193.35511982570807
Pongo abelii (Sumatran orangutan),191.1764705882353
Mandrillus leucophaeus (Drill),175.27233115468408
Rhinopithecus roxellana (Golden snub-nosed monkey),174.07407407407408
Panthera pardus (Leopard),163.5495223730518
Canis lupus familiaris (Dog - Boxer),162.96296296296296
Pan paniscus (Bonobo),99.4553376906318
Pan troglodytes (Chimpanzee),99.12854030501089
Gorilla gorilla gorilla (Gorilla),98.80174291938998
Nomascus leucogenys (Gibbon),98.2570806100218
Macaca fascicularis (Crab-eating macaque),96.94989106753812
Macaca mulatta (Macaque),96.84095860566448
Rhinopithecus bieti (Black snub-nosed monkey),96.6230936819172
Papio anubis (Olive baboon),96.51416122004358
Prolemur simus (Greater bamboo lemur),86.49237472766885
Balaenoptera musculus (Blue whale),84.63203463203463
Delphinapterus leucas (Beluga whale),84.53159041394336
Monodon monoceros (Narwhal),84.4155844155844
Rhinolophus ferrumequinum (Greater horseshoe bat),84.31372549019608
Sus scrofa (Pig - Hampshire),84.20479302832244
Phocoena sinus (Vaquita),83.65800865800865
Catagonus wagneri (Chacoan peccary),83.65800865800865
Camelus dromedarius (Arabian camel),83.11965811965813
Equus asinus (Donkey),83.00653594771242
Oryctolagus cuniculus (Rabbit),82.51900108577634
Ovis aries (Sheep),82.35294117647058
Capra hircus (Goat (black bengal)),82.35294117647058
Panthera tigris altaica (Tiger),82.24400871459694
Marmota marmota marmota (Alpine marmot),82.15053763440861
Pteropus vampyrus (Megabat),82.02614379084967
Ailuropoda melanoleuca (Giant panda),81.91721132897604
Bos taurus (Cow),81.91721132897604
Bos mutus (Wild yak),81.8082788671024
Physeter catodon (Sperm whale),81.71368861024033
Choloepus hoffmanni (Sloth),81.69934640522875
Vulpes vulpes (Red fox),81.4935064935065
Urocitellus parryii (Arctic ground squirrel),81.37566137566138
Panthera leo (Lion),81.30341880341881
Mustela putorius furo (Ferret),81.13612004287245
Sciurus vulgaris (Eurasian red squirrel),81.04575163398692
Felis catus (Cat),80.55555555555556
Loxodonta africana (Elephant),80.17429193899783
Ursus americanus (American black bear),80.0632911392405
