Species,Similarity
Canis lupus familiaris (Dog - Boxer),191.20654396728017
Pan paniscus (Bonobo),99.69325153374233
Pan troglodytes (Chimpanzee),99.48875255623722
Pongo abelii (Sumatran orangutan),99.2842535787321
Nomascus leucogenys (Gibbon),98.87525562372188
Cercocebus atys (Sooty mangabey),98.77300613496932
Macaca nemestrina (Pig-tailed macaque),98.77300613496932
Macaca mulatta (Macaque),98.67075664621676
Macaca fascicularis (Crab-eating macaque),98.67075664621676
Rhinopithecus roxellana (Golden snub-nosed monkey),98.5685071574642
Rhinopithecus bieti (Black snub-nosed monkey),98.46625766871163
Mandrillus leucophaeus (Drill),98.46625766871163
Papio anubis (Olive baboon),98.46625766871163
Chlorocebus sabaeus (Vervet-AGM),98.05725971370144
Microcebus murinus (Mouse Lemur),97.6482617586912
Aotus nancymaae (Ma's night monkey),97.13701431492842
Propithecus coquereli (Coquerel's sifaka),97.13701431492842
Callithrix jacchus (White-tufted-ear marmoset),97.03476482617587
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),97.03476482617587
Cebus imitator (Panamanian white-faced capuchin),96.93251533742333
Prolemur simus (Greater bamboo lemur),96.83026584867076
Otolemur garnettii (Bushbaby),96.31901840490798
Equus asinus (Donkey),96.21676891615542
Equus caballus (Horse),96.11451942740288
Moschus moschiferus (Siberian musk deer),96.11451942740288
Ovis aries (Sheep),96.0122699386503
Capra hircus (Goat (black bengal)),95.70552147239265
Vulpes vulpes (Red fox),95.60327198364008
Mustela putorius furo (Ferret),95.39877300613496
Physeter catodon (Sperm whale),95.39877300613496
Balaenoptera musculus (Blue whale),95.39877300613496
Ursus americanus (American black bear),95.39877300613496
Cervus hanglu yarkandensis (Yarkand deer),95.39877300613496
Bos taurus (Cow),95.2965235173824
Catagonus wagneri (Chacoan peccary),95.2965235173824
Sciurus vulgaris (Eurasian red squirrel),95.0920245398773
Sus scrofa (Pig - Hampshire),95.0920245398773
Urocitellus parryii (Arctic ground squirrel),95.0920245398773
Panthera leo (Lion),95.0920245398773
Panthera pardus (Leopard),95.0920245398773
Dasypus novemcinctus (Armadillo),95.0920245398773
Nannospalax galili (Upper Galilee mountains blind mole rat),94.98977505112477
Neovison vison (American mink),94.98977505112477
Chinchilla lanigera (Long-tailed chinchilla),94.8875255623722
Tursiops truncatus (Dolphin),94.8875255623722
Ictidomys tridecemlineatus (Squirrel),94.8875255623722
Monodon monoceros (Narwhal),94.8875255623722
Dipodomys ordii (Kangaroo rat),94.78527607361964
Heterocephalus glaber (Naked mole-rat),94.78527607361964
Rhinolophus ferrumequinum (Greater horseshoe bat),94.27402862985686
Rattus norvegicus (Rat),94.1717791411043
Mus musculus (Mouse),94.1717791411043
Mus spicilegus (Steppe mouse),93.96728016359918
Octodon degus (Degu),93.96728016359918
Mesocricetus auratus (Golden Hamster),93.96728016359918
Mus spretus (Algerian mouse),93.96728016359918
Cricetulus griseus (Chinese hamster CriGri),93.76278118609407
Mus caroli (Ryukyu mouse),93.76278118609407
Mus pahari (Shrew mouse),93.35378323108384
Cavia porcellus (Guinea Pig),93.35378323108384
Loxodonta africana (Elephant),93.35378323108384
Delphinapterus leucas (Beluga whale),91.64179104477611
Camelus dromedarius (Arabian camel),90.31600407747196
Microtus ochrogaster (Prairie vole),90.16064257028113
Phascolarctos cinereus (Koala),89.57055214723927
Gallus gallus (Chicken),89.57055214723927
Taeniopygia guttata (Zebra finch),89.4683026584867
Anas platyrhynchos (Mallard),89.4683026584867
Anser brachyrhynchus (Pink-footed goose),89.4683026584867
Ornithorhynchus anatinus (Platypus),89.39857288481141
Gopherus evgoodei (Goodes thornscrub tortoise),89.36605316973414
Aquila chrysaetos chrysaetos (Golden eagle),89.36605316973414
Chrysemys picta bellii (Painted turtle),89.16155419222905
Vombatus ursinus (Common wombat),89.16155419222905
Sphenodon punctatus (Tuatara),88.95705521472392
Terrapene carolina triunguis (Three-toed box turtle),88.95705521472392
Monodelphis domestica (Opossum),88.44580777096115
Gorilla gorilla gorilla (Gorilla),88.37420526793824
Strigops habroptila (Kakapo),88.24130879345603
Notechis scutatus (Mainland tiger snake),88.24130879345603
Coturnix japonica (Japanese quail),88.24130879345603
Sarcophilus harrisii (Tasmanian devil),88.13905930470347
Pseudonaja textilis (Eastern brown snake),88.03680981595092
Naja naja (Indian cobra),88.03680981595092
Salvator merianae (Argentine black and white tegu),87.8323108384458
Podarcis muralis (Common wall lizard),87.58758758758759
Denticeps clupeoides (Denticle herring),83.58509566968782
Oryzias melastigma (Indian medaka),83.43558282208589
Acanthochromis polyacanthus (Spiny chromis),83.02658486707567
Seriola dumerili (Greater amberjack),82.82208588957054
Seriola lalandi dorsalis (Yellowtail amberjack),82.82208588957054
Stegastes partitus (Bicolor damselfish),82.719836400818
Neolamprologus brichardi (Lyretail cichlid),82.51533742331289
Poecilia reticulata (Guppy),82.36493374108052
Amphiprion ocellaris (Clown anemonefish),82.31083844580776
Amphiprion percula (Orange clownfish),82.20858895705521
Pundamilia nyererei (Makobe Island cichlid),82.10633946830266
Maylandia zebra (Zebra mbuna),81.90184049079755
Latimeria chalumnae (Coelacanth),81.83632734530939
Kryptolebias marmoratus (Mangrove rivulus),81.69734151329243
Poecilia latipinna (Sailfin molly),81.67170191339376
Erpetoichthys calabaricus (Reedfish),81.39059304703477
Betta splendens (Siamese fighting fish),81.39059304703477
Fundulus heteroclitus (Mummichog),81.28834355828221
Sander lucioperca (Pike-perch),81.11111111111111
Pteropus vampyrus (Megabat),80.98159509202453
Pygocentrus nattereri (Red-bellied piranha),80.98159509202453
Amphilophus citrinellus (Midas cichlid),80.87934560327199
Scleropages formosus two (Asian bonytongue),80.82329317269075
Sparus aurata (Gilthead seabream),80.63872255489022
Chelonoidis abingdonii (Abingdon island giant tortoise),80.3680981595092
Scophthalmus maximus (Turbot),80.26584867075664
Leptobrachium leishanense (Leishan spiny toad),80.26183282980867
Sinocyclocheilus grahami (Golden-line barbel),80.1223241590214
Oryzias latipes (Japanese medaka HdrR),80.1186943620178
Dicentrarchus labrax (European seabass),80.05952380952381
Hippocampus comes (Tiger tail seahorse),80.02008032128514
