Species,Similarity
Gorilla gorilla gorilla (Gorilla),198.87400723718224
Pan paniscus (Bonobo),198.09718501809294
Pan troglodytes (Chimpanzee),198.0008459044128
Pongo abelii (Sumatran orangutan),194.60453968701535
Mandrillus leucophaeus (Drill),190.3111048451525
Papio anubis (Olive baboon),190.1846891301283
Macaca nemestrina (Pig-tailed macaque),189.76314676441564
Macaca fascicularis (Crab-eating macaque),189.4379435123831
Nomascus leucogenys (Gibbon),177.30861412660371
Rhinopithecus bieti (Black snub-nosed monkey),95.28455284552844
Rhinopithecus roxellana (Golden snub-nosed monkey),95.1219512195122
Macaca mulatta (Macaque),94.50867052023122
Cercocebus atys (Sooty mangabey),94.41233140655106
Cebus imitator (Panamanian white-faced capuchin),91.54471544715447
Chlorocebus sabaeus (Vervet-AGM),91.3821138211382
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),91.05691056910568
Callithrix jacchus (White-tufted-ear marmoset),89.91869918699187
Aotus nancymaae (Ma's night monkey),87.3170731707317
Equus caballus (Horse),84.78964401294499
Prolemur simus (Greater bamboo lemur),84.62783171521036
Equus asinus (Donkey),83.73983739837398
