Variant Name,Species,Similarity,Score,Start,End
RHOXF1,Myotis lucifugus (Microbat),62.70270270270271,348.0,0,654
RHOXF1,Chlorocebus sabaeus (Vervet-AGM),91.93548387096774,513.0,0,600
RHOXF1,Pteropus vampyrus (Megabat),70.990990990991,394.0,0,689
RHOXF1,Tupaia belangeri (Tree Shrew),68.10810810810811,378.0,0,684
RHOXF1,Otolemur garnettii (Bushbaby),57.826086956521735,399.0,0,846
RHOXF1,Otolemur garnettii (Bushbaby),62.88288288288288,349.0,0,665
RHOXF1,Tursiops truncatus (Dolphin),66.12612612612612,367.0,0,683
RHOXF1,Cricetulus griseus (Chinese hamster CriGri),47.346072186836516,446.0,0,1051
RHOXF1,Cercocebus atys (Sooty mangabey),92.47311827956989,516.0,0,597
RHOXF1,Macaca nemestrina (Pig-tailed macaque),92.831541218638,518.0,0,595
RHOXF1,Mus caroli (Ryukyu mouse),62.98003072196621,410.0,0,796
RHOXF1,Mus spretus (Algerian mouse),59.523809523809526,425.0,0,844
RHOXF1,Mus pahari (Shrew mouse),58.54700854700855,411.0,0,846
RHOXF1,Vulpes vulpes (Red fox),48.97750511247444,479.0,0,1054
RHOXF1,Mus spicilegus (Steppe mouse),60.60606060606061,420.0,0,828
RHOXF1,Pan troglodytes (Chimpanzee),83.6036036036036,464.0,0,562
RHOXF1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),80.42328042328042,456.0,0,666
RHOXF1,Aotus nancymaae (Ma's night monkey),82.80141843971631,467.0,0,652
RHOXF1,Gorilla gorilla gorilla (Gorilla),97.83783783783784,543.0,0,567
RHOXF1,Pan troglodytes (Chimpanzee),98.1981981981982,545.0,0,565
RHOXF1,Rhinopithecus roxellana (Golden snub-nosed monkey),92.1146953405018,514.0,0,599
RHOXF1,Pan paniscus (Bonobo),98.37837837837839,546.0,0,564
RHOXF1,Rhinopithecus bieti (Black snub-nosed monkey),92.1146953405018,514.0,0,599
RHOXF1,Mandrillus leucophaeus (Drill),92.65232974910394,517.0,0,596
RHOXF1,Canis lupus familiaris (Dog - Boxer),50.53763440860215,470.0,0,1015
RHOXF1,Cervus hanglu yarkandensis (Yarkand deer),68.65671641791045,414.0,0,744
RHOXF1,Sciurus vulgaris (Eurasian red squirrel),68.19727891156462,401.0,0,742
RHOXF1,Macaca mulatta (Macaque),93.01075268817203,519.0,0,594
RHOXF1,Felis catus (Cat),68.78048780487805,423.0,0,747
RHOXF1,Ailuropoda melanoleuca (Giant panda),51.92519251925193,472.0,0,992
RHOXF1,Macaca fascicularis (Crab-eating macaque),92.831541218638,518.0,0,595
RHOXF1,Canis lupus familiaris (Dog - Boxer),50.53763440860215,470.0,0,1015
RHOXF1,Pongo abelii (Sumatran orangutan),95.54367201426025,536.0,0,580
RHOXF1,Papio anubis (Olive baboon),92.47311827956989,516.0,0,597
RHOXF1,Sus scrofa (Pig - Hampshire),74.95495495495496,416.0,0,691
RHOXF1,Equus asinus (Donkey),50.05767012687428,434.0,0,988
RHOXF1,Equus caballus (Horse),63.149847094801224,413.0,0,796
RHOXF1,Equus caballus (Horse),63.149847094801224,413.0,0,796
RHOXF1,Mus musculus (Mouse),60.51502145922747,423.0,0,831
RHOXF1,Heterocephalus glaber (Naked mole-rat),57.99999999999999,435.0,0,870
RHOXF1,Rattus norvegicus (Rat),60.0,423.0,0,837
