Variant Name,Species,Similarity,Score,Start,End
HMX1,Tursiops truncatus (Dolphin),76.5296803652968,838.0,0,1304
HMX1,Chlorocebus sabaeus (Vervet-AGM),96.47619047619047,1013.0,0,1084
HMX1,Otolemur garnettii (Bushbaby),89.7803247373448,940.0,0,1154
HMX1,Notamacropus eugenii (Wallaby),73.63896848137536,771.0,0,1245
HMX1,Cavia porcellus (Guinea Pig),75.64469914040114,792.0,0,1140
HMX1,Microtus ochrogaster (Prairie vole),83.3810888252149,873.0,0,1173
HMX1,Cricetulus griseus (Chinese hamster CriGri),82.90353390639925,868.0,0,1163
HMX1,Cercocebus atys (Sooty mangabey),96.47619047619047,1013.0,0,1084
HMX1,Macaca nemestrina (Pig-tailed macaque),96.84813753581662,1014.0,0,1080
HMX1,Mus caroli (Ryukyu mouse),84.43170964660936,884.0,0,1162
HMX1,Mus spretus (Algerian mouse),84.14517669531996,881.0,0,1162
HMX1,Mus pahari (Shrew mouse),84.81375358166189,888.0,0,1158
HMX1,Capra hircus (Goat (black bengal)),90.44890162368672,947.0,0,1141
HMX1,Notechis scutatus (Mainland tiger snake),70.58261700095511,739.0,0,1256
HMX1,Phascolarctos cinereus (Koala),75.85886722376974,817.0,0,1307
HMX1,Bos taurus (Cow),90.9264565425024,952.0,0,1139
HMX1,Peromyscus maniculatus bairdii (Northern American deer mouse),85.95988538681948,900.0,0,1146
HMX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),91.11747851002865,954.0,0,1137
HMX1,Prolemur simus (Greater bamboo lemur),93.69627507163324,981.0,0,1110
HMX1,Nannospalax galili (Upper Galilee mountains blind mole rat),88.82521489971347,930.0,0,1134
HMX1,Aotus nancymaae (Ma's night monkey),77.65042979942693,813.0,0,1083
HMX1,Propithecus coquereli (Coquerel's sifaka),92.19047619047619,968.0,0,1129
HMX1,Jaculus jaculus (Lesser Egyptian jerboa),73.54345749761222,770.0,0,1138
HMX1,Mesocricetus auratus (Golden Hamster),83.47659980897804,874.0,0,1166
HMX1,Pan troglodytes (Chimpanzee),99.61795606494746,1043.0,0,1051
HMX1,Rhinopithecus bieti (Black snub-nosed monkey),80.70678127984718,845.0,0,1129
HMX1,Panthera pardus (Leopard),92.40265906932574,973.0,0,1127
HMX1,Microcebus murinus (Mouse Lemur),93.50525310410697,979.0,0,1115
HMX1,Urocitellus parryii (Arctic ground squirrel),88.44317096466094,926.0,0,1144
HMX1,Rhinopithecus roxellana (Golden snub-nosed monkey),96.56160458452722,1011.0,0,1083
HMX1,Canis lupus familiaris (Dog - Boxer),92.07258834765997,964.0,0,1124
HMX1,Balaenoptera musculus (Blue whale),92.51893939393939,977.0,0,1126
HMX1,Monodon monoceros (Narwhal),91.71374764595103,974.0,0,1135
HMX1,Naja naja (Indian cobra),71.4422158548233,748.0,0,1274
HMX1,Ovis aries (Sheep),90.73543457497613,950.0,0,1138
HMX1,Phocoena sinus (Vaquita),91.9735599622285,974.0,0,1132
HMX1,Sciurus vulgaris (Eurasian red squirrel),89.7803247373448,940.0,0,1151
HMX1,Rhinolophus ferrumequinum (Greater horseshoe bat),90.83094555873924,951.0,0,1140
HMX1,Vombatus ursinus (Common wombat),73.82999044890163,773.0,0,1240
HMX1,Macaca mulatta (Macaque),96.94364851957975,1015.0,0,1079
HMX1,Monodelphis domestica (Opossum),76.12225405921681,797.0,0,1288
HMX1,Physeter catodon (Sperm whale),91.97707736389685,963.0,0,1128
HMX1,Catagonus wagneri (Chacoan peccary),92.16241737488197,976.0,0,1130
HMX1,Moschus moschiferus (Siberian musk deer),90.44890162368672,947.0,0,1135
HMX1,Podarcis muralis (Common wall lizard),71.1556829035339,745.0,0,1247
HMX1,Delphinapterus leucas (Beluga whale),91.78470254957507,972.0,0,1134
HMX1,Macaca fascicularis (Crab-eating macaque),96.75262655205348,1013.0,0,1078
HMX1,Felis catus (Cat),92.40265906932574,973.0,0,1127
HMX1,Anolis carolinensis (Green anole),73.52380952380952,772.0,0,1325
HMX1,Canis lupus familiaris (Dog - Boxer),92.07258834765997,964.0,0,1124
HMX1,Pongo abelii (Sumatran orangutan),99.04489016236867,1037.0,0,1057
HMX1,Papio anubis (Olive baboon),96.84813753581662,1014.0,0,1080
HMX1,Callithrix jacchus (White-tufted-ear marmoset),94.4603629417383,989.0,0,1102
HMX1,Sus scrofa (Pig - Hampshire),92.68755935422602,976.0,0,1124
HMX1,Sarcophilus harrisii (Tasmanian devil),75.57392102846649,823.0,0,1313
HMX1,Equus asinus (Donkey),92.16809933142312,965.0,0,1123
HMX1,Equus caballus (Horse),91.97707736389685,963.0,0,1125
HMX1,Cebus imitator (Panamanian white-faced capuchin),94.36485195797518,988.0,0,1100
HMX1,Rattus norvegicus (Rat),84.62273161413563,886.0,0,1163
HMX1,Mus musculus (Mouse),84.43170964660936,884.0,0,1162
HMX2,Tetraodon nigroviridis (Tetraodon),77.37226277372264,636.0,0,1008
HMX2,Lepisosteus oculatus (Spotted gar),73.60097323600974,605.0,0,1036
HMX2,Poecilia formosa (Amazon molly),78.46715328467153,645.0,0,996
HMX2,Loxodonta africana (Elephant),91.97080291970804,756.0,0,885
HMX2,Pteropus vampyrus (Megabat),94.28223844282239,775.0,0,869
HMX2,Mustela putorius furo (Ferret),94.16058394160584,774.0,0,867
HMX2,Dasypus novemcinctus (Armadillo),95.01216545012166,781.0,0,860
HMX2,Otolemur garnettii (Bushbaby),92.94403892944038,764.0,0,880
HMX2,Chlorocebus sabaeus (Vervet-AGM),97.5669099756691,802.0,0,842
HMX2,Ochotona princeps (Pika),71.53284671532847,588.0,0,1044
HMX2,Pelodiscus sinensis (Chinese softshell turtle),77.53623188405797,642.0,0,1008
HMX2,Procavia capensis (Hyrax),91.48418491484185,752.0,0,892
HMX2,Choloepus hoffmanni (Sloth),84.42822384428223,694.0,0,872
HMX2,Notamacropus eugenii (Wallaby),79.63636363636364,657.0,0,990
HMX2,Cavia porcellus (Guinea Pig),91.97080291970804,756.0,0,888
HMX2,Chinchilla lanigera (Long-tailed chinchilla),92.7007299270073,762.0,0,882
HMX2,Microtus ochrogaster (Prairie vole),91.6058394160584,753.0,0,891
HMX2,Ictidomys tridecemlineatus (Squirrel),93.30900243309003,767.0,0,877
HMX2,Cricetulus griseus (Chinese hamster CriGri),91.48418491484185,752.0,0,892
HMX2,Nomascus leucogenys (Gibbon),94.28223844282239,775.0,0,836
HMX2,Macaca nemestrina (Pig-tailed macaque),96.95863746958638,797.0,0,847
HMX2,Cercocebus atys (Sooty mangabey),97.5669099756691,802.0,0,842
HMX2,Mus spretus (Algerian mouse),90.14598540145985,741.0,0,900
HMX2,Mus pahari (Shrew mouse),90.63260340632603,745.0,0,896
HMX2,Mus caroli (Ryukyu mouse),90.75425790754258,746.0,0,895
HMX2,Capra hircus (Goat (black bengal)),93.81818181818183,774.0,0,873
