Species,Similarity
Pan troglodytes (Chimpanzee),99.34548381234262
Gorilla gorilla gorilla (Gorilla),99.29745307266921
Pongo abelii (Sumatran orangutan),98.04839421554118
Cercocebus atys (Sooty mangabey),97.02029615822718
Chlorocebus sabaeus (Vervet-AGM),96.73863518691107
Macaca nemestrina (Pig-tailed macaque),96.60634772703739
Macaca mulatta (Macaque),96.60634772703739
Rhinopithecus bieti (Black snub-nosed monkey),95.25014928473142
Aotus nancymaae (Ma's night monkey),95.01570735000129
Cebus imitator (Panamanian white-faced capuchin),94.33107459044058
Callithrix jacchus (White-tufted-ear marmoset),94.12103746397693
Microcebus murinus (Mouse Lemur),92.247319365475
Propithecus coquereli (Coquerel's sifaka),92.18137445803151
Papio anubis (Olive baboon),91.96545382591893
Felis catus (Cat),91.63512215385413
Panthera leo (Lion),91.63512215385413
Panthera pardus (Leopard),91.63512215385413
Prolemur simus (Greater bamboo lemur),91.4725965158242
Physeter catodon (Sperm whale),90.62004698107849
Equus asinus (Donkey),90.58855417021607
Monodon monoceros (Narwhal),90.51795311161305
Canis lupus familiaris (Dog - Boxer),90.4111804111804
Delphinapterus leucas (Beluga whale),89.95444307944308
Phocoena sinus (Vaquita),89.93822393822393
Urocitellus parryii (Arctic ground squirrel),89.81540618428227
Moschus moschiferus (Siberian musk deer),89.78507078507079
Sciurus vulgaris (Eurasian red squirrel),89.6653425760054
Ovis aries (Sheep),89.48101948101949
Bos grunniens (Domestic yak),89.46718146718146
Capra hircus (Goat (black bengal)),89.33856933856934
Bos taurus (Cow),89.319602889008
Catagonus wagneri (Chacoan peccary),89.29915588941377
Otolemur garnettii (Bushbaby),89.02250954124153
Sus scrofa (Pig - Hampshire),88.36825297920399
Rhinopithecus roxellana (Golden snub-nosed monkey),87.57120232624555
Rhinolophus ferrumequinum (Greater horseshoe bat),86.97510190305579
Pan paniscus (Bonobo),85.28260248721344
Macaca fascicularis (Crab-eating macaque),84.67740986884667
Ursus americanus (American black bear),83.67162551600592
Ictidomys tridecemlineatus (Squirrel),81.30799387283537
Bos indicus x Bos taurus (Hybrid - Bos Taurus),80.44725596581361
Cervus hanglu yarkandensis (Yarkand deer),80.39262574856419
Procavia capensis (Hyrax),77.74696887088818
Dasypus novemcinctus (Armadillo),77.40499598755548
Bos mutus (Wild yak),67.77670527670529
Tursiops truncatus (Dolphin),65.53859334839163
Nomascus leucogenys (Gibbon),48.64864864864865
Mandrillus leucophaeus (Drill),48.46846846846846
Balaenoptera musculus (Blue whale),45.70349386213409
Heterocephalus glaber (Naked mole-rat),45.58117195004803
Ailuropoda melanoleuca (Giant panda),45.13513513513514
Octodon degus (Degu),45.05283381364073
Vulpes vulpes (Red fox),44.77477477477477
Neovison vison (American mink),44.77477477477477
Equus caballus (Horse),44.77477477477477
Camelus dromedarius (Arabian camel),44.68468468468468
Loxodonta africana (Elephant),43.94812680115274
Peromyscus maniculatus bairdii (Northern American deer mouse),43.900096061479346
Dipodomys ordii (Kangaroo rat),43.707973102785786
Nannospalax galili (Upper Galilee mountains blind mole rat),43.486590038314176
Myotis lucifugus (Microbat),43.15315315315315
Microtus ochrogaster (Prairie vole),42.93948126801153
Cavia porcellus (Guinea Pig),42.89145052833814
Cricetulus griseus (Chinese hamster CriGri),42.89145052833814
Mus musculus (Mouse),42.84341978866475
Mesocricetus auratus (Golden Hamster),42.84341978866475
Mus pahari (Shrew mouse),42.79538904899135
Mus caroli (Ryukyu mouse),42.74735830931796
Mus spicilegus (Steppe mouse),42.74735830931796
Rattus norvegicus (Rat),42.69932756964457
Mus spretus (Algerian mouse),42.45917387127761
Coturnix japonica (Japanese quail),40.29779058597502
Ornithorhynchus anatinus (Platypus),40.05681818181818
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),39.28914505283381
Gallus gallus (Chicken),39.145052833813644
Mustela putorius furo (Ferret),39.00096061479347
Monodelphis domestica (Opossum),38.75114784205693
Aquila chrysaetos chrysaetos (Golden eagle),38.66474543707973
Strigops habroptila (Kakapo),38.42459173871278
Erinaceus europaeus (Hedgehog),38.328530259366
Notamacropus eugenii (Wallaby),38.328530259366
Bison bison bison (American bison),38.288288288288285
Parus major (Great Tit),37.512007684918345
Taeniopygia guttata (Zebra finch),37.46397694524496
Sarcophilus harrisii (Tasmanian devil),36.887608069164266
Terrapene carolina triunguis (Three-toed box turtle),36.64745437079731
Gopherus evgoodei (Goodes thornscrub tortoise),36.40730067243035
Sphenodon punctatus (Tuatara),35.87896253602306
Pelodiscus sinensis (Chinese softshell turtle),35.6388088376561
Podarcis muralis (Common wall lizard),35.590778097982714
Chinchilla lanigera (Long-tailed chinchilla),35.1104707012488
Pteropus vampyrus (Megabat),34.43804034582133
Latimeria chalumnae (Coelacanth),31.12391930835735
Geospiza fortis (Medium ground-finch),30.883765609990395
Jaculus jaculus (Lesser Egyptian jerboa),30.11527377521614
Tupaia belangeri (Tree Shrew),28.482228626320843
Anas platyrhynchos (Mallard),28.24207492795389
Anser brachyrhynchus (Pink-footed goose),27.915869980879542
Serinus canaria (Common canary),27.761767531219984
Chelonoidis abingdonii (Abingdon island giant tortoise),24.25552353506244
Marmota marmota marmota (Alpine marmot),24.207492795389047
Chrysemys picta bellii (Painted turtle),24.15946205571566
Sorex araneus (Shrew),23.34293948126801
Echinops telfairi (Lesser hedgehog tenrec),22.76657060518732
Ochotona princeps (Pika),22.478386167146976
