Species,Similarity
Canis lupus familiaris (Dog - Boxer),358.256389341094
Pan troglodytes (Chimpanzee),198.62423657987785
Gorilla gorilla gorilla (Gorilla),198.0370727525983
Pan paniscus (Bonobo),198.01350048216008
Pongo abelii (Sumatran orangutan),196.72774027643845
Rhinopithecus roxellana (Golden snub-nosed monkey),195.85556627022393
Rhinopithecus bieti (Black snub-nosed monkey),195.85556627022393
Macaca nemestrina (Pig-tailed macaque),195.37554912675452
Macaca mulatta (Macaque),195.2662595092682
Mandrillus leucophaeus (Drill),195.13554055501982
Papio anubis (Olive baboon),195.02625093753346
Chlorocebus sabaeus (Vervet-AGM),194.89553198328508
Cercocebus atys (Sooty mangabey),194.43694417657773
Nomascus leucogenys (Gibbon),193.96121290046074
Cebus imitator (Panamanian white-faced capuchin),192.6925961641487
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),192.03685845923073
Prolemur simus (Greater bamboo lemur),187.5645558769956
Microcebus murinus (Mouse Lemur),186.7588128147434
Monodon monoceros (Narwhal),184.94803385835212
Balaenoptera musculus (Blue whale),184.7744562305797
Phocoena sinus (Vaquita),184.66516661309333
Otolemur garnettii (Bushbaby),184.29015321975783
Bos indicus x Bos taurus (Hybrid - Bos Taurus),184.14229079609987
Bison bison bison (American bison),184.0115718418515
Bos taurus (Cow),184.0115718418515
Physeter catodon (Sperm whale),183.94514089788925
Camelus dromedarius (Arabian camel),183.83282103825135
Equus asinus (Donkey),183.72656166291654
Capra hircus (Goat (black bengal)),183.66227365263046
Sus scrofa (Pig - Hampshire),183.46512375441984
Ovis aries (Sheep),183.37690631808277
Rhinolophus ferrumequinum (Greater horseshoe bat),183.18225650916105
Panthera leo (Lion),183.02796528447448
Panthera pardus (Leopard),183.02796528447448
Myotis lucifugus (Microbat),182.78795671273974
Panthera tigris altaica (Tiger),182.76652737597772
Vulpes vulpes (Red fox),182.7450980392157
Moschus moschiferus (Siberian musk deer),182.63366548805317
Ailuropoda melanoleuca (Giant panda),182.5929497482053
Ursus maritimus (Polar bear),182.54794814100507
Carlito syrichta (Tarsier),182.48580306439516
Ursus americanus (American black bear),182.41722918675669
Catagonus wagneri (Chacoan peccary),182.26722382942245
Loxodonta africana (Elephant),182.24150862530806
Macaca fascicularis (Crab-eating macaque),182.200047517225
Aotus nancymaae (Ma's night monkey),182.17274284316127
Dasypus novemcinctus (Armadillo),181.78506375227687
Mustela putorius furo (Ferret),181.58791385406622
Neovison vison (American mink),181.4143362262938
Marmota marmota marmota (Alpine marmot),181.3221900782171
Urocitellus parryii (Arctic ground squirrel),181.03932283295833
Sciurus vulgaris (Eurasian red squirrel),180.64716597021322
Jaculus jaculus (Lesser Egyptian jerboa),177.8784956605593
Oryctolagus cuniculus (Rabbit),177.74563377263473
Nannospalax galili (Upper Galilee mountains blind mole rat),176.7855994856959
Dipodomys ordii (Kangaroo rat),176.48558877102755
Mus musculus (Mouse),175.8919961427194
Bos mutus (Wild yak),175.55199474095076
Mus spicilegus (Steppe mouse),175.54269795349836
Mus caroli (Ryukyu mouse),175.15054109075322
Ochotona princeps (Pika),175.06268081002892
Mus spretus (Algerian mouse),174.88910318225652
Chinchilla lanigera (Long-tailed chinchilla),174.76695596271296
Peromyscus maniculatus bairdii (Northern American deer mouse),174.45623057966355
Rattus norvegicus (Rat),174.19264973749063
Mus pahari (Shrew mouse),173.88621022179365
Cervus hanglu yarkandensis (Yarkand deer),173.28507040006377
Cricetulus griseus (Chinese hamster CriGri),173.25618772099006
Microtus ochrogaster (Prairie vole),172.79759991428267
Mesocricetus auratus (Golden Hamster),172.38401371477553
Ictidomys tridecemlineatus (Squirrel),171.73684774456228
Octodon degus (Degu),170.73181185042324
Callithrix jacchus (White-tufted-ear marmoset),96.28415300546447
Tursiops truncatus (Dolphin),94.09836065573772
Pteropus vampyrus (Megabat),94.09836065573772
Delphinapterus leucas (Beluga whale),94.09836065573772
Heterocephalus glaber (Naked mole-rat),91.14754098360656
Erinaceus europaeus (Hedgehog),91.03825136612022
Cavia porcellus (Guinea Pig),90.3825136612022
Equus caballus (Horse),90.32679738562092
Choloepus hoffmanni (Sloth),89.15032679738563
Vicugna pacos (Alpaca),87.21311475409837
Terrapene carolina triunguis (Three-toed box turtle),86.77595628415301
Chelonoidis abingdonii (Abingdon island giant tortoise),86.66666666666667
Chrysemys picta bellii (Painted turtle),86.55737704918033
Gopherus evgoodei (Goodes thornscrub tortoise),86.12021857923497
Sphenodon punctatus (Tuatara),85.90163934426229
Pelodiscus sinensis (Chinese softshell turtle),85.90163934426229
Anser brachyrhynchus (Pink-footed goose),85.90163934426229
Anas platyrhynchos (Mallard),85.68306010928963
Struthio camelus australis (African ostrich),85.68306010928963
Gallus gallus (Chicken),85.57377049180329
Strigops habroptila (Kakapo),85.46448087431693
Coturnix japonica (Japanese quail),85.46448087431693
Aquila chrysaetos chrysaetos (Golden eagle),85.13661202185793
Ficedula albicollis (Collared flycatcher),85.13661202185793
Crocodylus porosus (Australian saltwater crocodile),85.02732240437159
Sorex araneus (Shrew),84.83660130718954
Taeniopygia guttata (Zebra finch),84.80874316939891
