Variant Name,Species,Similarity,Score,Start,End
VSX1,Myotis lucifugus (Microbat),81.3296903460838,893.0,0,1291
VSX1,Loxodonta africana (Elephant),82.14936247723132,902.0,0,1285
VSX1,Chlorocebus sabaeus (Vervet-AGM),95.18619436875568,1048.0,0,1151
VSX1,Mustela putorius furo (Ferret),84.15300546448088,924.0,0,1266
VSX1,Dasypus novemcinctus (Armadillo),81.72043010752688,912.0,0,1302
VSX1,Otolemur garnettii (Bushbaby),84.79052823315118,931.0,0,1232
VSX1,Tursiops truncatus (Dolphin),85.15482695810564,935.0,0,1261
VSX1,Ochotona princeps (Pika),82.05828779599271,901.0,0,1280
VSX1,Ictidomys tridecemlineatus (Squirrel),86.33879781420765,948.0,0,1248
VSX1,Macaca nemestrina (Pig-tailed macaque),96.08378870673953,1055.0,0,1141
VSX1,Cercocebus atys (Sooty mangabey),95.99271402550092,1054.0,0,1142
VSX1,Mus spretus (Algerian mouse),80.32786885245902,882.0,0,1305
VSX1,Capra hircus (Goat (black bengal)),84.51730418943534,928.0,0,1268
VSX1,Mus spicilegus (Steppe mouse),80.7832422586521,887.0,0,1309
VSX1,Neovison vison (American mink),84.51730418943534,928.0,0,1265
VSX1,Peromyscus maniculatus bairdii (Northern American deer mouse),80.14571948998179,880.0,0,1289
VSX1,Bos taurus (Cow),84.2440801457195,925.0,0,1271
VSX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),84.2440801457195,925.0,0,1271
VSX1,Gorilla gorilla gorilla (Gorilla),98.81602914389799,1085.0,0,1111
VSX1,Prolemur simus (Greater bamboo lemur),91.16575591985429,1001.0,0,1195
VSX1,Propithecus coquereli (Coquerel's sifaka),90.37238873751136,995.0,0,1204
VSX1,Aotus nancymaae (Ma's night monkey),93.53369763205829,1027.0,0,1166
VSX1,Rhinopithecus roxellana (Golden snub-nosed monkey),95.90163934426229,1053.0,0,1143
VSX1,Pan troglodytes (Chimpanzee),99.27140255009107,1090.0,0,1106
VSX1,Mesocricetus auratus (Golden Hamster),80.05464480874316,879.0,0,1293
VSX1,Marmota marmota marmota (Alpine marmot),84.2440801457195,925.0,0,1244
VSX1,Microcebus murinus (Mouse Lemur),90.09990917347865,992.0,0,1207
VSX1,Rhinopithecus bieti (Black snub-nosed monkey),95.99271402550092,1054.0,0,1142
VSX1,Ursus americanus (American black bear),86.42987249544628,949.0,0,1244
VSX1,Urocitellus parryii (Arctic ground squirrel),84.2440801457195,925.0,0,1238
VSX1,Panthera pardus (Leopard),85.33697632058288,937.0,0,1256
VSX1,Dipodomys ordii (Kangaroo rat),85.15482695810564,935.0,0,1261
VSX1,Canis lupus familiaris (Dog - Boxer),85.51912568306011,939.0,0,1251
VSX1,Pan paniscus (Bonobo),99.18032786885246,1089.0,0,1107
VSX1,Monodon monoceros (Narwhal),86.0655737704918,945.0,0,1251
VSX1,Cervus hanglu yarkandensis (Yarkand deer),84.79052823315118,931.0,0,1265
VSX1,Balaenoptera musculus (Blue whale),86.15664845173042,946.0,0,1250
VSX1,Ovis aries (Sheep),84.15300546448088,924.0,0,1272
VSX1,Phocoena sinus (Vaquita),85.61020036429873,940.0,0,1256
VSX1,Sciurus vulgaris (Eurasian red squirrel),85.63685636856368,948.0,0,1257
VSX1,Bos grunniens (Domestic yak),84.06193078324226,923.0,0,1273
VSX1,Camelus dromedarius (Arabian camel),83.1511839708561,913.0,0,1274
VSX1,Panthera leo (Lion),85.33697632058288,937.0,0,1256
VSX1,Macaca mulatta (Macaque),96.08378870673953,1055.0,0,1141
VSX1,Catagonus wagneri (Chacoan peccary),84.97267759562843,933.0,0,1260
VSX1,Moschus moschiferus (Siberian musk deer),84.51730418943534,928.0,0,1268
VSX1,Physeter catodon (Sperm whale),85.61020036429873,940.0,0,1256
VSX1,Delphinapterus leucas (Beluga whale),85.88342440801458,943.0,0,1253
VSX1,Macaca fascicularis (Crab-eating macaque),95.71948998178506,1051.0,0,1139
VSX1,Felis catus (Cat),85.51912568306011,939.0,0,1254
VSX1,Callithrix jacchus (White-tufted-ear marmoset),93.71584699453553,1029.0,0,1164
VSX1,Canis lupus familiaris (Dog - Boxer),85.33697632058288,937.0,0,1253
VSX1,Pongo abelii (Sumatran orangutan),97.0856102003643,1066.0,0,1130
VSX1,Papio anubis (Olive baboon),96.17486338797814,1056.0,0,1140
VSX1,Sus scrofa (Pig - Hampshire),84.69945355191257,930.0,0,1263
VSX1,Equus asinus (Donkey),87.24954462659382,958.0,0,1238
VSX1,Equus caballus (Horse),87.43169398907104,960.0,0,1236
VSX1,Mus musculus (Mouse),80.05464480874316,879.0,0,1311
VSX1,Rattus norvegicus (Rat),80.54054054054053,894.0,0,1314
VSX1,Cebus imitator (Panamanian white-faced capuchin),93.35154826958106,1025.0,0,1168
VSX2,Myotis lucifugus (Microbat),88.01399825021873,1006.0,0,1223
VSX2,Loxodonta africana (Elephant),88.85964912280701,1013.0,0,1213
VSX2,Pteropus vampyrus (Megabat),92.08103130755065,1000.0,0,1172
VSX2,Otolemur garnettii (Bushbaby),89.63360142984807,1003.0,0,1202
VSX2,Chlorocebus sabaeus (Vervet-AGM),98.25046040515653,1067.0,0,1105
VSX2,Mustela putorius furo (Ferret),88.9763779527559,1017.0,0,1212
VSX2,Ochotona princeps (Pika),88.76712328767124,972.0,0,1209
VSX2,Notamacropus eugenii (Wallaby),83.87681159420289,926.0,0,1264
VSX2,Cavia porcellus (Guinea Pig),88.94736842105263,1014.0,0,1212
VSX2,Microtus ochrogaster (Prairie vole),92.08103130755065,1000.0,0,1172
VSX2,Ictidomys tridecemlineatus (Squirrel),93.73848987108656,1018.0,0,1154
VSX2,Cricetulus griseus (Chinese hamster CriGri),87.31408573928259,998.0,0,1231
VSX2,Cercocebus atys (Sooty mangabey),98.52670349907919,1070.0,0,1102
VSX2,Macaca nemestrina (Pig-tailed macaque),98.15837937384899,1066.0,0,1106
VSX2,Nomascus leucogenys (Gibbon),98.71086556169429,1072.0,0,1100
VSX2,Mus pahari (Shrew mouse),87.19298245614036,994.0,0,1232
VSX2,Mus caroli (Ryukyu mouse),87.45614035087719,997.0,0,1229
VSX2,Mus spretus (Algerian mouse),87.19298245614036,994.0,0,1232
VSX2,Capra hircus (Goat (black bengal)),84.5303867403315,918.0,0,1173
VSX2,Vulpes vulpes (Red fox),90.11373578302712,1030.0,0,1199
VSX2,Neovison vison (American mink),93.646408839779,1017.0,0,1155
VSX2,Anser brachyrhynchus (Pink-footed goose),80.6282722513089,924.0,0,1308
VSX2,Phascolarctos cinereus (Koala),84.27672955974843,938.0,0,1261
VSX2,Bos mutus (Wild yak),92.08103130755065,1000.0,0,1172
VSX2,Chelonoidis abingdonii (Abingdon island giant tortoise),80.35087719298247,916.0,0,1310
VSX2,Mus spicilegus (Steppe mouse),87.22659667541556,997.0,0,1232
VSX2,Coturnix japonica (Japanese quail),80.7017543859649,920.0,0,1306
VSX2,Bos taurus (Cow),91.804788213628,997.0,0,1175
VSX2,Peromyscus maniculatus bairdii (Northern American deer mouse),88.27646544181977,1009.0,0,1220
VSX2,Bos indicus x Bos taurus (Hybrid - Bos Taurus),91.52854511970534,994.0,0,1178
VSX2,Strigops habroptila (Kakapo),80.20833333333334,924.0,0,1314
VSX2,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),98.25046040515653,1067.0,0,1105
VSX2,Chrysemys picta bellii (Painted turtle),80.78947368421052,921.0,0,1305
VSX2,Propithecus coquereli (Coquerel's sifaka),95.30386740331491,1035.0,0,1134
