Variant Name,Species,Similarity,Score,Start,End
DRGX,Myotis lucifugus (Microbat),88.0050505050505,697.0,0,884
DRGX,Loxodonta africana (Elephant),90.31446540880503,718.0,0,869
DRGX,Pteropus vampyrus (Megabat),89.14141414141415,706.0,0,878
DRGX,Dasypus novemcinctus (Armadillo),88.13131313131312,698.0,0,883
DRGX,Mustela putorius furo (Ferret),90.27777777777779,715.0,0,869
DRGX,Chlorocebus sabaeus (Vervet-AGM),97.22222222222221,770.0,0,814
DRGX,Otolemur garnettii (Bushbaby),90.40404040404042,716.0,0,859
DRGX,Tursiops truncatus (Dolphin),91.03535353535354,721.0,0,863
DRGX,Tupaia belangeri (Tree Shrew),91.28787878787878,723.0,0,861
DRGX,Echinops telfairi (Lesser hedgehog tenrec),87.62626262626263,694.0,0,881
DRGX,Erinaceus europaeus (Hedgehog),83.58585858585859,662.0,0,880
DRGX,Procavia capensis (Hyrax),88.51010101010101,701.0,0,883
DRGX,Notamacropus eugenii (Wallaby),83.58585858585859,662.0,0,913
DRGX,Cavia porcellus (Guinea Pig),85.47979797979798,677.0,0,907
DRGX,Ictidomys tridecemlineatus (Squirrel),90.78282828282829,719.0,0,865
DRGX,Chinchilla lanigera (Long-tailed chinchilla),87.21804511278195,696.0,0,894
DRGX,Microtus ochrogaster (Prairie vole),89.26767676767676,707.0,0,877
DRGX,Cricetulus griseus (Chinese hamster CriGri),89.52020202020202,709.0,0,875
DRGX,Macaca nemestrina (Pig-tailed macaque),97.34848484848484,771.0,0,813
DRGX,Cercocebus atys (Sooty mangabey),97.22222222222221,770.0,0,814
DRGX,Nomascus leucogenys (Gibbon),96.71717171717171,766.0,0,818
DRGX,Mus caroli (Ryukyu mouse),90.27777777777779,715.0,0,866
DRGX,Mus spretus (Algerian mouse),89.64646464646465,710.0,0,871
DRGX,Capra hircus (Goat (black bengal)),88.88888888888889,704.0,0,880
DRGX,Mus pahari (Shrew mouse),89.52020202020202,709.0,0,872
DRGX,Panthera tigris altaica (Tiger),86.36363636363636,684.0,0,900
DRGX,Vulpes vulpes (Red fox),87.75252525252525,695.0,0,889
DRGX,Bos mutus (Wild yak),89.64646464646465,710.0,0,874
DRGX,Phascolarctos cinereus (Koala),82.95454545454545,657.0,0,918
DRGX,Neovison vison (American mink),90.53030303030303,717.0,0,867
DRGX,Anser brachyrhynchus (Pink-footed goose),80.93434343434343,641.0,0,934
DRGX,Mus spicilegus (Steppe mouse),90.78282828282829,719.0,0,865
DRGX,Coturnix japonica (Japanese quail),81.43939393939394,645.0,0,930
DRGX,Peromyscus maniculatus bairdii (Northern American deer mouse),90.15151515151516,714.0,0,870
DRGX,Crocodylus porosus (Australian saltwater crocodile),80.8080808080808,640.0,0,938
DRGX,Bos taurus (Cow),89.39393939393939,708.0,0,876
DRGX,Bos indicus x Bos taurus (Hybrid - Bos Taurus),89.64646464646465,710.0,0,874
DRGX,Aquila chrysaetos chrysaetos (Golden eagle),81.31313131313132,644.0,0,931
DRGX,Taeniopygia guttata (Zebra finch),82.07070707070707,650.0,0,925
DRGX,Strigops habroptila (Kakapo),80.8080808080808,640.0,0,938
DRGX,Nannospalax galili (Upper Galilee mountains blind mole rat),91.16161616161617,722.0,0,862
DRGX,Serinus canaria (Common canary),81.43939393939394,645.0,0,933
DRGX,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),95.45454545454545,756.0,0,828
DRGX,Aotus nancymaae (Ma's night monkey),96.21212121212122,762.0,0,822
DRGX,Jaculus jaculus (Lesser Egyptian jerboa),89.77272727272727,711.0,0,873
DRGX,Pan troglodytes (Chimpanzee),99.62121212121212,789.0,0,795
DRGX,Prolemur simus (Greater bamboo lemur),92.67676767676768,734.0,0,850
DRGX,Anas platyrhynchos (Mallard),80.68181818181817,639.0,0,936
DRGX,Propithecus coquereli (Coquerel's sifaka),92.42424242424242,732.0,0,852
DRGX,Chrysemys picta bellii (Painted turtle),80.42929292929293,637.0,0,941
DRGX,Bison bison bison (American bison),89.77272727272727,711.0,0,873
DRGX,Gorilla gorilla gorilla (Gorilla),99.11616161616162,785.0,0,799
DRGX,Rhinopithecus bieti (Black snub-nosed monkey),97.22222222222221,770.0,0,814
DRGX,Ursus americanus (American black bear),90.15151515151516,714.0,0,870
DRGX,Mesocricetus auratus (Golden Hamster),89.26767676767676,707.0,0,871
DRGX,Marmota marmota marmota (Alpine marmot),90.53030303030303,717.0,0,867
DRGX,Pan paniscus (Bonobo),99.62121212121212,789.0,0,795
DRGX,Panthera pardus (Leopard),90.40404040404042,716.0,0,868
DRGX,Microcebus murinus (Mouse Lemur),92.2979797979798,731.0,0,853
DRGX,Geospiza fortis (Medium ground-finch),80.17676767676768,635.0,0,931
DRGX,Rhinopithecus roxellana (Golden snub-nosed monkey),97.09595959595958,769.0,0,815
DRGX,Urocitellus parryii (Arctic ground squirrel),91.16161616161617,722.0,0,862
DRGX,Octodon degus (Degu),86.23737373737373,683.0,0,901
DRGX,Dipodomys ordii (Kangaroo rat),88.76262626262627,703.0,0,881
DRGX,Mandrillus leucophaeus (Drill),97.09595959595958,769.0,0,815
DRGX,Canis lupus familiaris (Dog - Boxer),87.62626262626263,694.0,0,890
DRGX,Carlito syrichta (Tarsier),91.03535353535354,721.0,0,863
DRGX,Cervus hanglu yarkandensis (Yarkand deer),90.15151515151516,714.0,0,870
DRGX,Monodon monoceros (Narwhal),91.28787878787878,723.0,0,861
DRGX,Balaenoptera musculus (Blue whale),90.9090909090909,720.0,0,864
DRGX,Phocoena sinus (Vaquita),91.03535353535354,721.0,0,863
DRGX,Ovis aries (Sheep),88.63636363636364,702.0,0,882
DRGX,Sciurus vulgaris (Eurasian red squirrel),90.9090909090909,720.0,0,864
DRGX,Vombatus ursinus (Common wombat),82.44949494949495,653.0,0,922
DRGX,Catagonus wagneri (Chacoan peccary),89.77272727272727,711.0,0,873
DRGX,Terrapene carolina triunguis (Three-toed box turtle),80.68181818181817,639.0,0,939
DRGX,Rhinolophus ferrumequinum (Greater horseshoe bat),89.64646464646465,710.0,0,874
DRGX,Monodelphis domestica (Opossum),83.33333333333334,660.0,0,915
DRGX,Bos grunniens (Domestic yak),89.77272727272727,711.0,0,873
DRGX,Camelus dromedarius (Arabian camel),90.65656565656566,718.0,0,866
DRGX,Ornithorhynchus anatinus (Platypus),81.18686868686868,643.0,0,935
DRGX,Macaca mulatta (Macaque),97.34848484848484,771.0,0,813
DRGX,Panthera leo (Lion),90.27777777777779,715.0,0,869
DRGX,Moschus moschiferus (Siberian musk deer),89.52020202020202,709.0,0,875
DRGX,Physeter catodon (Sperm whale),90.9090909090909,720.0,0,864
DRGX,Gopherus evgoodei (Goodes thornscrub tortoise),80.55555555555556,638.0,0,940
DRGX,Delphinapterus leucas (Beluga whale),89.52020202020202,709.0,0,869
DRGX,Felis catus (Cat),90.062893081761,716.0,0,871
DRGX,Ailuropoda melanoleuca (Giant panda),90.27777777777779,715.0,0,869
DRGX,Macaca fascicularis (Crab-eating macaque),97.34848484848484,771.0,0,813
