Variant Name,Species,Similarity,Score,Start,End
LHX1,Myotis lucifugus (Microbat),95.33169533169533,1164.0,0,1278
LHX1,Latimeria chalumnae (Coelacanth),77.8050778050778,950.0,0,1492
LHX1,Loxodonta africana (Elephant),93.12039312039312,1137.0,0,1305
LHX1,Chlorocebus sabaeus (Vervet-AGM),97.70679770679772,1193.0,0,1249
LHX1,Mustela putorius furo (Ferret),93.2022932022932,1138.0,0,1304
LHX1,Otolemur garnettii (Bushbaby),93.62745098039215,1146.0,0,1299
LHX1,Dasypus novemcinctus (Armadillo),94.34889434889435,1152.0,0,1290
LHX1,Tursiops truncatus (Dolphin),94.5945945945946,1155.0,0,1287
LHX1,Ochotona princeps (Pika),77.8050778050778,950.0,0,1480
LHX1,Pelodiscus sinensis (Chinese softshell turtle),84.35708435708436,1030.0,0,1412
LHX1,Sorex araneus (Shrew),73.3005733005733,895.0,0,1544
LHX1,Erinaceus europaeus (Hedgehog),91.56429156429157,1118.0,0,1324
LHX1,Procavia capensis (Hyrax),76.003276003276,928.0,0,1514
LHX1,Chinchilla lanigera (Long-tailed chinchilla),93.03849303849304,1136.0,0,1306
LHX1,Cavia porcellus (Guinea Pig),92.38329238329239,1128.0,0,1314
LHX1,Cricetulus griseus (Chinese hamster CriGri),90.00819000819,1099.0,0,1343
LHX1,Microtus ochrogaster (Prairie vole),90.58149058149058,1106.0,0,1336
LHX1,Ictidomys tridecemlineatus (Squirrel),92.21949221949221,1126.0,0,1316
LHX1,Nomascus leucogenys (Gibbon),85.58558558558559,1045.0,0,1235
LHX1,Cercocebus atys (Sooty mangabey),98.11629811629811,1198.0,0,1244
LHX1,Macaca nemestrina (Pig-tailed macaque),98.11629811629811,1198.0,0,1244
LHX1,Capra hircus (Goat (black bengal)),94.26699426699426,1151.0,0,1291
LHX1,Mus spretus (Algerian mouse),88.94348894348894,1086.0,0,1353
LHX1,Mus caroli (Ryukyu mouse),89.27108927108927,1090.0,0,1349
LHX1,Mus pahari (Shrew mouse),88.77968877968878,1084.0,0,1355
LHX1,Panthera tigris altaica (Tiger),75.51187551187552,922.0,0,1445
LHX1,Vulpes vulpes (Red fox),93.69369369369369,1144.0,0,1298
LHX1,Sphenodon punctatus (Tuatara),84.52088452088452,1032.0,0,1410
LHX1,Neovison vison (American mink),93.28419328419328,1139.0,0,1303
LHX1,Chelonoidis abingdonii (Abingdon island giant tortoise),83.29238329238329,1017.0,0,1425
LHX1,Bos mutus (Wild yak),94.1031941031941,1149.0,0,1293
LHX1,Notechis scutatus (Mainland tiger snake),75.51187551187552,922.0,0,1469
LHX1,Phascolarctos cinereus (Koala),88.6977886977887,1083.0,0,1359
LHX1,Anser brachyrhynchus (Pink-footed goose),87.46928746928747,1068.0,0,1374
LHX1,Mus spicilegus (Steppe mouse),89.1072891072891,1088.0,0,1354
LHX1,Salvator merianae (Argentine black and white tegu),81.08108108108108,990.0,0,1452
LHX1,Crocodylus porosus (Australian saltwater crocodile),86.15888615888616,1052.0,0,1390
LHX1,Peromyscus maniculatus bairdii (Northern American deer mouse),90.25389025389026,1102.0,0,1340
LHX1,Bos taurus (Cow),94.1031941031941,1149.0,0,1293
LHX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),94.1031941031941,1149.0,0,1293
LHX1,Aquila chrysaetos chrysaetos (Golden eagle),86.24078624078624,1053.0,0,1389
LHX1,Taeniopygia guttata (Zebra finch),87.22358722358723,1065.0,0,1377
LHX1,Strigops habroptila (Kakapo),86.48648648648648,1056.0,0,1386
LHX1,Nannospalax galili (Upper Galilee mountains blind mole rat),90.74529074529075,1108.0,0,1334
LHX1,Prolemur simus (Greater bamboo lemur),94.92219492219492,1159.0,0,1283
LHX1,Jaculus jaculus (Lesser Egyptian jerboa),91.64619164619164,1119.0,0,1323
LHX1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),90.81245254365984,1196.0,0,1342
LHX1,Propithecus coquereli (Coquerel's sifaka),95.74119574119574,1169.0,0,1273
LHX1,Serinus canaria (Common canary),79.85257985257985,975.0,0,1383
LHX1,Aotus nancymaae (Ma's night monkey),97.37919737919738,1189.0,0,1253
LHX1,Pan troglodytes (Chimpanzee),99.67239967239966,1217.0,0,1225
LHX1,Gorilla gorilla gorilla (Gorilla),99.67239967239966,1217.0,0,1225
LHX1,Rhinopithecus bieti (Black snub-nosed monkey),98.28009828009829,1200.0,0,1242
LHX1,Anas platyrhynchos (Mallard),72.72727272727273,888.0,0,1335
LHX1,Chrysemys picta bellii (Painted turtle),83.04668304668304,1014.0,0,1428
LHX1,Ursus maritimus (Polar bear),88.94348894348894,1086.0,0,1323
LHX1,Bison bison bison (American bison),93.85749385749385,1146.0,0,1296
LHX1,Marmota marmota marmota (Alpine marmot),92.21949221949221,1126.0,0,1316
LHX1,Mesocricetus auratus (Golden Hamster),89.68058968058969,1095.0,0,1347
LHX1,Microcebus murinus (Mouse Lemur),95.98689598689599,1172.0,0,1270
LHX1,Ursus americanus (American black bear),94.1031941031941,1149.0,0,1293
