Species,Similarity
Pan troglodytes (Chimpanzee),100.0
Rhinopithecus bieti (Black snub-nosed monkey),98.769987699877
Pongo abelii (Sumatran orangutan),98.6469864698647
Cercocebus atys (Sooty mangabey),98.4009840098401
Macaca nemestrina (Pig-tailed macaque),98.2779827798278
Macaca mulatta (Macaque),98.2779827798278
Papio anubis (Olive baboon),98.2779827798278
Chlorocebus sabaeus (Vervet-AGM),97.7859778597786
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),96.8019680196802
Rhinopithecus roxellana (Golden snub-nosed monkey),96.4329643296433
Neovison vison (American mink),95.34313725490196
Equus asinus (Donkey),95.079950799508
Propithecus coquereli (Coquerel's sifaka),94.97549019607844
Ursus americanus (American black bear),94.95694956949568
Microcebus murinus (Mouse Lemur),94.85294117647058
Canis lupus familiaris (Dog - Boxer),94.8339483394834
Equus caballus (Horse),94.8339483394834
Prolemur simus (Greater bamboo lemur),94.6078431372549
Panthera pardus (Leopard),94.5879458794588
Phocoena sinus (Vaquita),94.4649446494465
Pan paniscus (Bonobo),94.4649446494465
Delphinapterus leucas (Beluga whale),94.3419434194342
Felis catus (Cat),94.3419434194342
Monodon monoceros (Narwhal),94.3419434194342
Physeter catodon (Sperm whale),94.2189421894219
Balaenoptera musculus (Blue whale),94.2189421894219
Cervus hanglu yarkandensis (Yarkand deer),94.11764705882352
Ovis aries (Sheep),94.11764705882352
Dasypus novemcinctus (Armadillo),94.017094017094
Rhinolophus ferrumequinum (Greater horseshoe bat),93.849938499385
Capra hircus (Goat (black bengal)),93.75
Moschus moschiferus (Siberian musk deer),93.62745098039215
Bos grunniens (Domestic yak),93.50490196078432
Bison bison bison (American bison),93.38235294117648
Heterocephalus glaber (Naked mole-rat),93.28449328449328
Bos taurus (Cow),93.25980392156865
Bos indicus x Bos taurus (Hybrid - Bos Taurus),93.25980392156865
Camelus dromedarius (Arabian camel),93.2349323493235
Otolemur garnettii (Bushbaby),93.1372549019608
Sus scrofa (Pig - Hampshire),92.98892988929887
Ictidomys tridecemlineatus (Squirrel),92.67399267399269
Catagonus wagneri (Chacoan peccary),92.3739237392374
Octodon degus (Degu),91.6359163591636
Pteropus vampyrus (Megabat),91.6058394160584
Nannospalax galili (Upper Galilee mountains blind mole rat),91.02091020910208
Dipodomys ordii (Kangaroo rat),90.96459096459095
Ailuropoda melanoleuca (Giant panda),90.28290282902827
Jaculus jaculus (Lesser Egyptian jerboa),89.79089790897909
Myotis lucifugus (Microbat),87.87878787878788
Chinchilla lanigera (Long-tailed chinchilla),86.46986469864699
Ochotona princeps (Pika),86.10086100861008
Aotus nancymaae (Ma's night monkey),84.62484624846248
Podarcis muralis (Common wall lizard),81.79581795817958
Pelodiscus sinensis (Chinese softshell turtle),81.30381303813039
Nomascus leucogenys (Gibbon),81.05781057810579
Taeniopygia guttata (Zebra finch),80.78291814946618
Chrysemys picta bellii (Painted turtle),80.7017543859649
Chelonoidis abingdonii (Abingdon island giant tortoise),80.46783625730994
Tursiops truncatus (Dolphin),80.44280442804428
Vulpes vulpes (Red fox),80.31980319803198
Terrapene carolina triunguis (Three-toed box turtle),80.23391812865496
Aquila chrysaetos chrysaetos (Golden eagle),79.74087161366313
Naja naja (Indian cobra),79.2892156862745
Notechis scutatus (Mainland tiger snake),79.2892156862745
Pseudonaja textilis (Eastern brown snake),79.04411764705883
Laticauda laticaudata (Blue-ringed sea krait),78.79901960784314
Mustela putorius furo (Ferret),77.85977859778598
Xenopus tropicalis (Tropical clawed frog),76.60606060606061
Gopherus evgoodei (Goodes thornscrub tortoise),76.13776137761377
Ficedula albicollis (Collared flycatcher),76.01476014760148
Scleropages formosus two (Asian bonytongue),75.76875768757687
Crocodylus porosus (Australian saltwater crocodile),75.71428571428571
Callorhinchus milii (Elephant shark),75.57160048134777
Cyprinodon variegatus (Sheepshead minnow),74.78474784747847
Electrophorus electricus (Electric eel),73.92373923739237
Ursus maritimus (Polar bear),73.80073800738008
Leptobrachium leishanense (Leishan spiny toad),73.37807606263982
Lepisosteus oculatus (Spotted gar),73.06763285024155
Scleropages formosus (Asian bonytongue),72.93972939729397
Ictalurus punctatus (Channel catfish),72.72727272727273
Latimeria chalumnae (Coelacanth),72.44283995186522
Paramormyrops kingsleyae (Paramormyrops kingsleyae),72.36363636363636
Erpetoichthys calabaricus (Reedfish),72.12121212121212
Oryzias javanicus (Javanese ricefish),71.54471544715447
Oncorhynchus mykiss (Rainbow trout),71.49587750294464
Oncorhynchus kisutch (Coho salmon),71.26030624263839
Choloepus hoffmanni (Sloth),71.21771217712177
Esox lucius (Northern pike),71.14252061248527
Serinus canaria (Common canary),71.09471094710948
Hucho hucho (Huchen),70.86247086247086
Salmo salar (Atlantic salmon),70.69988137603796
Ornithorhynchus anatinus (Platypus),70.11866235167206
Marmota marmota marmota (Alpine marmot),69.97549019607843
Myripristis murdjan (Pinecone soldierfish),69.57494407158836
Sander lucioperca (Pike-perch),69.44444444444444
Procavia capensis (Hyrax),67.39659367396594
Echinops telfairi (Lesser hedgehog tenrec),65.19065190651907
Callithrix jacchus (White-tufted-ear marmoset),56.896551724137936
Loxodonta africana (Elephant),53.62853628536285
Tupaia belangeri (Tree Shrew),51.90651906519065
Erinaceus europaeus (Hedgehog),46.37146371463714
Sorex araneus (Shrew),44.40344403444034
Anser brachyrhynchus (Pink-footed goose),40.420819490586936
Gorilla gorilla gorilla (Gorilla),36.40836408364084
Mandrillus leucophaeus (Drill),36.40836408364084
Macaca fascicularis (Crab-eating macaque),36.40836408364084
Panthera tigris altaica (Tiger),35.67035670356704
Carlito syrichta (Tarsier),35.42435424354243
Bos mutus (Wild yak),35.42435424354243
Sciurus vulgaris (Eurasian red squirrel),35.30135301353013
Cavia porcellus (Guinea Pig),35.17835178351783
