Species,Similarity
Pan paniscus (Bonobo),98.7847222222222
Pongo abelii (Sumatran orangutan),98.26388888888889
Nomascus leucogenys (Gibbon),97.91666666666666
Rhinopithecus bieti (Black snub-nosed monkey),96.35416666666666
Rhinopithecus roxellana (Golden snub-nosed monkey),95.6597222222222
Chlorocebus sabaeus (Vervet-AGM),94.9652777777778
Cercocebus atys (Sooty mangabey),94.30051813471503
Papio anubis (Olive baboon),93.95509499136442
Macaca mulatta (Macaque),93.95509499136442
Macaca fascicularis (Crab-eating macaque),93.95509499136442
Macaca nemestrina (Pig-tailed macaque),89.66666666666666
Mandrillus leucophaeus (Drill),89.58333333333334
Aotus nancymaae (Ma's night monkey),89.0625
Callithrix jacchus (White-tufted-ear marmoset),84.89583333333334
Carlito syrichta (Tarsier),80.72916666666666
Otolemur garnettii (Bushbaby),80.55555555555556
Prolemur simus (Greater bamboo lemur),79.34027777777779
Equus asinus (Donkey),78.92918825561313
Microcebus murinus (Mouse Lemur),78.06563039723662
Panthera tigris altaica (Tiger),77.77777777777779
Felis catus (Cat),77.77777777777779
Panthera leo (Lion),77.60416666666666
Camelus dromedarius (Arabian camel),77.08333333333334
Sus scrofa (Pig - Hampshire),75.4653130287648
Canis lupus familiaris (Dog - Boxer),74.47916666666666
Ailuropoda melanoleuca (Giant panda),74.30555555555556
Oryctolagus cuniculus (Rabbit),72.22222222222221
Sciurus vulgaris (Eurasian red squirrel),70.3125
Propithecus coquereli (Coquerel's sifaka),66.94329183955739
Cebus imitator (Panamanian white-faced capuchin),66.66666666666666
Choloepus hoffmanni (Sloth),61.63194444444444
Heterocephalus glaber (Naked mole-rat),58.060109289617486
Mustela putorius furo (Ferret),28.47222222222222
