Species,Similarity
Canis lupus familiaris (Dog - Boxer),172.2635681247099
Phocoena sinus (Vaquita),171.10481586402267
Pan paniscus (Bonobo),99.90557129367328
Gorilla gorilla gorilla (Gorilla),99.43342776203966
Pan troglodytes (Chimpanzee),99.43342776203966
Pongo abelii (Sumatran orangutan),98.7724268177526
Nomascus leucogenys (Gibbon),98.48914069877245
Macaca mulatta (Macaque),98.20585457979226
Macaca fascicularis (Crab-eating macaque),98.20585457979226
Macaca nemestrina (Pig-tailed macaque),98.20585457979226
Mandrillus leucophaeus (Drill),98.11142587346554
Papio anubis (Olive baboon),98.0169971671388
Cercocebus atys (Sooty mangabey),98.0169971671388
Rhinopithecus roxellana (Golden snub-nosed monkey),97.82813975448536
Rhinopithecus bieti (Black snub-nosed monkey),97.82813975448536
Aotus nancymaae (Ma's night monkey),97.16713881019832
Cebus imitator (Panamanian white-faced capuchin),96.88385269121812
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),96.7894239848914
Callithrix jacchus (White-tufted-ear marmoset),96.3172804532578
Equus caballus (Horse),93.38999055712937
Prolemur simus (Greater bamboo lemur),92.7289896128423
Rhinolophus ferrumequinum (Greater horseshoe bat),92.6345609065156
Microcebus murinus (Mouse Lemur),92.6345609065156
Carlito syrichta (Tarsier),91.9735599622285
Sciurus vulgaris (Eurasian red squirrel),91.8791312559018
Urocitellus parryii (Arctic ground squirrel),91.69027384324836
Marmota marmota marmota (Alpine marmot),91.69027384324836
Ictidomys tridecemlineatus (Squirrel),91.59584513692162
Pteropus vampyrus (Megabat),91.59584513692162
Neovison vison (American mink),91.05461393596988
Mustela putorius furo (Ferret),90.8662900188324
Chinchilla lanigera (Long-tailed chinchilla),90.84041548630783
Panthera leo (Lion),90.74598677998112
Panthera pardus (Leopard),90.74598677998112
Balaenoptera musculus (Blue whale),90.74598677998112
Monodon monoceros (Narwhal),90.6515580736544
Moschus moschiferus (Siberian musk deer),90.6515580736544
Physeter catodon (Sperm whale),90.6515580736544
Delphinapterus leucas (Beluga whale),90.6515580736544
Catagonus wagneri (Chacoan peccary),90.55712936732768
Bos taurus (Cow),90.3682719546742
Cervus hanglu yarkandensis (Yarkand deer),90.3682719546742
Capra hircus (Goat (black bengal)),90.27384324834748
Bos mutus (Wild yak),90.27384324834748
Ursus americanus (American black bear),90.17941454202078
Bison bison bison (American bison),90.17941454202078
Sus scrofa (Pig - Hampshire),90.17941454202078
Loxodonta africana (Elephant),90.08498583569406
Ovis aries (Sheep),90.08498583569406
Sorex araneus (Shrew),89.80169971671388
Tursiops truncatus (Dolphin),89.80169971671388
Dipodomys ordii (Kangaroo rat),89.61284230406044
Dasypus novemcinctus (Armadillo),89.54802259887006
Octodon degus (Degu),89.32955618508026
Cavia porcellus (Guinea Pig),89.04627006610009
Heterocephalus glaber (Naked mole-rat),88.6685552407932
Nannospalax galili (Upper Galilee mountains blind mole rat),87.62983947119925
Peromyscus maniculatus bairdii (Northern American deer mouse),87.53541076487252
Cricetulus griseus (Chinese hamster CriGri),87.25212464589235
Microtus ochrogaster (Prairie vole),86.87440982058547
Mus spretus (Algerian mouse),86.4406779661017
Mus pahari (Shrew mouse),86.34651600753295
Mus caroli (Ryukyu mouse),86.34651600753295
Oryctolagus cuniculus (Rabbit),86.21973929236499
Mus musculus (Mouse),85.91549295774648
Rattus norvegicus (Rat),85.52754435107376
Vombatus ursinus (Common wombat),85.40489642184558
Phascolarctos cinereus (Koala),85.40489642184558
Jaculus jaculus (Lesser Egyptian jerboa),85.36355051935789
Strigops habroptila (Kakapo),85.36355051935789
Aquila chrysaetos chrysaetos (Golden eagle),85.26912181303116
Parus major (Great Tit),84.89140698772427
Gallus gallus (Chicken),84.89140698772427
Sarcophilus harrisii (Tasmanian devil),84.83992467043315
Sphenodon punctatus (Tuatara),84.70254957507082
Taeniopygia guttata (Zebra finch),84.6081208687441
Coturnix japonica (Japanese quail),84.32483474976394
Ficedula albicollis (Collared flycatcher),84.04154863078375
Terrapene carolina triunguis (Three-toed box turtle),83.0028328611898
Chrysemys picta bellii (Painted turtle),83.0028328611898
Chelonoidis abingdonii (Abingdon island giant tortoise),82.90840415486308
Gopherus evgoodei (Goodes thornscrub tortoise),82.81397544853635
Podarcis muralis (Common wall lizard),82.6251180358829
Crocodylus porosus (Australian saltwater crocodile),82.43626062322946
Anolis carolinensis (Green anole),82.34183191690275
Salvator merianae (Argentine black and white tegu),82.34183191690275
Anas platyrhynchos (Mallard),82.20338983050848
Ursus maritimus (Polar bear),81.96411709159584
Monodelphis domestica (Opossum),81.70289855072464
Echinops telfairi (Lesser hedgehog tenrec),81.30311614730878
Naja naja (Indian cobra),80.07554296506137
Pseudonaja textilis (Eastern brown snake),80.07554296506137
