Species,Similarity
Pan troglodytes (Chimpanzee),99.76525821596243
Gorilla gorilla gorilla (Gorilla),99.53216374269006
Pongo abelii (Sumatran orangutan),98.70892018779342
Nomascus leucogenys (Gibbon),98.47417840375586
Mandrillus leucophaeus (Drill),97.88732394366195
Chlorocebus sabaeus (Vervet-AGM),97.88732394366195
Cercocebus atys (Sooty mangabey),97.76995305164318
Rhinopithecus roxellana (Golden snub-nosed monkey),97.65258215962442
Rhinopithecus bieti (Black snub-nosed monkey),97.30994152046785
Macaca mulatta (Macaque),97.30046948356808
Macaca nemestrina (Pig-tailed macaque),97.1830985915493
Papio anubis (Olive baboon),97.1830985915493
Cebus imitator (Panamanian white-faced capuchin),95.30516431924885
Aotus nancymaae (Ma's night monkey),95.18779342723003
Callithrix jacchus (White-tufted-ear marmoset),94.95305164319248
Microcebus murinus (Mouse Lemur),94.01408450704226
Prolemur simus (Greater bamboo lemur),93.1924882629108
Propithecus coquereli (Coquerel's sifaka),92.95774647887325
Physeter catodon (Sperm whale),92.37089201877934
Phocoena sinus (Vaquita),92.25352112676056
Pteropus vampyrus (Megabat),92.1361502347418
Monodon monoceros (Narwhal),92.1361502347418
Tursiops truncatus (Dolphin),92.1361502347418
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),91.90140845070422
Balaenoptera musculus (Blue whale),91.869918699187
Equus asinus (Donkey),91.78403755868544
Sus scrofa (Pig - Hampshire),91.46198830409357
Equus caballus (Horse),91.43192488262912
Felis catus (Cat),91.19718309859157
Panthera pardus (Leopard),91.07981220657275
Panthera leo (Lion),90.99415204678364
Rhinolophus ferrumequinum (Greater horseshoe bat),90.96244131455398
Capra hircus (Goat (black bengal)),90.87719298245617
Catagonus wagneri (Chacoan peccary),90.76023391812863
Camelus dromedarius (Arabian camel),90.61032863849763
Moschus moschiferus (Siberian musk deer),90.61032863849763
Ovis aries (Sheep),90.55944055944056
Delphinapterus leucas (Beluga whale),90.45977011494251
Bos grunniens (Domestic yak),89.82456140350877
Urocitellus parryii (Arctic ground squirrel),89.7887323943662
Ictidomys tridecemlineatus (Squirrel),89.7887323943662
Myotis lucifugus (Microbat),89.7887323943662
Sciurus vulgaris (Eurasian red squirrel),89.67136150234741
Ursus americanus (American black bear),89.67136150234741
Bos taurus (Cow),89.5104895104895
Bos indicus x Bos taurus (Hybrid - Bos Taurus),89.5104895104895
Mustela putorius furo (Ferret),89.31924882629107
Bison bison bison (American bison),89.23976608187134
Neovison vison (American mink),88.84976525821597
Macaca fascicularis (Crab-eating macaque),88.73239436619718
Otolemur garnettii (Bushbaby),88.73239436619718
Canis lupus familiaris (Dog - Boxer),88.49765258215963
Nannospalax galili (Upper Galilee mountains blind mole rat),88.49765258215963
Vulpes vulpes (Red fox),88.49765258215963
Heterocephalus glaber (Naked mole-rat),88.42105263157895
Erinaceus europaeus (Hedgehog),87.79342723004694
Dipodomys ordii (Kangaroo rat),87.79342723004694
Tupaia belangeri (Tree Shrew),87.32394366197182
Jaculus jaculus (Lesser Egyptian jerboa),87.07482993197279
Peromyscus maniculatus bairdii (Northern American deer mouse),86.7132867132867
Mesocricetus auratus (Golden Hamster),86.15023474178403
Echinops telfairi (Lesser hedgehog tenrec),85.7981220657277
Microtus ochrogaster (Prairie vole),85.56338028169014
Cricetulus griseus (Chinese hamster CriGri),85.44600938967136
Mus caroli (Ryukyu mouse),85.09389671361502
Mus spretus (Algerian mouse),84.97652582159625
Mus spicilegus (Steppe mouse),84.91228070175438
Octodon degus (Degu),84.81735159817352
Mus pahari (Shrew mouse),84.74178403755869
Mus musculus (Mouse),84.67836257309942
Rattus norvegicus (Rat),84.27230046948357
Pan paniscus (Bonobo),82.04225352112677
Vombatus ursinus (Common wombat),79.53216374269006
Phascolarctos cinereus (Koala),78.77739331026528
Oryctolagus cuniculus (Rabbit),77.44807121661721
Sphenodon punctatus (Tuatara),77.23004694835682
Cervus hanglu yarkandensis (Yarkand deer),74.35897435897436
Dasypus novemcinctus (Armadillo),73.94366197183099
Chinchilla lanigera (Long-tailed chinchilla),71.36150234741784
Ailuropoda melanoleuca (Giant panda),69.45193171608265
Bos mutus (Wild yak),69.36619718309859
Ochotona princeps (Pika),69.24882629107981
Cavia porcellus (Guinea Pig),69.13145539906104
Procavia capensis (Hyrax),48.12206572769953
