Species,Similarity
Canis lupus familiaris (Dog - Boxer),626.3958291120275
Ovis aries (Sheep),528.2240467722834
Capra hircus (Goat (black bengal)),527.8819932735372
Pan paniscus (Bonobo),495.6703891127684
Pan troglodytes (Chimpanzee),495.4099724461017
Pongo abelii (Sumatran orangutan),491.2060026190053
Gorilla gorilla gorilla (Gorilla),489.04330644729055
Callithrix jacchus (White-tufted-ear marmoset),471.67932093849015
Macaca nemestrina (Pig-tailed macaque),470.8477504256572
Aotus nancymaae (Ma's night monkey),459.1612455141201
Rhinopithecus bieti (Black snub-nosed monkey),453.12088931429344
Phocoena sinus (Vaquita),450.84468597762555
Monodon monoceros (Narwhal),450.7045374028862
Catagonus wagneri (Chacoan peccary),448.41786908195877
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),448.06354044014677
Prolemur simus (Greater bamboo lemur),447.5697986283312
Moschus moschiferus (Siberian musk deer),446.82437439499245
Vulpes vulpes (Red fox),443.710837734549
Propithecus coquereli (Coquerel's sifaka),441.25134261174475
Tursiops truncatus (Dolphin),440.7458737674217
Jaculus jaculus (Lesser Egyptian jerboa),437.926421451069
Bos indicus x Bos taurus (Hybrid - Bos Taurus),435.31059135718135
Bos taurus (Cow),433.92047877236854
Cervus hanglu yarkandensis (Yarkand deer),428.3496208751032
Sciurus vulgaris (Eurasian red squirrel),427.1309271196292
Vombatus ursinus (Common wombat),420.11099689236175
Papio anubis (Olive baboon),380.88533445771793
Nomascus leucogenys (Gibbon),377.57373049048294
Rhinopithecus roxellana (Golden snub-nosed monkey),376.18961013320825
Mandrillus leucophaeus (Drill),375.53666292237745
Chlorocebus sabaeus (Vervet-AGM),371.1801172754169
Microcebus murinus (Mouse Lemur),370.3194170628002
Urocitellus parryii (Arctic ground squirrel),366.8254484346558
Ictidomys tridecemlineatus (Squirrel),365.9985920772308
Bison bison bison (American bison),365.7824674690976
Panthera pardus (Leopard),365.5922417653208
Bos grunniens (Domestic yak),364.50611804774775
Neovison vison (American mink),361.205586569093
Balaenoptera musculus (Blue whale),360.9090154509431
Camelus dromedarius (Arabian camel),358.42047568437505
Panthera leo (Lion),355.8634713894949
Sus scrofa (Pig - Hampshire),355.71654608231444
Bos mutus (Wild yak),354.772965489011
Physeter catodon (Sperm whale),352.90115364561296
Pteropus vampyrus (Megabat),351.28240310180036
Delphinapterus leucas (Beluga whale),349.3281958655581
Otolemur garnettii (Bushbaby),347.81728410154625
Heterocephalus glaber (Naked mole-rat),346.79805755561864
Ursus maritimus (Polar bear),346.1984964897767
Cricetulus griseus (Chinese hamster CriGri),345.89662493743714
Microtus ochrogaster (Prairie vole),343.57364959202897
Peromyscus maniculatus bairdii (Northern American deer mouse),340.88163373246505
Mus musculus (Mouse),340.78534374074366
Mus pahari (Shrew mouse),339.61631194721815
Rattus norvegicus (Rat),338.65369704829106
Rhinolophus ferrumequinum (Greater horseshoe bat),337.56791930707675
Phascolarctos cinereus (Koala),330.95093997127924
Macaca mulatta (Macaque),291.67190137304505
Cercocebus atys (Sooty mangabey),279.9153880359184
Carlito syrichta (Tarsier),277.1730579656595
Marmota marmota marmota (Alpine marmot),276.53126210488006
Cebus imitator (Panamanian white-faced capuchin),275.07016598341346
Felis catus (Cat),272.20845028549445
Ursus americanus (American black bear),269.32930691071795
Chinchilla lanigera (Long-tailed chinchilla),268.18289231862076
Dipodomys ordii (Kangaroo rat),265.60083719854674
Octodon degus (Degu),263.79279374712735
Ailuropoda melanoleuca (Giant panda),263.7878778971507
Myotis lucifugus (Microbat),263.48209881749204
Mus caroli (Ryukyu mouse),260.6150518711041
Mus spicilegus (Steppe mouse),260.4757227358369
Mus spretus (Algerian mouse),260.25566679941403
Nannospalax galili (Upper Galilee mountains blind mole rat),259.1824103274485
Mustela putorius furo (Ferret),257.1832472602329
Dasypus novemcinctus (Armadillo),256.2697470641256
Equus caballus (Horse),255.28090150738268
Equus asinus (Donkey),255.27416373953423
Mesocricetus auratus (Golden Hamster),251.91603926379167
Procavia capensis (Hyrax),251.14057408151422
Macaca fascicularis (Crab-eating macaque),193.15921545878433
Oryctolagus cuniculus (Rabbit),185.3485871517969
Cavia porcellus (Guinea Pig),181.65601437224927
Panthera tigris altaica (Tiger),180.5481966984351
Erinaceus europaeus (Hedgehog),174.92047990125266
Loxodonta africana (Elephant),169.7976847343936
Monodelphis domestica (Opossum),168.40763292497758
Sarcophilus harrisii (Tasmanian devil),166.96180127314665
Vicugna pacos (Alpaca),164.40508375742155
Pelodiscus sinensis (Chinese softshell turtle),162.28161557124946
Chrysemys picta bellii (Painted turtle),161.18382780686446
Gopherus evgoodei (Goodes thornscrub tortoise),161.14292531615365
Echinops telfairi (Lesser hedgehog tenrec),87.7056277056277
Ochotona princeps (Pika),85.41136556403733
Gallus gallus (Chicken),82.58967629046369
Aquila chrysaetos chrysaetos (Golden eagle),82.32720909886264
Taeniopygia guttata (Zebra finch),82.1522309711286
Anas platyrhynchos (Mallard),82.1522309711286
Ornithorhynchus anatinus (Platypus),82.11586901763224
Parus major (Great Tit),81.97725284339458
Strigops habroptila (Kakapo),81.88976377952756
Terrapene carolina triunguis (Three-toed box turtle),81.78694158075601
Geospiza fortis (Medium ground-finch),81.71478565179353
Notamacropus eugenii (Wallaby),81.45363408521304
Sphenodon punctatus (Tuatara),80.66491688538933
