Variant Name,Species,Similarity,Score,Start,End
SATB1,Myotis lucifugus (Microbat),92.48152976966536,2128.0,0,2465
SATB1,Loxodonta africana (Elephant),90.4642409033877,2163.0,0,2520
SATB1,Dasypus novemcinctus (Armadillo),84.38661710037175,2043.0,0,2670
SATB1,Chlorocebus sabaeus (Vervet-AGM),78.62129144851659,1802.0,0,2308
SATB1,Procavia capensis (Hyrax),89.44444444444444,2093.0,0,2539
SATB1,Tursiops truncatus (Dolphin),88.81883144178227,2113.0,0,2558
SATB1,Mustela putorius furo (Ferret),91.59310634720471,2179.0,0,2492
SATB1,Otolemur garnettii (Bushbaby),91.79229480737018,2192.0,0,2488
SATB1,Pteropus vampyrus (Megabat),74.93734335839599,1794.0,0,2892
SATB1,Tupaia belangeri (Tree Shrew),72.88946910356832,1675.0,0,2915
SATB1,Ochotona princeps (Pika),76.94900969237253,1826.0,0,2839
SATB1,Echinops telfairi (Lesser hedgehog tenrec),56.36515912897823,1346.0,0,3334
SATB1,Erinaceus europaeus (Hedgehog),84.03141361256544,1926.0,0,2520
SATB1,Sorex araneus (Shrew),74.95636998254798,1718.0,0,2383
SATB1,Vicugna pacos (Alpaca),69.25972396486826,1656.0,0,3027
SATB1,Choloepus hoffmanni (Sloth),81.84991273996509,1876.0,0,2696
SATB1,Chinchilla lanigera (Long-tailed chinchilla),91.2568306010929,2171.0,0,2500
SATB1,Cavia porcellus (Guinea Pig),93.76906318082789,2152.0,0,2435
SATB1,Microtus ochrogaster (Prairie vole),90.92495636998254,2084.0,0,2491
SATB1,Chinchilla lanigera (Long-tailed chinchilla),73.60383944153578,1687.0,0,2471
SATB1,Ictidomys tridecemlineatus (Squirrel),91.64567590260285,2183.0,0,2491
SATB1,Cricetulus griseus (Chinese hamster CriGri),88.5678391959799,2115.0,0,2565
SATB1,Nomascus leucogenys (Gibbon),95.30988274706867,2276.0,0,2404
SATB1,Cercocebus atys (Sooty mangabey),94.9685534591195,2265.0,0,2412
SATB1,Macaca nemestrina (Pig-tailed macaque),95.01675041876047,2269.0,0,2411
SATB1,Mus spretus (Algerian mouse),88.41309823677582,2106.0,0,2568
SATB1,Mus pahari (Shrew mouse),87.468671679198,2094.0,0,2592
SATB1,Capra hircus (Goat (black bengal)),87.26003490401396,2000.0,0,2581
SATB1,Vulpes vulpes (Red fox),85.73298429319371,1965.0,0,2418
SATB1,Neovison vison (American mink),91.79292929292929,2181.0,0,2487
SATB1,Bos mutus (Wild yak),71.33507853403141,1635.0,0,2949
SATB1,Bos taurus (Cow),87.43455497382199,2004.0,0,2571
SATB1,Mus spicilegus (Steppe mouse),88.2747068676717,2108.0,0,2572
SATB1,Peromyscus maniculatus bairdii (Northern American deer mouse),88.93081761006289,2121.0,0,2556
SATB1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),87.39092495636999,2003.0,0,2569
SATB1,Propithecus coquereli (Coquerel's sifaka),92.33668341708542,2205.0,0,2475
SATB1,Aotus nancymaae (Ma's night monkey),93.734335839599,2244.0,0,2442
SATB1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),94.56475583864119,2227.0,0,2420
SATB1,Pan troglodytes (Chimpanzee),95.77051926298158,2287.0,0,2393
SATB1,Jaculus jaculus (Lesser Egyptian jerboa),87.22780569514238,2083.0,0,2597
SATB1,Gorilla gorilla gorilla (Gorilla),95.7286432160804,2286.0,0,2394
SATB1,Nannospalax galili (Upper Galilee mountains blind mole rat),87.67295597484276,2091.0,0,2586
SATB1,Ursus maritimus (Polar bear),91.18673647469458,2090.0,0,2464
SATB1,Rhinopithecus bieti (Black snub-nosed monkey),94.80737018425461,2264.0,0,2416
SATB1,Bison bison bison (American bison),76.53536637018212,1807.0,0,2846
SATB1,Marmota marmota marmota (Alpine marmot),91.60369437447523,2182.0,0,2492
SATB1,Panthera pardus (Leopard),91.50903741067675,2177.0,0,2494
SATB1,Ursus americanus (American black bear),92.7592116538132,2165.0,0,2461
SATB1,Rhinopithecus roxellana (Golden snub-nosed monkey),94.76549413735343,2263.0,0,2417
SATB1,Urocitellus parryii (Arctic ground squirrel),91.68765743073047,2184.0,0,2490
SATB1,Pan paniscus (Bonobo),95.77051926298158,2287.0,0,2393
SATB1,Mandrillus leucophaeus (Drill),94.73023839397742,2265.0,0,2418
SATB1,Dipodomys ordii (Kangaroo rat),90.27253668763102,2153.0,0,2524
SATB1,Octodon degus (Degu),91.50743099787687,2155.0,0,2492
SATB1,Carlito syrichta (Tarsier),61.25654450261781,1404.0,0,2541
SATB1,Canis lupus familiaris (Dog - Boxer),91.21479613282892,2170.0,0,2501
SATB1,Monodon monoceros (Narwhal),91.44851657940663,2096.0,0,2473
SATB1,Cervus hanglu yarkandensis (Yarkand deer),87.91448516579406,2015.0,0,2560
SATB1,Balaenoptera musculus (Blue whale),91.3176265270506,2093.0,0,2476
SATB1,Ovis aries (Sheep),86.99825479930192,1994.0,0,2578
SATB1,Phocoena sinus (Vaquita),91.44851657940663,2096.0,0,2473
SATB1,Sciurus vulgaris (Eurasian red squirrel),91.32075471698113,2178.0,0,2499
SATB1,Rhinolophus ferrumequinum (Greater horseshoe bat),91.2347239780868,2165.0,0,2500
SATB1,Oryctolagus cuniculus (Rabbit),90.89000839630562,2165.0,0,2509
SATB1,Camelus dromedarius (Arabian camel),78.44677137870855,1798.0,0,2432
SATB1,Macaca mulatta (Macaque),95.01675041876047,2269.0,0,2411
SATB1,Panthera leo (Lion),91.50903741067675,2177.0,0,2494
SATB1,Physeter catodon (Sperm whale),88.72053872053873,2108.0,0,2560
SATB1,Moschus moschiferus (Siberian musk deer),87.26003490401396,2000.0,0,2572
SATB1,Catagonus wagneri (Chacoan peccary),91.84118673647468,2105.0,0,2470
SATB1,Delphinapterus leucas (Beluga whale),88.60971524288107,2116.0,0,2564
SATB1,Macaca fascicularis (Crab-eating macaque),95.01675041876047,2269.0,0,2411
SATB1,Felis catus (Cat),91.63514081546869,2180.0,0,2491
SATB1,Ailuropoda melanoleuca (Giant panda),91.46700294241278,2176.0,0,2495
SATB1,Papio anubis (Olive baboon),87.03703703703704,2209.0,0,2621
SATB1,Pongo abelii (Sumatran orangutan),95.14237855946399,2272.0,0,2408
SATB1,Canis lupus familiaris (Dog - Boxer),91.21479613282892,2170.0,0,2501
SATB1,Callithrix jacchus (White-tufted-ear marmoset),97.38903394255874,2238.0,0,2352
SATB1,Sus scrofa (Pig - Hampshire),89.48516579406632,2051.0,0,2497
SATB1,ZK1193.5a.1,49.52006980802792,1135.0,0,2564
SATB1,Equus asinus (Donkey),91.31900547829751,2167.0,0,2498
SATB1,Equus caballus (Horse),91.31900547829751,2167.0,0,2498
SATB1,Cebus imitator (Panamanian white-faced capuchin),93.71859296482413,2238.0,0,2442
SATB1,Heterocephalus glaber (Naked mole-rat),91.13072719630097,2168.0,0,2503
SATB1,Mus musculus (Mouse),88.2747068676717,2108.0,0,2572
SATB1,Rattus norvegicus (Rat),87.53659556670848,2093.0,0,2590
SATB2,Myotis lucifugus (Microbat),89.35123042505593,1997.0,0,2440
SATB2,Petromyzon marinus (Lamprey),64.44141689373298,1419.0,0,2640
SATB2,Tetraodon nigroviridis (Tetraodon),70.83888149134488,1596.0,0,2859
SATB2,Latimeria chalumnae (Coelacanth),80.69025775447794,1847.0,0,2644
SATB2,Tetraodon nigroviridis (Tetraodon),74.77954144620811,1696.0,0,2774
SATB2,Lepisosteus oculatus (Spotted gar),67.49408983451536,1713.0,0,3027
SATB2,Loxodonta africana (Elephant),95.8219800181653,2110.0,0,2294
SATB2,Dasypus novemcinctus (Armadillo),94.82288828337875,2088.0,0,2316
SATB2,Mustela putorius furo (Ferret),94.73206176203452,2086.0,0,2318
SATB2,Poecilia formosa (Amazon molly),67.54072308303536,1700.0,0,3019
SATB2,Poecilia formosa (Amazon molly),65.92095451155853,1768.0,0,3116
SATB2,Otolemur garnettii (Bushbaby),91.62303664921467,2100.0,0,2394
SATB2,Chlorocebus sabaeus (Vervet-AGM),98.9100817438692,2178.0,0,2226
SATB2,Gasterosteus aculeatus (Stickleback),69.70935513169846,1535.0,0,2746
SATB2,Pteropus vampyrus (Megabat),95.36784741144415,2100.0,0,2304
SATB2,Gasterosteus aculeatus (Stickleback),74.84361036639856,1675.0,0,2765
SATB2,Tupaia belangeri (Tree Shrew),87.51135331516802,1927.0,0,2471
