Species,Similarity
Canis lupus familiaris (Dog - Boxer),433.6603630767639
Pan paniscus (Bonobo),297.65163185215766
Gorilla gorilla gorilla (Gorilla),295.92077585602345
Nomascus leucogenys (Gibbon),294.648660104051
Papio anubis (Olive baboon),291.5544644866926
Cercocebus atys (Sooty mangabey),291.55061050768336
Macaca nemestrina (Pig-tailed macaque),291.2325176073009
Rhinopithecus roxellana (Golden snub-nosed monkey),289.9729029750499
Rhinopithecus bieti (Black snub-nosed monkey),289.6919911506426
Mandrillus leucophaeus (Drill),288.98661701384975
Chlorocebus sabaeus (Vervet-AGM),288.8596512983144
Pan troglodytes (Chimpanzee),288.1654352408307
Aotus nancymaae (Ma's night monkey),286.79942895129864
Cebus imitator (Panamanian white-faced capuchin),286.69201620545465
Callithrix jacchus (White-tufted-ear marmoset),286.1314369585227
Macaca mulatta (Macaque),285.61024731768475
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),278.2137083604595
Macaca fascicularis (Crab-eating macaque),277.7227520649525
Propithecus coquereli (Coquerel's sifaka),274.5749067837792
Prolemur simus (Greater bamboo lemur),274.16660839227745
Carlito syrichta (Tarsier),272.09034179679975
Urocitellus parryii (Arctic ground squirrel),271.7076697650756
Sciurus vulgaris (Eurasian red squirrel),270.5127643059389
Equus asinus (Donkey),270.23405566632914
Balaenoptera musculus (Blue whale),269.56971386053107
Ictidomys tridecemlineatus (Squirrel),269.37720816323906
Marmota marmota marmota (Alpine marmot),269.36344710977426
Otolemur garnettii (Bushbaby),269.33493351793106
Cavia porcellus (Guinea Pig),268.5720936854774
Physeter catodon (Sperm whale),268.3991979074261
Chinchilla lanigera (Long-tailed chinchilla),268.3105005457791
Catagonus wagneri (Chacoan peccary),268.25396825396825
Felis catus (Cat),267.31877552755134
Panthera leo (Lion),267.0561640582678
Loxodonta africana (Elephant),266.1742880870101
Delphinapterus leucas (Beluga whale),266.16159384125154
Panthera pardus (Leopard),265.82920733992665
Microcebus murinus (Mouse Lemur),265.76767022465737
Ovis aries (Sheep),264.91936853987806
Equus caballus (Horse),264.6592209944546
Ailuropoda melanoleuca (Giant panda),264.6557450969798
Phocoena sinus (Vaquita),263.81837621294585
Cervus hanglu yarkandensis (Yarkand deer),262.92059139362846
Oryctolagus cuniculus (Rabbit),262.90633875330184
Tursiops truncatus (Dolphin),262.9013632473983
Camelus dromedarius (Arabian camel),262.74591401892417
Mus musculus (Mouse),262.6840235474446
Mus spretus (Algerian mouse),262.6398897491078
Mus pahari (Shrew mouse),262.5369053390499
Cricetulus griseus (Chinese hamster CriGri),262.47787530868203
Capra hircus (Goat (black bengal)),262.371845243942
Monodon monoceros (Narwhal),262.13165243694436
Peromyscus maniculatus bairdii (Northern American deer mouse),262.06580846010934
Mus caroli (Ryukyu mouse),261.91309695723857
Bison bison bison (American bison),261.8413873563068
Neovison vison (American mink),261.4973233888944
Rhinolophus ferrumequinum (Greater horseshoe bat),261.4045118508902
Bos mutus (Wild yak),261.0433697837976
Moschus moschiferus (Siberian musk deer),259.96582086271064
Ursus maritimus (Polar bear),259.93194199484986
Ursus americanus (American black bear),259.82630667066155
Mus spicilegus (Steppe mouse),259.0050478960053
Bos taurus (Cow),257.5460501305886
Rattus norvegicus (Rat),257.49719602615914
Vulpes vulpes (Red fox),255.75445498475767
Bos indicus x Bos taurus (Hybrid - Bos Taurus),255.5025208262748
Myotis lucifugus (Microbat),253.58870177782154
Sarcophilus harrisii (Tasmanian devil),253.1537236064048
Vombatus ursinus (Common wombat),251.2850757863573
Monodelphis domestica (Opossum),250.2657928735426
Phascolarctos cinereus (Koala),249.9260800540441
Taeniopygia guttata (Zebra finch),243.3681619958444
Aquila chrysaetos chrysaetos (Golden eagle),243.28457719204218
Serinus canaria (Common canary),243.15563370779165
Strigops habroptila (Kakapo),242.2399222132691
Pongo abelii (Sumatran orangutan),196.87197320737693
Heterocephalus glaber (Naked mole-rat),178.57799979292164
Dasypus novemcinctus (Armadillo),177.53619634767176
Nannospalax galili (Upper Galilee mountains blind mole rat),175.56753999822
Mustela putorius furo (Ferret),174.79904306220095
Panthera tigris altaica (Tiger),174.06654343807764
Microtus ochrogaster (Prairie vole),173.6682609020001
Bos grunniens (Domestic yak),172.8976245746432
Sus scrofa (Pig - Hampshire),171.33055016501595
Ornithorhynchus anatinus (Platypus),166.98734296570328
Parus major (Great Tit),163.70103269363898
Coturnix japonica (Japanese quail),162.25782159238722
Anser brachyrhynchus (Pink-footed goose),161.405536730616
Geospiza fortis (Medium ground-finch),161.17144891900637
Anas platyrhynchos (Mallard),160.9353512459549
Terrapene carolina triunguis (Three-toed box turtle),160.86452056877198
Pseudonaja textilis (Eastern brown snake),160.75169439309917
Gopherus evgoodei (Goodes thornscrub tortoise),160.5244988265849
Chrysemys picta bellii (Painted turtle),160.34643902119592
Octodon degus (Degu),90.97350585335798
Pteropus vampyrus (Megabat),88.30917874396135
Vicugna pacos (Alpaca),87.89049919484701
Tupaia belangeri (Tree Shrew),87.50402576489533
Procavia capensis (Hyrax),87.34299516908213
Mesocricetus auratus (Golden Hamster),86.14718614718615
Notamacropus eugenii (Wallaby),85.64386937769562
Echinops telfairi (Lesser hedgehog tenrec),85.21739130434783
Ochotona princeps (Pika),85.02772643253235
Podarcis muralis (Common wall lizard),82.19346888478127
Ficedula albicollis (Collared flycatcher),81.56370656370656
Anolis carolinensis (Green anole),81.20764017252003
Salvator merianae (Argentine black and white tegu),81.08441158348737
Gallus gallus (Chicken),80.79777365491651
Naja naja (Indian cobra),80.74553296364758
Crocodylus porosus (Australian saltwater crocodile),80.58502089360334
Struthio camelus australis (African ostrich),80.45644487303117
Sphenodon punctatus (Tuatara),80.03220611916264
