Species,Similarity
Canis lupus familiaris (Dog - Boxer),171.21879588839943
Rhinolophus ferrumequinum (Greater horseshoe bat),164.17033773861968
Pan troglodytes (Chimpanzee),98.38472834067548
Gorilla gorilla gorilla (Gorilla),97.503671071953
Nomascus leucogenys (Gibbon),96.47577092511013
Pongo abelii (Sumatran orangutan),95.88839941262847
Macaca nemestrina (Pig-tailed macaque),95.59471365638768
Macaca fascicularis (Crab-eating macaque),95.44787077826726
Chlorocebus sabaeus (Vervet-AGM),95.30102790014683
Rhinopithecus roxellana (Golden snub-nosed monkey),95.15418502202644
Rhinopithecus bieti (Black snub-nosed monkey),95.15418502202644
Cercocebus atys (Sooty mangabey),95.00734214390602
Papio anubis (Olive baboon),95.00734214390602
Macaca mulatta (Macaque),92.05673758865248
Cebus imitator (Panamanian white-faced capuchin),91.77679882525698
Callithrix jacchus (White-tufted-ear marmoset),91.33627019089576
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),91.18942731277532
Equus caballus (Horse),87.07782672540382
Equus asinus (Donkey),86.78414096916299
Prolemur simus (Greater bamboo lemur),86.63729809104258
Propithecus coquereli (Coquerel's sifaka),86.34361233480176
Camelus dromedarius (Arabian camel),86.04992657856094
Sus scrofa (Pig - Hampshire),86.04992657856094
Catagonus wagneri (Chacoan peccary),85.90308370044053
Physeter catodon (Sperm whale),85.75624082232012
Oryctolagus cuniculus (Rabbit),85.52631578947368
Sciurus vulgaris (Eurasian red squirrel),85.46255506607929
Balaenoptera musculus (Blue whale),85.46255506607929
Tursiops truncatus (Dolphin),85.46255506607929
Panthera tigris altaica (Tiger),85.31571218795888
Delphinapterus leucas (Beluga whale),85.31571218795888
Felis catus (Cat),85.31571218795888
Panthera pardus (Leopard),85.31571218795888
Panthera leo (Lion),85.16886930983847
Ailuropoda melanoleuca (Giant panda),85.16886930983847
Monodon monoceros (Narwhal),85.02202643171806
Urocitellus parryii (Arctic ground squirrel),84.87518355359765
Moschus moschiferus (Siberian musk deer),84.87518355359765
Neovison vison (American mink),84.7953216374269
Marmota marmota marmota (Alpine marmot),84.72834067547724
Myotis lucifugus (Microbat),84.72834067547724
Phocoena sinus (Vaquita),84.72834067547724
Bos grunniens (Domestic yak),84.43465491923642
Bos taurus (Cow),84.43465491923642
Dasypus novemcinctus (Armadillo),84.43465491923642
Nannospalax galili (Upper Galilee mountains blind mole rat),84.43465491923642
Bison bison bison (American bison),84.28781204111601
Pteropus vampyrus (Megabat),84.28781204111601
Ictidomys tridecemlineatus (Squirrel),84.21052631578947
Ovis aries (Sheep),83.99412628487518
Dipodomys ordii (Kangaroo rat),83.99412628487518
Capra hircus (Goat (black bengal)),83.99412628487518
Bos indicus x Bos taurus (Hybrid - Bos Taurus),83.99412628487518
Cervus hanglu yarkandensis (Yarkand deer),83.70044052863436
Jaculus jaculus (Lesser Egyptian jerboa),83.47953216374269
Bos mutus (Wild yak),83.11306901615272
Carlito syrichta (Tarsier),82.67254038179148
Mus musculus (Mouse),82.37885462555066
Ursus americanus (American black bear),82.23201174743025
Mus spicilegus (Steppe mouse),82.23201174743025
Mus caroli (Ryukyu mouse),82.08516886930984
Cricetulus griseus (Chinese hamster CriGri),81.93832599118943
Microtus ochrogaster (Prairie vole),81.79148311306902
Mus spretus (Algerian mouse),81.79148311306902
Mus pahari (Shrew mouse),81.4977973568282
Peromyscus maniculatus bairdii (Northern American deer mouse),81.35095447870778
Mesocricetus auratus (Golden Hamster),81.35095447870778
Rattus norvegicus (Rat),81.20411160058737
Vulpes vulpes (Red fox),81.05726872246696
Cavia porcellus (Guinea Pig),80.26315789473685
Octodon degus (Degu),79.00146842878121
Microcebus murinus (Mouse Lemur),74.44933920704845
Ursus maritimus (Polar bear),74.44933920704845
Aotus nancymaae (Ma's night monkey),74.15565345080763
Ornithorhynchus anatinus (Platypus),74.02597402597402
Mustela putorius furo (Ferret),73.16176470588235
Heterocephalus glaber (Naked mole-rat),72.98387096774194
Otolemur garnettii (Bushbaby),72.68722466960352
Labrus bergylta (Ballan wrasse),70.77826725403817
Loxodonta africana (Elephant),70.77826725403817
Anabas testudineus (Climbing perch),70.28985507246377
