Variant Name,Species,Similarity,Score,Start,End
NANOG,Ochotona princeps (Pika),75.59912854030502,694.0,0,1112
NANOG,Echinops telfairi (Lesser hedgehog tenrec),56.97167755991286,523.0,0,1028
NANOG,Echinops telfairi (Lesser hedgehog tenrec),66.66666666666666,612.0,0,1047
NANOG,Echinops telfairi (Lesser hedgehog tenrec),62.091503267973856,570.0,0,1041
NANOG,Myotis lucifugus (Microbat),81.04575163398692,744.0,0,1074
NANOG,Pteropus vampyrus (Megabat),82.02614379084967,753.0,0,1053
NANOG,Ciona savignyi,45.118428653957245,781.0,0,1868
NANOG,Ciona savignyi,52.138643067846616,707.0,0,1567
NANOG,Myotis lucifugus (Microbat),80.61002178649237,740.0,0,1078
NANOG,Echinops telfairi (Lesser hedgehog tenrec),67.21132897603485,617.0,0,1051
NANOG,Myotis lucifugus (Microbat),81.26361655773421,746.0,0,1072
NANOG,Loxodonta africana (Elephant),80.17429193899783,736.0,0,1082
NANOG,Chlorocebus sabaeus (Vervet-AGM),96.51416122004358,886.0,0,950
NANOG,Chlorocebus sabaeus (Vervet-AGM),96.84095860566448,889.0,0,947
NANOG,Ciona intestinalis,52.42290748898678,714.0,0,1566
NANOG,Ciona intestinalis,44.25580079230334,782.0,0,1903
NANOG,Echinops telfairi (Lesser hedgehog tenrec),75.70806100217865,695.0,0,1063
NANOG,Mustela putorius furo (Ferret),81.13612004287245,757.0,0,1094
NANOG,Dasypus novemcinctus (Armadillo),75.05446623093682,689.0,0,1033
NANOG,Otolemur garnettii (Bushbaby),67.3202614379085,618.0,0,996
NANOG,Dasypus novemcinctus (Armadillo),71.56862745098039,657.0,0,1044
NANOG,Tupaia belangeri (Tree Shrew),64.05228758169935,588.0,0,993
NANOG,Tursiops truncatus (Dolphin),61.12920738327905,563.0,0,1276
NANOG,Pelodiscus sinensis (Chinese softshell turtle),66.7728237791932,629.0,0,1231
NANOG,Pelodiscus sinensis (Chinese softshell turtle),65.3125,627.0,0,1251
NANOG,Vicugna pacos (Alpaca),73.20261437908496,672.0,0,1056
NANOG,Echinops telfairi (Lesser hedgehog tenrec),73.63834422657952,676.0,0,1076
NANOG,Erinaceus europaeus (Hedgehog),33.006535947712415,303.0,0,1092
NANOG,Procavia capensis (Hyrax),65.46840958605664,601.0,0,1025
NANOG,Choloepus hoffmanni (Sloth),81.69934640522875,750.0,0,1056
NANOG,Notamacropus eugenii (Wallaby),57.29847494553377,526.0,0,1034
NANOG,Chinchilla lanigera (Long-tailed chinchilla),62.96296296296296,578.0,0,1051
NANOG,Cavia porcellus (Guinea Pig),72.33115468409585,664.0,0,1112
NANOG,Microtus ochrogaster (Prairie vole),74.03946002076843,713.0,0,1168
NANOG,Ictidomys tridecemlineatus (Squirrel),79.47882736156352,732.0,0,1107
