Species,Similarity
Canis lupus familiaris (Dog - Boxer),175.77193388940375
Pan troglodytes (Chimpanzee),98.59038142620231
Pongo abelii (Sumatran orangutan),98.0246913580247
Macaca mulatta (Macaque),96.62551440329216
Chlorocebus sabaeus (Vervet-AGM),96.5174129353234
Cercocebus atys (Sooty mangabey),96.01990049751244
Cebus imitator (Panamanian white-faced capuchin),95.6989247311828
Equus caballus (Horse),93.08641975308645
Aotus nancymaae (Ma's night monkey),92.9519071310116
Macaca nemestrina (Pig-tailed macaque),92.37147595356552
Phocoena sinus (Vaquita),92.11822660098522
Physeter catodon (Sperm whale),91.74917491749174
Catagonus wagneri (Chacoan peccary),91.70812603648424
Sciurus vulgaris (Eurasian red squirrel),91.70771756978654
Urocitellus parryii (Arctic ground squirrel),91.62520729684908
Balaenoptera musculus (Blue whale),91.58576051779936
Sus scrofa (Pig - Hampshire),91.45936981757878
Ovis aries (Sheep),90.9688013136289
Bos indicus x Bos taurus (Hybrid - Bos Taurus),90.92409240924091
Equus asinus (Donkey),90.79601990049753
Moschus moschiferus (Siberian musk deer),90.2777777777778
Bos taurus (Cow),89.67479674796748
Capra hircus (Goat (black bengal)),89.56310679611651
Felis catus (Cat),88.99598393574297
Rhinolophus ferrumequinum (Greater horseshoe bat),88.47429519071311
Microcebus murinus (Mouse Lemur),88.47429519071311
Cricetulus griseus (Chinese hamster CriGri),87.62376237623762
Panthera leo (Lion),87.44906275468622
Peromyscus maniculatus bairdii (Northern American deer mouse),87.4074074074074
Delphinapterus leucas (Beluga whale),87.06467661691542
Mus caroli (Ryukyu mouse),86.13861386138613
Camelus dromedarius (Arabian camel),86.06965174129353
Rattus norvegicus (Rat),86.05610561056105
Mus musculus (Mouse),85.84362139917695
Mus spicilegus (Steppe mouse),85.59670781893004
Mus spretus (Algerian mouse),85.34979423868313
Mus pahari (Shrew mouse),84.81848184818482
Macaca fascicularis (Crab-eating macaque),84.16126709863211
Bos grunniens (Domestic yak),83.05882352941177
Microtus ochrogaster (Prairie vole),83.04526748971193
Heterocephalus glaber (Naked mole-rat),82.4212271973466
Ornithorhynchus anatinus (Platypus),82.00663349917082
